;ENSCAFT00000024529_90_90;ENST00000326194_90_90;ENST00000355961_90_90;ENST00000359882_90_90;ENST00000361988_90_90;ENST00000367574_90_90;ENST00000470275_90_90;ENST00000472520_90_90;ENST00000485288_90_90;ENST00000489940_90_90;ENST00000528612_90_90;ENST00000537758_90_90;ENSMUST00000077595_90_90;ENSMUST00000082320_90_90;ENSMUST00000089402_90_90;ENSMUST00000089403_90_90;ENSMUST00000122943_90_90;ENSMUST00000154695_90_90
ENSCAFT00000024529_90_90;1.0;1.0;0.9;0.9;0.8;0.9;0.3;0.2;0.273;0.3;0.3;0.9;1.0;0.9;0.8;0.9;0.3;0.3
ENST00000326194_90_90;1.0;1.0;0.9;0.9;0.8;0.9;0.3;0.2;0.273;0.3;0.3;0.9;1.0;0.9;0.8;0.9;0.3;0.3
ENST00000355961_90_90;0.9;0.9;1.0;0.8;0.889;0.8;0.333;0.222;0.3;0.333;0.333;1.0;0.9;1.0;0.889;0.8;0.333;0.333
ENST00000359882_90_90;0.9;0.9;0.8;1.0;0.889;1.0;0.333;0.222;0.3;0.333;0.333;0.8;0.9;0.8;0.889;1.0;0.333;0.333
ENST00000361988_90_90;0.8;0.8;0.889;0.889;1.0;0.889;0.375;0.25;0.333;0.375;0.375;0.889;0.8;0.889;1.0;0.889;0.375;0.375
ENST00000367574_90_90;0.9;0.9;0.8;1.0;0.889;1.0;0.333;0.222;0.3;0.333;0.333;0.8;0.9;0.8;0.889;1.0;0.333;0.333
ENST00000470275_90_90;0.3;0.3;0.333;0.333;0.375;0.333;1.0;0.25;0.75;0.5;1.0;0.333;0.3;0.333;0.375;0.333;1.0;0.2
ENST00000472520_90_90;0.2;0.2;0.222;0.222;0.25;0.222;0.25;1.0;0.2;0.25;0.25;0.222;0.2;0.222;0.25;0.222;0.25;0.667
ENST00000485288_90_90;0.273;0.273;0.3;0.3;0.333;0.3;0.75;0.2;1.0;0.4;0.75;0.3;0.273;0.3;0.333;0.3;0.75;0.167
ENST00000489940_90_90;0.3;0.3;0.333;0.333;0.375;0.333;0.5;0.25;0.4;1.0;0.5;0.333;0.3;0.333;0.375;0.333;0.5;0.2
ENST00000528612_90_90;0.3;0.3;0.333;0.333;0.375;0.333;1.0;0.25;0.75;0.5;1.0;0.333;0.3;0.333;0.375;0.333;1.0;0.2
ENST00000537758_90_90;0.9;0.9;1.0;0.8;0.889;0.8;0.333;0.222;0.3;0.333;0.333;1.0;0.9;1.0;0.889;0.8;0.333;0.333
ENSMUST00000077595_90_90;1.0;1.0;0.9;0.9;0.8;0.9;0.3;0.2;0.273;0.3;0.3;0.9;1.0;0.9;0.8;0.9;0.3;0.3
ENSMUST00000082320_90_90;0.9;0.9;1.0;0.8;0.889;0.8;0.333;0.222;0.3;0.333;0.333;1.0;0.9;1.0;0.889;0.8;0.333;0.333
ENSMUST00000089402_90_90;0.8;0.8;0.889;0.889;1.0;0.889;0.375;0.25;0.333;0.375;0.375;0.889;0.8;0.889;1.0;0.889;0.375;0.375
ENSMUST00000089403_90_90;0.9;0.9;0.8;1.0;0.889;1.0;0.333;0.222;0.3;0.333;0.333;0.8;0.9;0.8;0.889;1.0;0.333;0.333
ENSMUST00000122943_90_90;0.3;0.3;0.333;0.333;0.375;0.333;1.0;0.25;0.75;0.5;1.0;0.333;0.3;0.333;0.375;0.333;1.0;0.2
ENSMUST00000154695_90_90;0.3;0.3;0.333;0.333;0.375;0.333;0.2;0.667;0.167;0.2;0.2;0.333;0.3;0.333;0.375;0.333;0.2;1.0
