;transcript7_ENSMSIG00000000513;transcript38_ENSMSIG00000000513;transcript38_MGP-SPRETEiJ-G0021131;transcript38_ENSMUSG00000054036;transcript52_ENSMSIG00000000513;transcript52_MGP-SPRETEiJ-G0021131;transcript58_ENSMSIG00000000513;transcript58_ENSMUSG00000054036;transcript63_MGP-SPRETEiJ-G0021131;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript8_ENSRNOG00000031503;transcript47_MGP-CAROLIEiJ-G0020234;transcript39_MGP-PahariEiJ-G0020237;transcript39_ENSRNOG00000031503;transcript31_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013649;transcript32_ENSMUGG00000013592;transcript50_ENSRNOG00000031503;transcript50_ENSMUGG00000013649;transcript12_ENSMUGG00000013649
transcript7_ENSMSIG00000000513;1.0;0.392;0.792;0.417;0.408;0.864;0.56;0.596;0.75;0.894;0.857;0.809;0.794;0.917;0.872;0.811;0.838;0.838;0.885;0.885;0.912;0.939;0.92
transcript38_ENSMSIG00000000513;0.392;1.0;1.0;1.0;0.92;0.917;0.425;0.425;0.958;0.449;0.49;0.333;0.324;0.479;0.489;0.486;0.514;0.514;0.481;0.481;0.432;0.423;0.442
transcript38_MGP-SPRETEiJ-G0021131;0.792;1.0;1.0;1.0;0.917;0.917;0.667;0.667;0.575;0.525;0.575;0.417;0.367;0.611;0.611;0.567;0.6;0.6;0.6;0.6;0.5;0.525;0.55
transcript38_ENSMUSG00000054036;0.417;1.0;1.0;1.0;0.92;0.917;0.425;0.425;0.575;0.338;0.369;0.271;0.255;0.39;0.397;0.383;0.404;0.404;0.385;0.385;0.34;0.338;0.354
transcript52_ENSMSIG00000000513;0.408;0.92;0.917;0.92;1.0;1.0;0.447;0.447;0.875;0.468;0.449;0.333;0.343;0.479;0.447;0.432;0.459;0.459;0.442;0.442;0.417;0.412;0.404
transcript52_MGP-SPRETEiJ-G0021131;0.864;0.917;0.917;0.917;1.0;1.0;0.727;0.727;0.525;0.553;0.525;0.417;0.393;0.611;0.556;0.5;0.533;0.533;0.55;0.55;0.483;0.513;0.5
transcript58_ENSMSIG00000000513;0.56;0.425;0.667;0.425;0.447;0.727;1.0;1.0;0.696;0.696;0.667;0.532;0.529;0.646;0.617;0.611;0.595;0.595;0.615;0.615;0.556;0.588;0.577
transcript58_ENSMUSG00000054036;0.596;0.425;0.667;0.425;0.447;0.727;1.0;1.0;0.41;0.516;0.5;0.431;0.409;0.525;0.5;0.478;0.468;0.468;0.492;0.492;0.435;0.469;0.462
transcript63_MGP-SPRETEiJ-G0021131;0.75;0.958;0.575;0.575;0.875;0.525;0.696;0.41;1.0;0.949;1.0;0.829;0.793;0.972;1.0;1.0;0.967;0.967;0.975;0.975;0.867;0.9;0.925
transcript54_ENSMUSG00000054036;0.894;0.449;0.525;0.338;0.468;0.553;0.696;0.516;0.949;1.0;0.969;0.897;0.909;0.983;0.966;0.957;0.936;0.936;0.954;0.954;0.913;0.938;0.923
transcript55_ENSMUSG00000054036;0.857;0.49;0.575;0.369;0.449;0.525;0.667;0.5;1.0;0.969;1.0;0.897;0.87;0.983;1.0;1.0;0.979;0.979;0.985;0.985;0.915;0.938;0.954
transcript8_MGP-CAROLIEiJ-G0020234;0.809;0.333;0.417;0.271;0.333;0.417;0.532;0.431;0.829;0.897;0.897;1.0;1.0;0.887;0.891;0.905;0.884;0.884;0.887;0.887;0.881;0.885;0.885
transcript8_ENSRNOG00000031503;0.794;0.324;0.367;0.255;0.343;0.393;0.529;0.409;0.793;0.909;0.87;1.0;1.0;0.884;0.755;0.764;0.75;0.75;0.75;0.75;0.759;0.759;0.745
transcript47_MGP-CAROLIEiJ-G0020234;0.917;0.479;0.611;0.39;0.479;0.611;0.646;0.525;0.972;0.983;0.983;0.887;0.884;1.0;1.0;0.977;1.0;1.0;1.0;1.0;0.953;0.968;0.968
transcript39_MGP-PahariEiJ-G0020237;0.872;0.489;0.611;0.397;0.447;0.556;0.617;0.5;1.0;0.966;1.0;0.891;0.755;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.939;0.958;0.972
transcript39_ENSRNOG00000031503;0.811;0.486;0.567;0.383;0.432;0.5;0.611;0.478;1.0;0.957;1.0;0.905;0.764;0.977;1.0;1.0;0.982;0.982;0.982;0.982;0.929;0.929;0.946
transcript31_ENSRNOG00000031503;0.838;0.514;0.6;0.404;0.459;0.533;0.595;0.468;0.967;0.936;0.979;0.884;0.75;1.0;1.0;0.982;1.0;1.0;1.0;1.0;0.946;0.946;0.964
transcript32_ENSRNOG00000031503;0.838;0.514;0.6;0.404;0.459;0.533;0.595;0.468;0.967;0.936;0.979;0.884;0.75;1.0;1.0;0.982;1.0;1.0;1.0;1.0;0.946;0.946;0.964
transcript32_ENSMUGG00000013649;0.885;0.481;0.6;0.385;0.442;0.55;0.615;0.492;0.975;0.954;0.985;0.887;0.75;1.0;1.0;0.982;1.0;1.0;1.0;1.0;0.946;0.963;0.975
transcript32_ENSMUGG00000013592;0.885;0.481;0.6;0.385;0.442;0.55;0.615;0.492;0.975;0.954;0.985;0.887;0.75;1.0;1.0;0.982;1.0;1.0;1.0;1.0;0.946;0.963;0.975
transcript50_ENSRNOG00000031503;0.912;0.432;0.5;0.34;0.417;0.483;0.556;0.435;0.867;0.913;0.915;0.881;0.759;0.953;0.939;0.929;0.946;0.946;0.946;0.946;1.0;1.0;0.981
transcript50_ENSMUGG00000013649;0.939;0.423;0.525;0.338;0.412;0.513;0.588;0.469;0.9;0.938;0.938;0.885;0.759;0.968;0.958;0.929;0.946;0.946;0.963;0.963;1.0;1.0;0.987
