;ENSCAFT00000023830_90_90;ENST00000318386_90_90;ENST00000429429_90_90;ENST00000480936_90_90;ENST00000483348_90_90;ENST00000488267_90_90;ENST00000489418_90_90;ENSMUST00000057551_90_90;ENSMUST00000075670_90_90;ENSMUST00000101354_90_90;ENSMUST00000139518_90_90;ENSMUST00000151081_90_90
ENSCAFT00000023830_90_90;1.0;0.528;0.457;0.219;0.5;0.471;0.514;0.333;0.314;0.306;0.382;0.148
ENST00000318386_90_90;0.528;1.0;0.857;0.212;0.733;0.821;0.929;0.225;0.237;0.2;0.333;0.143
ENST00000429429_90_90;0.457;0.857;1.0;0.2;0.714;0.808;0.923;0.154;0.162;0.128;0.257;0.12
ENST00000480936_90_90;0.219;0.212;0.2;1.0;0.125;0.129;0.226;0.375;0.409;0.333;0.391;0.231
ENST00000483348_90_90;0.5;0.733;0.714;0.125;1.0;0.88;0.786;0.154;0.162;0.128;0.257;0.077
ENST00000488267_90_90;0.471;0.821;0.808;0.129;0.88;1.0;0.885;0.158;0.167;0.132;0.265;0.08
ENST00000489418_90_90;0.514;0.929;0.923;0.226;0.786;0.885;1.0;0.205;0.216;0.179;0.314;0.111
ENSMUST00000057551_90_90;0.333;0.225;0.154;0.375;0.154;0.158;0.205;1.0;0.818;0.952;0.577;0.19
ENSMUST00000075670_90_90;0.314;0.237;0.162;0.409;0.162;0.167;0.216;0.818;1.0;0.773;0.625;0.211
ENSMUST00000101354_90_90;0.306;0.2;0.128;0.333;0.128;0.132;0.179;0.952;0.773;1.0;0.538;0.143
ENSMUST00000139518_90_90;0.382;0.333;0.257;0.391;0.257;0.265;0.314;0.577;0.625;0.538;1.0;0.2
ENSMUST00000151081_90_90;0.148;0.143;0.12;0.231;0.077;0.08;0.111;0.19;0.211;0.143;0.2;1.0
