;ENSCAFT00000013778_90_90;ENST00000320672_90_90;ENST00000504985_90_90;ENST00000505980_90_90;ENST00000509013_90_90;ENST00000509053_90_90;ENST00000512923_90_90;ENST00000514493_90_90;ENST00000515395_90_90;ENST00000615665_90_90;ENSMUST00000004094_90_90;ENSMUST00000042122_90_90;ENSMUST00000138488_90_90
ENSCAFT00000013778_90_90;1.0;0.999;0.739;0.944;0.532;0.825;0.714;0.916;0.916;0.999;0.821;0.744;0.019
ENST00000320672_90_90;0.999;1.0;0.724;0.945;0.508;0.825;0.7;0.917;0.897;0.978;0.82;0.743;0.019
ENST00000504985_90_90;0.739;0.724;1.0;0.669;0.325;0.553;0.914;0.642;0.664;0.745;0.763;0.677;0.0
ENST00000505980_90_90;0.944;0.945;0.669;1.0;0.455;0.77;0.646;0.861;0.843;0.924;0.769;0.692;0.02
ENST00000509013_90_90;0.532;0.508;0.325;0.455;1.0;0.47;0.335;0.429;0.42;0.498;0.43;0.353;0.0
ENST00000509053_90_90;0.825;0.825;0.553;0.77;0.47;1.0;0.529;0.9;0.879;0.808;0.658;0.713;0.022
ENST00000512923_90_90;0.714;0.7;0.914;0.646;0.335;0.529;1.0;0.618;0.605;0.685;0.737;0.651;0.0
ENST00000514493_90_90;0.916;0.917;0.642;0.861;0.429;0.9;0.618;1.0;0.976;0.897;0.743;0.805;0.02
ENST00000515395_90_90;0.916;0.897;0.664;0.843;0.42;0.879;0.605;0.976;1.0;0.919;0.743;0.805;0.02
ENST00000615665_90_90;0.999;0.978;0.745;0.924;0.498;0.808;0.685;0.897;0.919;1.0;0.82;0.743;0.019
ENSMUST00000004094_90_90;0.821;0.82;0.763;0.769;0.43;0.658;0.737;0.743;0.743;0.82;1.0;0.917;0.123
ENSMUST00000042122_90_90;0.744;0.743;0.677;0.692;0.353;0.713;0.651;0.805;0.805;0.743;0.917;1.0;0.134
ENSMUST00000138488_90_90;0.019;0.019;0.0;0.02;0.0;0.022;0.0;0.02;0.02;0.019;0.123;0.134;1.0
