;ENSCAFT00000005965_90_90;ENSCAFT00000045237_90_90;ENST00000323906_90_90;ENST00000391859_90_90;ENST00000426897_90_90;ENST00000535669_90_90;ENST00000594743_90_90;ENST00000595660_90_90;ENST00000595725_90_90;ENST00000597602_90_90;ENST00000598095_90_90;ENSMUST00000033063_90_90;ENSMUST00000098461_90_90;ENSMUST00000209779_90_90;ENSMUST00000210078_90_90;ENSMUST00000210226_90_90;ENSMUST00000210372_90_90;ENSMUST00000211373_90_90
ENSCAFT00000005965_90_90;1.0;0.944;0.786;0.357;0.714;0.714;0.5;0.5;0.429;0.071;0.643;1.0;1.0;0.727;0.818;0.273;0.0;0.909
ENSCAFT00000045237_90_90;0.944;1.0;0.786;0.357;0.714;0.714;0.5;0.5;0.429;0.071;0.643;1.0;1.0;0.727;0.818;0.273;0.0;0.909
ENST00000323906_90_90;0.786;0.786;1.0;0.611;0.588;0.842;0.389;0.435;0.647;0.059;0.474;1.0;1.0;0.812;0.812;0.176;0.278;0.882
ENST00000391859_90_90;0.357;0.357;0.611;1.0;0.222;0.579;0.111;0.556;0.769;0.083;0.211;0.625;0.625;0.769;0.643;0.0;0.417;0.625
ENST00000426897_90_90;0.714;0.714;0.588;0.222;1.0;0.474;0.636;0.13;0.312;0.1;0.75;0.625;0.625;0.438;0.533;0.273;0.0;0.529
ENST00000535669_90_90;0.714;0.714;0.842;0.579;0.474;1.0;0.368;0.417;0.611;0.056;0.611;0.882;0.882;0.812;0.812;0.25;0.278;1.0
ENST00000594743_90_90;0.5;0.5;0.389;0.111;0.636;0.368;1.0;0.043;0.188;0.0;0.583;0.438;0.438;0.333;0.429;0.375;0.0;0.438
ENST00000595660_90_90;0.5;0.5;0.435;0.556;0.13;0.417;0.043;1.0;0.5;0.062;0.125;0.5;0.5;0.6;0.5;0.0;0.636;0.5
ENST00000595725_90_90;0.429;0.429;0.647;0.769;0.312;0.611;0.188;0.5;1.0;0.091;0.294;0.625;0.625;0.769;0.643;0.0;0.308;0.625
ENST00000597602_90_90;0.071;0.071;0.059;0.083;0.1;0.056;0.0;0.062;0.091;1.0;0.091;0.062;0.062;0.077;0.077;0.0;0.0;0.062
ENST00000598095_90_90;0.643;0.643;0.474;0.211;0.75;0.611;0.583;0.125;0.294;0.091;1.0;0.529;0.529;0.438;0.533;0.4;0.0;0.625
ENSMUST00000033063_90_90;1.0;1.0;1.0;0.625;0.625;0.882;0.438;0.5;0.625;0.062;0.529;1.0;0.895;0.7;0.789;0.15;0.261;0.8
ENSMUST00000098461_90_90;1.0;1.0;1.0;0.625;0.625;0.882;0.438;0.5;0.625;0.062;0.529;0.895;1.0;0.778;0.778;0.167;0.286;0.889
ENSMUST00000209779_90_90;0.727;0.727;0.812;0.769;0.438;0.812;0.333;0.6;0.769;0.077;0.438;0.7;0.778;1.0;0.765;0.056;0.316;0.778
ENSMUST00000210078_90_90;0.818;0.818;0.812;0.643;0.533;0.812;0.429;0.5;0.643;0.077;0.533;0.789;0.778;0.765;1.0;0.118;0.25;0.778
ENSMUST00000210226_90_90;0.273;0.273;0.176;0.0;0.273;0.25;0.375;0.0;0.0;0.0;0.4;0.15;0.167;0.056;0.118;1.0;0.0;0.235
ENSMUST00000210372_90_90;0.0;0.0;0.278;0.417;0.0;0.278;0.0;0.636;0.308;0.0;0.0;0.261;0.286;0.316;0.25;0.0;1.0;0.286
ENSMUST00000211373_90_90;0.909;0.909;0.882;0.625;0.529;1.0;0.438;0.5;0.625;0.062;0.625;0.8;0.889;0.778;0.778;0.235;0.286;1.0
