;transcript9_ENSMUNG00000007775;transcript21_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript25_ENSMUNG00000007775;transcript26_ENSMUNG00000007775;transcript30_ENSMUNG00000007775;transcript31_ENSMUNG00000007775;transcript32_ENSMUNG00000007775;transcript33_ENSMUNG00000007775;transcript9_ENSMUNG00000002377;transcript13_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript27_ENSMUNG00000002377;transcript35_ENSMUNG00000002377;transcript36_ENSMUNG00000002377;transcript37_ENSMUNG00000002377;transcript38_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript23_ENSMUNG00000002391;transcript30_ENSMUNG00000002391;transcript33_ENSMUNG00000002391
transcript9_ENSMUNG00000007775;1.0;0.922;0.916;0.801;0.914;0.778;1.0;0.94;1.0;0.966;0.876;0.901;0.821;0.803;0.804;0.893;0.891;0.919;0.914;0.778;0.998
transcript21_ENSMUNG00000007775;0.922;1.0;0.994;0.879;0.992;0.856;0.922;0.98;0.922;0.891;0.952;0.979;0.897;0.879;0.882;0.971;0.97;0.997;0.992;0.856;0.92
transcript23_ENSMUNG00000007775;0.916;0.994;1.0;0.873;0.998;0.861;0.916;0.974;0.916;0.896;0.958;0.985;0.902;0.884;0.887;0.977;0.976;0.991;0.998;0.861;0.914
transcript25_ENSMUNG00000007775;0.801;0.879;0.873;1.0;0.872;0.735;0.801;0.859;0.801;0.77;0.835;0.859;0.779;0.762;0.761;0.851;0.849;0.877;0.872;0.735;0.8
transcript26_ENSMUNG00000007775;0.914;0.992;0.998;0.872;1.0;0.863;0.914;0.972;0.914;0.894;0.956;0.983;0.9;0.882;0.886;0.976;0.974;0.99;0.997;0.863;0.912
transcript30_ENSMUNG00000007775;0.778;0.856;0.861;0.735;0.863;1.0;0.778;0.836;0.778;0.771;0.837;0.861;0.781;0.763;0.936;0.853;0.853;0.854;0.86;0.999;0.776
transcript31_ENSMUNG00000007775;1.0;0.922;0.916;0.801;0.914;0.778;1.0;0.94;1.0;0.966;0.876;0.901;0.821;0.803;0.804;0.893;0.891;0.919;0.914;0.778;0.998
transcript32_ENSMUNG00000007775;0.94;0.98;0.974;0.859;0.972;0.836;0.94;1.0;0.94;0.908;0.933;0.959;0.877;0.859;0.862;0.951;0.949;0.977;0.972;0.836;0.938
transcript33_ENSMUNG00000007775;1.0;0.922;0.916;0.801;0.914;0.778;1.0;0.94;1.0;0.966;0.876;0.901;0.821;0.803;0.804;0.893;0.891;0.919;0.914;0.778;0.998
transcript9_ENSMUNG00000002377;0.966;0.891;0.896;0.77;0.894;0.771;0.966;0.908;0.966;1.0;0.881;0.91;0.844;0.826;0.81;0.902;0.9;0.888;0.894;0.771;0.964
transcript13_ENSMUNG00000002377;0.876;0.952;0.958;0.835;0.956;0.837;0.876;0.933;0.876;0.881;1.0;0.969;0.943;0.925;0.873;0.961;0.96;0.95;0.956;0.837;0.875
transcript23_ENSMUNG00000002377;0.901;0.979;0.985;0.859;0.983;0.861;0.901;0.959;0.901;0.91;0.969;1.0;0.912;0.894;0.901;0.992;0.99;0.977;0.983;0.861;0.899
transcript27_ENSMUNG00000002377;0.821;0.897;0.902;0.779;0.9;0.781;0.821;0.877;0.821;0.844;0.943;0.912;1.0;0.981;0.816;0.905;0.903;0.895;0.9;0.781;0.819
transcript35_ENSMUNG00000002377;0.803;0.879;0.884;0.762;0.882;0.763;0.803;0.859;0.803;0.826;0.925;0.894;0.981;1.0;0.798;0.887;0.885;0.877;0.882;0.763;0.802
transcript36_ENSMUNG00000002377;0.804;0.882;0.887;0.761;0.886;0.936;0.804;0.862;0.804;0.81;0.873;0.901;0.816;0.798;1.0;0.908;0.91;0.88;0.885;0.936;0.802
transcript37_ENSMUNG00000002377;0.893;0.971;0.977;0.851;0.976;0.853;0.893;0.951;0.893;0.902;0.961;0.992;0.905;0.887;0.908;1.0;0.998;0.969;0.975;0.854;0.892
transcript38_ENSMUNG00000002377;0.891;0.97;0.976;0.849;0.974;0.853;0.891;0.949;0.891;0.9;0.96;0.99;0.903;0.885;0.91;0.998;1.0;0.967;0.973;0.853;0.89
transcript10_ENSMUNG00000002391;0.919;0.997;0.991;0.877;0.99;0.854;0.919;0.977;0.919;0.888;0.95;0.977;0.895;0.877;0.88;0.969;0.967;1.0;0.993;0.854;0.921
transcript23_ENSMUNG00000002391;0.914;0.992;0.998;0.872;0.997;0.86;0.914;0.972;0.914;0.894;0.956;0.983;0.9;0.882;0.885;0.975;0.973;0.993;1.0;0.86;0.916
transcript30_ENSMUNG00000002391;0.778;0.856;0.861;0.735;0.863;0.999;0.778;0.836;0.778;0.771;0.837;0.861;0.781;0.763;0.936;0.854;0.853;0.854;0.86;1.0;0.776
transcript33_ENSMUNG00000002391;0.998;0.92;0.914;0.8;0.912;0.776;0.998;0.938;0.998;0.964;0.875;0.899;0.819;0.802;0.802;0.892;0.89;0.921;0.916;0.776;1.0
