;transcript38_ENSRNOG00000031503;transcript38_ENSCGRG00015005362;transcript38_ENSCGRG00000018457;transcript38_ENSSTOG00000019743;transcript37_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript37_ENSCGRG00001010245;transcript37_ENSPEMG00000024651;transcript37_ENSSTOG00000019743;transcript57_ENSMUGG00000013649;transcript57_ENSPEMG00000024651;transcript58_ENSMUGG00000013649;transcript58_ENSPEMG00000024651;transcript59_ENSMUGG00000013649;transcript59_ENSPEMG00000024651;transcript51_ENSMUGG00000013592;transcript8_ENSCGRG00000018457;transcript8_ENSCGRG00015005362;transcript8_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript8_ENSSTOG00000019743;transcript9_ENSCGRG00015005362;transcript9_ENSPEMG00000024651;transcript54_ENSCGRG00015005362;transcript52_ENSCGRG00000018457;transcript52_ENSCGRG00001010245;transcript56_ENSCGRG00000018457;transcript56_ENSPEMG00000024651;transcript65_ENSCGRG00000018457;transcript33_ENSPEMG00000024651;transcript33_ENSNGAG00000018584;transcript39_ENSPEMG00000024651;transcript39_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript40_ENSSTOG00000019743
transcript38_ENSRNOG00000031503;1.0;1.0;1.0;1.0;0.888;0.923;0.895;0.836;0.897;0.707;0.678;0.814;0.788;0.804;0.805;0.804;0.786;0.8;0.79;0.736;0.803;1.0;0.986;0.879;0.93;0.94;0.923;0.917;0.917;0.986;0.944;0.814;0.853;1.0;1.0;1.0
transcript38_ENSCGRG00015005362;1.0;1.0;1.0;1.0;0.842;0.871;0.838;0.793;0.841;0.651;0.623;0.764;0.738;0.749;0.748;0.744;0.779;0.793;0.784;0.728;0.796;0.959;0.951;0.815;0.898;0.907;0.914;0.909;0.885;0.951;0.902;0.768;0.799;0.931;0.931;0.931
transcript38_ENSCGRG00000018457;1.0;1.0;1.0;1.0;0.842;0.871;0.837;0.792;0.839;0.652;0.624;0.764;0.74;0.749;0.748;0.745;0.779;0.793;0.784;0.728;0.796;0.956;0.948;0.816;0.895;0.903;0.915;0.91;0.883;0.948;0.899;0.768;0.798;0.931;0.931;0.931
transcript38_ENSSTOG00000019743;1.0;1.0;1.0;1.0;0.834;0.863;0.828;0.785;0.831;0.646;0.617;0.758;0.733;0.743;0.742;0.738;0.779;0.793;0.784;0.728;0.796;0.957;0.949;0.807;0.895;0.904;0.916;0.911;0.883;0.949;0.9;0.76;0.789;0.923;0.923;0.923
transcript37_ENSMUGG00000013649;0.888;0.842;0.842;0.834;1.0;0.996;1.0;0.987;1.0;0.79;0.797;0.909;0.92;0.881;0.799;0.871;0.619;0.626;0.613;0.582;0.623;0.859;0.835;0.982;0.798;0.801;0.774;0.76;0.785;0.835;0.835;0.834;0.844;0.894;0.894;0.894
transcript37_ENSMUGG00000013592;0.923;0.871;0.871;0.863;0.996;1.0;0.996;0.984;0.996;0.786;0.793;0.899;0.913;0.869;0.824;0.865;0.642;0.651;0.636;0.605;0.647;0.883;0.858;0.974;0.821;0.824;0.792;0.778;0.806;0.858;0.859;0.865;0.875;0.919;0.919;0.919
transcript37_ENSCGRG00001010245;0.895;0.838;0.837;0.828;1.0;0.996;1.0;0.987;1.0;0.782;0.788;0.899;0.911;0.871;0.83;0.862;0.616;0.628;0.609;0.579;0.623;0.849;0.821;0.972;0.79;0.794;0.764;0.748;0.777;0.821;0.824;0.873;0.885;0.885;0.885;0.885
transcript37_ENSPEMG00000024651;0.836;0.793;0.792;0.785;0.987;0.984;0.987;1.0;0.987;0.755;0.803;0.894;0.926;0.864;0.812;0.843;0.59;0.598;0.59;0.556;0.594;0.801;0.797;0.962;0.749;0.752;0.728;0.725;0.736;0.797;0.777;0.852;0.845;0.839;0.839;0.839
transcript37_ENSSTOG00000019743;0.897;0.841;0.839;0.831;1.0;0.996;1.0;0.987;1.0;0.786;0.793;0.903;0.915;0.876;0.82;0.867;0.617;0.63;0.611;0.579;0.625;0.857;0.826;0.978;0.796;0.8;0.77;0.752;0.783;0.826;0.826;0.857;0.869;0.893;0.893;0.893
transcript57_ENSMUGG00000013649;0.707;0.651;0.652;0.646;0.79;0.786;0.782;0.755;0.786;1.0;0.984;0.735;0.728;0.704;0.618;0.911;0.43;0.435;0.41;0.419;0.434;0.697;0.657;0.809;0.635;0.637;0.597;0.568;0.621;0.657;0.699;0.627;0.655;0.735;0.735;0.735
transcript57_ENSPEMG00000024651;0.678;0.623;0.624;0.617;0.797;0.793;0.788;0.803;0.793;0.984;1.0;0.746;0.778;0.713;0.661;0.887;0.414;0.42;0.413;0.401;0.418;0.662;0.658;0.817;0.607;0.609;0.571;0.569;0.594;0.658;0.657;0.671;0.666;0.705;0.705;0.705
transcript58_ENSMUGG00000013649;0.814;0.764;0.764;0.758;0.909;0.899;0.899;0.894;0.903;0.735;0.746;1.0;0.986;0.84;0.766;0.801;0.558;0.564;0.557;0.531;0.561;0.808;0.79;0.927;0.867;0.863;0.71;0.701;0.853;0.79;0.79;0.762;0.768;0.845;0.845;0.845
