;ENSCAFT00000028998_90_90;ENST00000587805_90_90;ENST00000588116_90_90;ENST00000589774_90_90;ENST00000590432_90_90;ENST00000590538_90_90;ENST00000591610_90_90;ENST00000592167_90_90;ENST00000593014_90_90;ENST00000610402_90_90;ENST00000612035_90_90;ENST00000612116_90_90;ENST00000614600_90_90;ENST00000616681_90_90;ENST00000616784_90_90;ENST00000618940_90_90;ENST00000620039_90_90;ENST00000621668_90_90;ENST00000621914_90_90;ENST00000628168_90_90;ENSMUST00000018875_90_90;ENSMUST00000065692_90_90;ENSMUST00000142680_90_90;ENSMUST00000176430_90_90;ENSMUST00000176523_90_90;ENSMUST00000176944_90_90
ENSCAFT00000028998_90_90;1.0;0.185;0.044;0.133;0.044;0.104;0.104;0.104;0.111;0.761;0.522;0.522;0.522;0.739;0.478;0.761;0.044;0.5;0.717;0.104;0.526;0.52;0.182;0.538;0.513;0.341
ENST00000587805_90_90;0.185;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.239;0.314;0.314;0.314;0.244;0.333;0.239;0.0;0.324;0.25;0.0;0.26;0.25;0.0;0.247;0.264;0.0
ENST00000588116_90_90;0.044;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.053;0.074;0.074;0.074;0.054;0.08;0.053;0.0;0.077;0.056;0.0;0.027;0.028;0.0;0.026;0.028;0.0
ENST00000589774_90_90;0.133;0.0;0.0;1.0;0.429;0.143;0.143;0.143;0.857;0.189;0.269;0.269;0.269;0.162;0.292;0.189;0.25;0.231;0.2;0.143;0.082;0.085;0.071;0.078;0.068;0.375
ENST00000590432_90_90;0.044;0.0;0.0;0.429;1.0;0.2;0.2;0.2;0.5;0.081;0.115;0.115;0.115;0.083;0.125;0.081;0.5;0.12;0.086;0.2;0.027;0.028;0.1;0.026;0.028;0.125
ENST00000590538_90_90;0.104;0.0;0.0;0.143;0.2;1.0;1.0;1.0;0.154;0.045;0.061;0.061;0.061;0.047;0.065;0.045;0.2;0.062;0.048;1.0;0.066;0.068;0.417;0.062;0.067;0.263
ENST00000591610_90_90;0.104;0.0;0.0;0.143;0.2;1.0;1.0;1.0;0.154;0.045;0.061;0.061;0.061;0.047;0.065;0.045;0.2;0.062;0.048;1.0;0.066;0.068;0.417;0.062;0.067;0.263
ENST00000592167_90_90;0.104;0.0;0.0;0.143;0.2;1.0;1.0;1.0;0.154;0.045;0.061;0.061;0.061;0.047;0.065;0.045;0.2;0.062;0.048;1.0;0.066;0.068;0.417;0.062;0.067;0.263
ENST00000593014_90_90;0.111;0.0;0.0;0.857;0.5;0.154;0.154;0.154;1.0;0.162;0.231;0.231;0.231;0.135;0.25;0.162;0.286;0.192;0.171;0.154;0.068;0.07;0.077;0.065;0.055;0.312
ENST00000610402_90_90;0.761;0.239;0.053;0.189;0.081;0.045;0.045;0.045;0.162;1.0;0.703;0.703;0.703;0.973;0.649;1.0;0.053;0.676;0.946;0.045;0.416;0.408;0.023;0.43;0.403;0.156
ENST00000612035_90_90;0.522;0.314;0.074;0.269;0.115;0.061;0.061;0.061;0.231;0.703;1.0;1.0;1.0;0.676;0.923;0.703;0.074;0.962;0.649;0.061;0.342;0.333;0.03;0.325;0.329;0.206
ENST00000612116_90_90;0.522;0.314;0.074;0.269;0.115;0.061;0.061;0.061;0.231;0.703;1.0;1.0;1.0;0.676;0.923;0.703;0.074;0.962;0.649;0.061;0.342;0.333;0.03;0.325;0.329;0.206
ENST00000614600_90_90;0.522;0.314;0.074;0.269;0.115;0.061;0.061;0.061;0.231;0.703;1.0;1.0;1.0;0.676;0.923;0.703;0.074;0.962;0.649;0.061;0.342;0.333;0.03;0.325;0.329;0.206
ENST00000616681_90_90;0.739;0.244;0.054;0.162;0.083;0.047;0.047;0.047;0.135;0.973;0.676;0.676;0.676;1.0;0.622;0.973;0.054;0.694;0.919;0.047;0.403;0.395;0.023;0.418;0.408;0.133
ENST00000616784_90_90;0.478;0.333;0.08;0.292;0.125;0.065;0.065;0.065;0.25;0.649;0.923;0.923;0.923;0.622;1.0;0.649;0.08;0.885;0.686;0.065;0.315;0.306;0.032;0.299;0.301;0.219
ENST00000618940_90_90;0.761;0.239;0.053;0.189;0.081;0.045;0.045;0.045;0.162;1.0;0.703;0.703;0.703;0.973;0.649;1.0;0.053;0.676;0.946;0.045;0.416;0.408;0.023;0.43;0.403;0.156
ENST00000620039_90_90;0.044;0.0;0.0;0.25;0.5;0.2;0.2;0.2;0.286;0.053;0.074;0.074;0.074;0.054;0.08;0.053;1.0;0.077;0.056;0.2;0.027;0.028;0.222;0.026;0.028;0.125
ENST00000621668_90_90;0.5;0.324;0.077;0.231;0.12;0.062;0.062;0.062;0.192;0.676;0.962;0.962;0.962;0.694;0.885;0.676;0.077;1.0;0.622;0.062;0.329;0.319;0.031;0.312;0.333;0.176
ENST00000621914_90_90;0.717;0.25;0.056;0.2;0.086;0.048;0.048;0.048;0.171;0.946;0.649;0.649;0.649;0.919;0.686;0.946;0.056;0.622;1.0;0.048;0.39;0.382;0.024;0.405;0.377;0.163
ENST00000628168_90_90;0.104;0.0;0.0;0.143;0.2;1.0;1.0;1.0;0.154;0.045;0.061;0.061;0.061;0.047;0.065;0.045;0.2;0.062;0.048;1.0;0.066;0.068;0.417;0.062;0.067;0.263
ENSMUST00000018875_90_90;0.526;0.26;0.027;0.082;0.027;0.066;0.066;0.066;0.068;0.416;0.342;0.342;0.342;0.403;0.315;0.416;0.027;0.329;0.39;0.066;1.0;0.972;0.111;0.922;0.986;0.208
ENSMUST00000065692_90_90;0.52;0.25;0.028;0.085;0.028;0.068;0.068;0.068;0.07;0.408;0.333;0.333;0.333;0.395;0.306;0.408;0.028;0.319;0.382;0.068;0.972;1.0;0.114;0.896;0.958;0.214
ENSMUST00000142680_90_90;0.182;0.0;0.0;0.071;0.1;0.417;0.417;0.417;0.077;0.023;0.03;0.03;0.03;0.023;0.032;0.023;0.222;0.031;0.024;0.417;0.111;0.114;1.0;0.105;0.113;0.533
ENSMUST00000176430_90_90;0.538;0.247;0.026;0.078;0.026;0.062;0.062;0.062;0.065;0.43;0.325;0.325;0.325;0.418;0.299;0.43;0.026;0.312;0.405;0.062;0.922;0.896;0.105;1.0;0.909;0.197
ENSMUST00000176523_90_90;0.513;0.264;0.028;0.068;0.028;0.067;0.067;0.067;0.055;0.403;0.329;0.329;0.329;0.408;0.301;0.403;0.028;0.333;0.377;0.067;0.986;0.958;0.113;0.909;1.0;0.194
ENSMUST00000176944_90_90;0.341;0.0;0.0;0.375;0.125;0.263;0.263;0.263;0.312;0.156;0.206;0.206;0.206;0.133;0.219;0.156;0.125;0.176;0.163;0.263;0.208;0.214;0.533;0.197;0.194;1.0
