;ENSCAFT00000023830_90_90;ENST00000318386_90_90;ENST00000429429_90_90;ENST00000480936_90_90;ENST00000483348_90_90;ENST00000488267_90_90;ENST00000489418_90_90;ENSMUST00000057551_90_90;ENSMUST00000075670_90_90;ENSMUST00000101354_90_90;ENSMUST00000139518_90_90;ENSMUST00000151081_90_90
ENSCAFT00000023830_90_90;1.0;0.648;0.54;0.453;0.578;0.555;0.658;0.657;0.61;0.596;0.68;0.122
ENST00000318386_90_90;0.648;1.0;0.834;0.425;0.752;0.848;0.975;0.525;0.564;0.47;0.641;0.122
ENST00000429429_90_90;0.54;0.834;1.0;0.404;0.631;0.726;0.856;0.423;0.455;0.366;0.52;0.142
ENST00000480936_90_90;0.453;0.425;0.404;1.0;0.335;0.324;0.434;0.497;0.541;0.432;0.607;0.177
ENST00000483348_90_90;0.578;0.752;0.631;0.335;1.0;0.881;0.771;0.45;0.485;0.392;0.557;0.098
ENST00000488267_90_90;0.555;0.848;0.726;0.324;0.881;1.0;0.87;0.437;0.47;0.38;0.537;0.094
ENST00000489418_90_90;0.658;0.975;0.856;0.434;0.771;0.87;1.0;0.532;0.573;0.476;0.652;0.122
ENSMUST00000057551_90_90;0.657;0.525;0.423;0.497;0.45;0.437;0.532;1.0;0.823;0.927;0.737;0.122
ENSMUST00000075670_90_90;0.61;0.564;0.455;0.541;0.485;0.47;0.573;0.823;1.0;0.753;0.808;0.135
ENSMUST00000101354_90_90;0.596;0.47;0.366;0.432;0.392;0.38;0.476;0.927;0.753;1.0;0.667;0.05
ENSMUST00000139518_90_90;0.68;0.641;0.52;0.607;0.557;0.537;0.652;0.737;0.808;0.667;1.0;0.154
ENSMUST00000151081_90_90;0.122;0.122;0.142;0.177;0.098;0.094;0.122;0.122;0.135;0.05;0.154;1.0
