;ENSCAFT00000023590_90_90;ENST00000299259_90_90;ENST00000388901_90_90;ENST00000542928_90_90;ENST00000558843_90_90;ENST00000560240_90_90;ENST00000561248_90_90;ENSMUST00000028635_90_90;ENSMUST00000110462_90_90;ENSMUST00000110463_90_90
ENSCAFT00000023590_90_90;1.0;0.769;0.833;0.75;0.583;0.083;0.417;0.833;0.692;0.769
ENST00000299259_90_90;0.769;1.0;0.917;0.833;0.667;0.077;0.5;0.917;0.917;1.0
ENST00000388901_90_90;0.833;0.917;1.0;0.909;0.727;0.083;0.545;1.0;0.833;0.917
ENST00000542928_90_90;0.75;0.833;0.909;1.0;0.636;0.091;0.6;0.909;0.75;0.833
ENST00000558843_90_90;0.583;0.667;0.727;0.636;1.0;0.0;0.75;0.727;0.583;0.667
ENST00000560240_90_90;0.083;0.077;0.083;0.091;0.0;1.0;0.0;0.083;0.083;0.077
ENST00000561248_90_90;0.417;0.5;0.545;0.6;0.75;0.0;1.0;0.545;0.417;0.5
ENSMUST00000028635_90_90;0.833;0.917;1.0;0.909;0.727;0.083;0.545;1.0;0.833;0.917
ENSMUST00000110462_90_90;0.692;0.917;0.833;0.75;0.583;0.083;0.417;0.833;1.0;0.917
ENSMUST00000110463_90_90;0.769;1.0;0.917;0.833;0.667;0.077;0.5;0.917;0.917;1.0
