;ENSCAFT00000027630_90_90;ENST00000258962_90_90;ENST00000581979_90_90;ENST00000582730_90_90;ENST00000583741_90_90;ENST00000584668_90_90;ENST00000584773_90_90;ENST00000585096_90_90;ENSMUST00000079866_90_90;ENSMUST00000107920_90_90;ENSMUST00000134824_90_90;ENSMUST00000139129_90_90;ENSMUST00000172186_90_90
ENSCAFT00000027630_90_90;1.0;0.471;0.412;0.412;0.062;0.2;0.625;0.2;0.5;0.733;0.4;0.562;0.286
ENST00000258962_90_90;0.471;1.0;0.769;0.769;0.231;0.417;0.786;0.308;0.643;0.667;0.333;0.846;0.133
ENST00000581979_90_90;0.412;0.769;1.0;1.0;0.25;0.231;0.714;0.333;0.833;0.6;0.357;0.643;0.143
ENST00000582730_90_90;0.412;0.769;1.0;1.0;0.25;0.231;0.714;0.333;0.833;0.6;0.357;0.643;0.143
ENST00000583741_90_90;0.062;0.231;0.25;0.25;1.0;0.0;0.214;0.5;0.154;0.133;0.0;0.143;0.0
ENST00000584668_90_90;0.2;0.417;0.231;0.231;0.0;1.0;0.286;0.0;0.231;0.286;0.3;0.417;0.111
ENST00000584773_90_90;0.625;0.786;0.714;0.714;0.214;0.286;1.0;0.385;0.6;0.857;0.5;0.667;0.286
ENST00000585096_90_90;0.2;0.308;0.333;0.333;0.5;0.0;0.385;1.0;0.231;0.286;0.083;0.214;0.111
ENSMUST00000079866_90_90;0.5;0.643;0.833;0.833;0.154;0.231;0.6;0.231;1.0;0.714;0.357;0.769;0.143
ENSMUST00000107920_90_90;0.733;0.667;0.6;0.6;0.133;0.286;0.857;0.286;0.714;1.0;0.5;0.786;0.286
ENSMUST00000134824_90_90;0.4;0.333;0.357;0.357;0.0;0.3;0.5;0.083;0.357;0.5;1.0;0.333;0.625
ENSMUST00000139129_90_90;0.562;0.846;0.643;0.643;0.143;0.417;0.667;0.214;0.769;0.786;0.333;1.0;0.133
ENSMUST00000172186_90_90;0.286;0.133;0.143;0.143;0.0;0.111;0.286;0.111;0.143;0.286;0.625;0.133;1.0
