;ENSCAFT00000029427_90_90;ENST00000361219_90_90;ENST00000370990_90_90;ENST00000370994_90_90;ENST00000370995_90_90;ENSMUST00000042990_90_90;ENSMUST00000203077_90_90;ENSMUST00000203233_90_90;ENSMUST00000203436_90_90;ENSMUST00000204034_90_90;ENSMUST00000204135_90_90;ENSMUST00000204293_90_90;ENSMUST00000204294_90_90;ENSMUST00000205091_90_90;ENSMUST00000205106_90_90
ENSCAFT00000029427_90_90;1.0;0.963;0.985;0.948;1.0;1.0;0.963;0.381;0.985;0.454;0.183;0.948;0.518;0.361;0.889
ENST00000361219_90_90;0.963;1.0;0.949;0.985;0.963;0.963;1.0;0.395;0.948;0.426;0.19;0.985;0.538;0.375;0.923
ENST00000370990_90_90;0.985;0.949;1.0;0.963;0.985;0.985;0.948;0.387;1.0;0.461;0.185;0.963;0.526;0.367;0.903
ENST00000370994_90_90;0.948;0.985;0.963;1.0;0.949;0.948;0.985;0.402;0.963;0.433;0.193;1.0;0.547;0.381;0.938
ENST00000370995_90_90;1.0;0.963;0.985;0.949;1.0;1.0;0.963;0.381;0.985;0.454;0.183;0.948;0.518;0.361;0.889
ENSMUST00000042990_90_90;1.0;0.963;0.985;0.948;1.0;1.0;0.963;0.381;0.985;0.452;0.183;0.948;0.518;0.361;0.889
ENSMUST00000203077_90_90;0.963;1.0;0.948;0.985;0.963;0.963;1.0;0.395;0.948;0.425;0.19;0.985;0.538;0.375;0.923
ENSMUST00000203233_90_90;0.381;0.395;0.387;0.402;0.381;0.381;0.395;1.0;0.387;0.386;0.48;0.402;0.681;0.928;0.428
ENSMUST00000203436_90_90;0.985;0.948;1.0;0.963;0.985;0.985;0.948;0.387;1.0;0.459;0.185;0.963;0.526;0.367;0.903
ENSMUST00000204034_90_90;0.454;0.426;0.461;0.433;0.454;0.452;0.425;0.386;0.459;1.0;0.351;0.431;0.393;0.391;0.371
ENSMUST00000204135_90_90;0.183;0.19;0.185;0.193;0.183;0.183;0.19;0.48;0.185;0.351;1.0;0.193;0.311;0.44;0.205
ENSMUST00000204293_90_90;0.948;0.985;0.963;1.0;0.948;0.948;0.985;0.402;0.963;0.431;0.193;1.0;0.547;0.381;0.938
ENSMUST00000204294_90_90;0.518;0.538;0.526;0.547;0.518;0.518;0.538;0.681;0.526;0.393;0.311;0.547;1.0;0.683;0.583
ENSMUST00000205091_90_90;0.361;0.375;0.367;0.381;0.361;0.361;0.375;0.928;0.367;0.391;0.44;0.381;0.683;1.0;0.4
ENSMUST00000205106_90_90;0.889;0.923;0.903;0.938;0.889;0.889;0.923;0.428;0.903;0.371;0.205;0.938;0.583;0.4;1.0
