;transcript6_ENSMPUG00000020072;transcript6_ENSECAG00000007947;transcript8_ENSMPUG00000020072;transcript8_ENSECAG00000007947;transcript10_ENSMPUG00000020072;transcript13_ENSMPUG00000020072;transcript4_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript14_ENSECAG00000007947;transcript15_ENSECAG00000007947;transcript16_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript18_ENSECAG00000007947;transcript19_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript21_ENSECAG00000007947
transcript6_ENSMPUG00000020072;1.0;0.765;0.591;0.534;0.867;0.994;0.782;0.762;0.538;0.692;0.698;0.79;0.538;0.538;0.727;0.762
transcript6_ENSECAG00000007947;0.765;1.0;0.447;0.587;0.688;0.762;0.974;0.95;0.627;0.853;0.871;0.968;0.627;0.627;0.885;0.95
transcript8_ENSMPUG00000020072;0.591;0.447;1.0;0.621;0.581;0.595;0.473;0.461;0.316;0.385;0.456;0.473;0.316;0.316;0.422;0.461
transcript8_ENSECAG00000007947;0.534;0.587;0.621;1.0;0.522;0.531;0.614;0.599;0.385;0.502;0.604;0.615;0.385;0.385;0.641;0.599
transcript10_ENSMPUG00000020072;0.867;0.688;0.581;0.522;1.0;0.871;0.714;0.73;0.524;0.678;0.744;0.698;0.524;0.524;0.694;0.73
transcript13_ENSMPUG00000020072;0.994;0.762;0.595;0.531;0.871;1.0;0.778;0.759;0.535;0.688;0.696;0.786;0.535;0.535;0.724;0.759
transcript4_ENSECAG00000007947;0.782;0.974;0.473;0.614;0.714;0.778;1.0;0.976;0.654;0.879;0.897;0.983;0.654;0.654;0.911;0.976
transcript7_ENSECAG00000007947;0.762;0.95;0.461;0.599;0.73;0.759;0.976;1.0;0.638;0.903;0.921;0.959;0.638;0.638;0.935;1.0
transcript14_ENSECAG00000007947;0.538;0.627;0.316;0.385;0.524;0.535;0.654;0.638;1.0;0.706;0.633;0.637;1.0;1.0;0.574;0.638
transcript15_ENSECAG00000007947;0.692;0.853;0.385;0.502;0.678;0.688;0.879;0.903;0.706;1.0;0.865;0.863;0.706;0.706;0.839;0.903
transcript16_ENSECAG00000007947;0.698;0.871;0.456;0.604;0.744;0.696;0.897;0.921;0.633;0.865;1.0;0.881;0.633;0.633;0.857;0.921
transcript17_ENSECAG00000007947;0.79;0.968;0.473;0.615;0.698;0.786;0.983;0.959;0.637;0.863;0.881;1.0;0.637;0.637;0.895;0.959
transcript18_ENSECAG00000007947;0.538;0.627;0.316;0.385;0.524;0.535;0.654;0.638;1.0;0.706;0.633;0.637;1.0;1.0;0.574;0.638
transcript19_ENSECAG00000007947;0.538;0.627;0.316;0.385;0.524;0.535;0.654;0.638;1.0;0.706;0.633;0.637;1.0;1.0;0.574;0.638
transcript20_ENSECAG00000007947;0.727;0.885;0.422;0.641;0.694;0.724;0.911;0.935;0.574;0.839;0.857;0.895;0.574;0.574;1.0;0.935
transcript21_ENSECAG00000007947;0.762;0.95;0.461;0.599;0.73;0.759;0.976;1.0;0.638;0.903;0.921;0.959;0.638;0.638;0.935;1.0
