transcript;gene
transcript52_ENSMUSG00000054036;ENSMUSG00000054036
transcript57_ENSMUSG00000054036;ENSMUSG00000054036
transcript64_ENSMUSG00000054036;ENSMUSG00000054036
transcript67_ENSMUSG00000054036;ENSMUSG00000054036
transcript9_MGP-CAROLIEiJ-G0020234;MGP-CAROLIEiJ-G0020234
transcript52_MGP-CAROLIEiJ-G0020234;MGP-CAROLIEiJ-G0020234
transcript62_MGP-CAROLIEiJ-G0020234;MGP-CAROLIEiJ-G0020234
transcript63_MGP-CAROLIEiJ-G0020234;MGP-CAROLIEiJ-G0020234
transcript7_MGP-PahariEiJ-G0020237;MGP-PahariEiJ-G0020237
transcript9_MGP-PahariEiJ-G0020237;MGP-PahariEiJ-G0020237
transcript48_MGP-PahariEiJ-G0020237;MGP-PahariEiJ-G0020237
transcript8_ENSRNOG00000031503;ENSRNOG00000031503
transcript40_ENSRNOG00000031503;ENSRNOG00000031503
transcript49_ENSRNOG00000031503;ENSRNOG00000031503
transcript53_ENSRNOG00000031503;ENSRNOG00000031503
transcript54_ENSRNOG00000031503;ENSRNOG00000031503
transcript55_ENSRNOG00000031503;ENSRNOG00000031503
transcript41_ENSMUGG00000013649;ENSMUGG00000013649
