;ENSCAFT00000025873_90_90;ENSCAFT00000025875_90_90;ENST00000315266_90_90;ENST00000459628_90_90;ENST00000478722_90_90;ENST00000543237_90_90;ENST00000553936_90_90;ENST00000555456_90_90;ENST00000555503_90_90;ENST00000555668_90_90;ENST00000556240_90_90;ENST00000556633_90_90;ENST00000557654_90_90;ENSMUST00000052472_90_90;ENSMUST00000110388_90_90
ENSCAFT00000025873_90_90;1.0;0.36;0.8;0.455;0.727;1.0;0.05;0.4;0.05;0.1;0.05;0.15;0.1;1.0;0.773
ENSCAFT00000025875_90_90;0.36;1.0;0.5;0.353;0.611;0.409;0.0;0.188;0.091;0.0;0.091;0.0;0.0;0.409;0.6
ENST00000315266_90_90;0.8;0.5;1.0;0.435;0.9;0.818;0.158;0.368;0.053;0.211;0.053;0.278;0.211;0.842;0.842
ENST00000459628_90_90;0.455;0.353;0.435;1.0;0.522;0.48;0.188;0.211;0.0;0.25;0.0;0.25;0.25;0.476;0.632
ENST00000478722_90_90;0.727;0.611;0.9;0.522;1.0;0.75;0.143;0.333;0.048;0.19;0.048;0.25;0.19;0.762;0.947
ENST00000543237_90_90;1.0;0.409;0.818;0.48;0.75;1.0;0.13;0.364;0.043;0.174;0.043;0.227;0.174;1.0;0.81
ENST00000553936_90_90;0.05;0.0;0.158;0.188;0.143;0.13;1.0;0.0;0.0;0.5;0.0;0.5;0.5;0.105;0.105
ENST00000555456_90_90;0.4;0.188;0.368;0.211;0.333;0.364;0.0;1.0;0.0;0.0;0.0;0.083;0.0;0.368;0.3
ENST00000555503_90_90;0.05;0.091;0.053;0.0;0.048;0.043;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.053;0.053
ENST00000555668_90_90;0.1;0.0;0.211;0.25;0.19;0.174;0.5;0.0;0.0;1.0;0.0;0.667;1.0;0.158;0.158
ENST00000556240_90_90;0.05;0.091;0.053;0.0;0.048;0.043;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.053;0.053
ENST00000556633_90_90;0.15;0.0;0.278;0.25;0.25;0.227;0.5;0.083;0.0;0.667;0.0;1.0;0.667;0.211;0.211
ENST00000557654_90_90;0.1;0.0;0.211;0.25;0.19;0.174;0.5;0.0;0.0;1.0;0.0;0.667;1.0;0.158;0.158
ENSMUST00000052472_90_90;1.0;0.409;0.842;0.476;0.762;1.0;0.105;0.368;0.053;0.158;0.053;0.211;0.158;1.0;0.783
ENSMUST00000110388_90_90;0.773;0.6;0.842;0.632;0.947;0.81;0.105;0.3;0.053;0.158;0.053;0.211;0.158;0.783;1.0
