;ENSCAFT00000006410_90_90;ENSCAFT00000006413_90_90;ENSCAFT00000011282_90_90;ENST00000229471_90_90;ENST00000354650_90_90;ENST00000368667_90_90;ENST00000368678_90_90;ENST00000368682_90_90;ENST00000462598_90_90;ENST00000462856_90_90;ENST00000484067_90_90;ENST00000487824_90_90;ENST00000517419_90_90;ENST00000518295_90_90;ENST00000518630_90_90;ENST00000520518_90_90;ENST00000521062_90_90;ENST00000523238_90_90;ENST00000523570_90_90;ENST00000523574_90_90;ENST00000524310_90_90;ENST00000538466_90_90;ENST00000519728_90_90;ENST00000520050_90_90;ENST00000520220_90_90;ENSMUST00000063091_90_90;ENSMUST00000099967_90_90;ENSMUST00000126486_90_90;ENSMUST00000135242_90_90;ENSMUST00000136659_90_90;ENSMUST00000146287_90_90;ENSMUST00000148152_90_90;ENSMUST00000157009_90_90;ENSMUST00000041377_90_90;ENSMUST00000103010_90_90
ENSCAFT00000006410_90_90;1.0;0.673;0.94;0.896;0.999;0.999;0.817;0.817;0.13;0.432;0.198;0.12;0.326;0.284;0.219;0.346;0.191;0.283;0.215;0.259;0.269;0.817;0.0;0.0;0.0;0.817;0.999;0.817;0.817;0.896;0.817;0.212;0.068;0.947;0.908
ENSCAFT00000006413_90_90;0.673;1.0;0.698;0.749;0.673;0.673;0.677;0.677;0.0;0.242;0.0;0.0;0.125;0.079;0.007;0.148;0.0;0.078;0.003;0.051;0.062;0.677;0.0;0.0;0.0;0.677;0.673;0.677;0.677;0.749;0.677;0.0;0.0;0.705;0.734
ENSCAFT00000011282_90_90;0.94;0.698;1.0;0.852;0.94;0.94;0.777;0.777;0.108;0.397;0.164;0.098;0.291;0.249;0.183;0.312;0.157;0.249;0.18;0.224;0.234;0.777;0.0;0.0;0.0;0.777;0.94;0.777;0.777;0.852;0.777;0.177;0.061;0.991;0.95
ENST00000229471_90_90;0.896;0.749;0.852;1.0;0.898;0.898;0.903;0.903;0.145;0.482;0.221;0.134;0.364;0.317;0.245;0.387;0.214;0.317;0.241;0.29;0.301;0.903;0.0;0.0;0.0;0.903;0.898;0.903;0.903;1.0;0.903;0.237;0.076;0.86;0.821
ENST00000354650_90_90;0.999;0.673;0.94;0.898;1.0;1.0;0.818;0.818;0.13;0.433;0.199;0.12;0.327;0.285;0.22;0.347;0.192;0.284;0.216;0.26;0.27;0.818;0.0;0.0;0.0;0.818;1.0;0.818;0.818;0.898;0.818;0.213;0.068;0.949;0.91
ENST00000368667_90_90;0.999;0.673;0.94;0.898;1.0;1.0;0.818;0.818;0.13;0.433;0.199;0.12;0.327;0.285;0.22;0.347;0.192;0.284;0.216;0.26;0.27;0.818;0.0;0.0;0.0;0.818;1.0;0.818;0.818;0.898;0.818;0.213;0.068;0.949;0.91
ENST00000368678_90_90;0.817;0.677;0.777;0.903;0.818;0.818;1.0;1.0;0.131;0.435;0.2;0.121;0.328;0.287;0.221;0.349;0.193;0.286;0.217;0.262;0.272;1.0;0.0;0.0;0.0;1.0;0.818;1.0;1.0;0.903;1.0;0.214;0.069;0.784;0.748
ENST00000368682_90_90;0.817;0.677;0.777;0.903;0.818;0.818;1.0;1.0;0.131;0.435;0.2;0.121;0.328;0.287;0.221;0.349;0.193;0.286;0.217;0.262;0.272;1.0;0.0;0.0;0.0;1.0;0.818;1.0;1.0;0.903;1.0;0.214;0.069;0.784;0.748
ENST00000462598_90_90;0.13;0.0;0.108;0.145;0.13;0.13;0.131;0.131;1.0;0.301;0.656;0.924;0.399;0.458;0.593;0.376;0.68;0.459;0.603;0.501;0.483;0.131;0.0;0.0;0.0;0.131;0.13;0.131;0.131;0.145;0.131;0.612;0.524;0.109;0.069
ENST00000462856_90_90;0.432;0.242;0.397;0.482;0.433;0.433;0.435;0.435;0.301;1.0;0.459;0.278;0.755;0.659;0.508;0.802;0.443;0.657;0.499;0.601;0.624;0.435;0.0;0.0;0.0;0.435;0.433;0.435;0.435;0.482;0.435;0.492;0.158;0.398;0.359
