;ENSCAFT00000020388_90_90;ENSCAFT00000043901_90_90;ENST00000256953_90_90;ENST00000393736_90_90;ENST00000536465_90_90;ENST00000537647_90_90;ENST00000538313_90_90;ENST00000545567_90_90;ENST00000546331_90_90;ENSMUST00000032347_90_90;ENSMUST00000117919_90_90;ENSMUST00000119610_90_90;ENSMUST00000149100_90_90;ENSMUST00000203003_90_90
ENSCAFT00000020388_90_90;1.0;0.538;0.636;0.091;0.636;0.364;0.636;0.778;0.455;0.875;0.875;0.625;0.0;0.429
ENSCAFT00000043901_90_90;0.538;1.0;1.0;0.333;1.0;0.667;1.0;0.455;0.778;1.0;1.0;0.75;0.125;0.375
ENST00000256953_90_90;0.636;1.0;1.0;0.333;1.0;0.6;1.0;0.417;0.778;1.0;1.0;0.75;0.125;0.375
ENST00000393736_90_90;0.091;0.333;0.333;1.0;0.333;0.429;0.333;0.1;0.25;0.25;0.25;0.143;0.5;0.0
ENST00000536465_90_90;0.636;1.0;1.0;0.333;1.0;0.6;1.0;0.417;0.778;1.0;1.0;0.75;0.125;0.375
ENST00000537647_90_90;0.364;0.667;0.6;0.429;0.6;1.0;0.6;0.364;0.4;0.625;0.625;0.375;0.2;0.143
ENST00000538313_90_90;0.636;1.0;1.0;0.333;1.0;0.6;1.0;0.417;0.778;1.0;1.0;0.75;0.125;0.375
ENST00000545567_90_90;0.778;0.455;0.417;0.1;0.417;0.364;0.417;1.0;0.25;0.625;0.625;0.375;0.0;0.333
ENST00000546331_90_90;0.455;0.778;0.778;0.25;0.778;0.4;0.778;0.25;1.0;0.75;0.75;1.0;0.167;0.5
ENSMUST00000032347_90_90;0.875;1.0;1.0;0.25;1.0;0.625;1.0;0.625;0.75;1.0;1.0;0.778;0.2;0.333
ENSMUST00000117919_90_90;0.875;1.0;1.0;0.25;1.0;0.625;1.0;0.625;0.75;1.0;1.0;0.778;0.2;0.333
ENSMUST00000119610_90_90;0.625;0.75;0.75;0.143;0.75;0.375;0.75;0.375;1.0;0.778;0.778;1.0;0.25;0.429
ENSMUST00000149100_90_90;0.0;0.125;0.125;0.5;0.125;0.2;0.125;0.0;0.167;0.2;0.2;0.25;1.0;0.0
ENSMUST00000203003_90_90;0.429;0.375;0.375;0.0;0.375;0.143;0.375;0.333;0.5;0.333;0.333;0.429;0.0;1.0
