;transcript9_ENSAPOG00000016134;transcript9_ENSXMAG00000026005;transcript14_ENSAPOG00000016134;transcript14_ENSAPOG00000023408;transcript21_ENSAPOG00000016134;transcript21_ENSPNYG00000024266;transcript7_ENSAPOG00000023408;transcript7_ENSAOCG00000015695;transcript7_ENSPNYG00000024266;transcript7_ENSXMAG00000026005;transcript23_ENSAPOG00000023408;transcript23_ENSPNYG00000024266;transcript28_ENSAPOG00000023408;transcript28_ENSAOCG00000015695;transcript29_ENSAPOG00000023408;transcript29_ENSAOCG00000015695;transcript30_ENSAPOG00000023408;transcript31_ENSAPOG00000023408;transcript17_ENSAOCG00000015695;transcript18_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript22_ENSPNYG00000024266;transcript24_ENSPNYG00000024266
transcript9_ENSAPOG00000016134;1.0;0.849;0.393;0.393;0.352;0.235;0.701;0.684;0.626;0.842;0.514;0.426;0.444;0.435;0.571;0.571;0.516;0.606;0.393;0.394;0.406;0.406;0.398;0.39;0.401
transcript9_ENSXMAG00000026005;0.849;1.0;1.0;1.0;0.628;0.43;0.744;0.733;0.698;0.779;1.0;1.0;1.0;1.0;0.977;0.977;1.0;0.977;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript14_ENSAPOG00000016134;0.393;1.0;1.0;1.0;0.603;0.549;0.275;0.276;0.262;0.779;0.741;0.795;0.87;0.825;0.688;0.691;0.749;0.648;0.988;1.0;0.886;0.886;1.0;0.975;0.963
transcript14_ENSAPOG00000023408;0.393;1.0;1.0;1.0;0.603;0.549;0.275;0.276;0.262;0.779;0.741;0.795;0.867;0.825;0.688;0.691;0.749;0.648;0.988;1.0;0.886;0.886;1.0;0.975;0.963
transcript21_ENSAPOG00000016134;0.352;0.628;0.603;0.603;1.0;0.497;0.206;0.206;0.177;0.458;0.775;0.538;0.693;0.586;0.715;0.715;0.805;0.652;0.6;0.606;0.582;0.582;0.611;0.586;0.587
transcript21_ENSPNYG00000024266;0.235;0.43;0.549;0.549;0.497;1.0;0.104;0.104;0.07;0.238;0.441;0.449;0.466;0.406;0.427;0.427;0.463;0.463;0.547;0.549;0.463;0.463;0.549;0.525;0.544
transcript7_ENSAPOG00000023408;0.701;0.744;0.275;0.275;0.206;0.104;1.0;0.971;0.886;0.955;0.372;0.351;0.309;0.335;0.4;0.4;0.36;0.425;0.28;0.276;0.312;0.312;0.279;0.286;0.289
transcript7_ENSAOCG00000015695;0.684;0.733;0.276;0.276;0.206;0.104;0.971;1.0;0.886;0.94;0.372;0.351;0.31;0.332;0.4;0.4;0.36;0.425;0.28;0.27;0.312;0.312;0.279;0.286;0.289
transcript7_ENSPNYG00000024266;0.626;0.698;0.262;0.262;0.177;0.07;0.886;0.886;1.0;0.896;0.35;0.328;0.286;0.317;0.36;0.36;0.332;0.383;0.264;0.262;0.295;0.295;0.262;0.269;0.272
transcript7_ENSXMAG00000026005;0.842;0.779;0.779;0.779;0.458;0.238;0.955;0.94;0.896;1.0;0.779;0.779;0.779;0.779;0.756;0.756;0.779;0.756;0.779;0.779;0.779;0.779;0.779;0.779;0.779
