;ENSCAFT00000026849_90_90;ENST00000259021_90_90;ENST00000424009_90_90;ENST00000435742_90_90;ENST00000454930_90_90;ENST00000506533_90_90;ENST00000509773_90_90;ENST00000510819_90_90;ENSMUST00000072621_90_90;ENSMUST00000092766_90_90;ENSMUST00000103159_90_90;ENSMUST00000107733_90_90;ENSMUST00000107734_90_90;ENSMUST00000138671_90_90
ENSCAFT00000026849_90_90;;0.881;0.827;0.615;0.65;0.046;0.673;0.597;0.842;0.897;0.75;0.827;0.881;0.189
ENST00000259021_90_90;0.881;;;;;;;;0.79;0.843;0.861;0.942;1.0;0.189
ENST00000424009_90_90;0.827;;;;;;;;0.834;0.79;0.913;1.0;0.942;0.201
ENST00000435742_90_90;0.615;;;;;;;;0.672;0.632;0.714;0.651;0.615;0.301
ENST00000454930_90_90;0.65;;;;;;;;0.559;0.613;0.758;0.695;0.753;0.249
ENST00000506533_90_90;0.046;;;;;;;;0.052;0.048;0.054;0.049;0.046;0.0
ENST00000509773_90_90;0.673;;;;;;;;0.672;0.637;0.738;0.824;0.776;0.24
ENST00000510819_90_90;0.597;;;;;;;;0.591;0.559;0.808;0.738;0.695;0.27
ENSMUST00000072621_90_90;0.842;0.79;0.834;0.672;0.559;0.052;0.672;0.591;;;;;;
ENSMUST00000092766_90_90;0.897;0.843;0.79;0.632;0.613;0.048;0.637;0.559;;;;;;
ENSMUST00000103159_90_90;0.75;0.861;0.913;0.714;0.758;0.054;0.738;0.808;;;;;;
ENSMUST00000107733_90_90;0.827;0.942;1.0;0.651;0.695;0.049;0.824;0.738;;;;;;
ENSMUST00000107734_90_90;0.881;1.0;0.942;0.615;0.753;0.046;0.776;0.695;;;;;;
ENSMUST00000138671_90_90;0.189;0.189;0.201;0.301;0.249;0.0;0.24;0.27;;;;;;
