;transcript9_ENSAPOG00000016134;transcript14_ENSAPOG00000016134;transcript21_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript14_ENSAPOG00000023408;transcript23_ENSAPOG00000023408;transcript28_ENSAPOG00000023408;transcript29_ENSAPOG00000023408;transcript30_ENSAPOG00000023408;transcript31_ENSAPOG00000023408;transcript7_ENSAOCG00000015695;transcript17_ENSAOCG00000015695;transcript18_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript28_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript7_ENSPNYG00000024266;transcript12_ENSPNYG00000024266;transcript21_ENSPNYG00000024266;transcript22_ENSPNYG00000024266;transcript23_ENSPNYG00000024266;transcript24_ENSPNYG00000024266;transcript7_ENSXMAG00000026005;transcript9_ENSXMAG00000026005
transcript9_ENSAPOG00000016134;1.0;0.369;0.465;0.343;0.369;0.341;0.369;0.341;0.341;0.358;0.408;0.408;0.381;0.291;0.291;0.475;0.294;0.652;0.408;0.13;0.435;0.408;0.413;0.371;0.369
transcript14_ENSAPOG00000016134;0.369;1.0;0.854;0.797;1.0;0.816;0.995;0.646;0.811;0.622;0.928;0.931;0.977;0.857;0.857;0.843;0.851;0.471;0.953;0.815;0.925;0.95;0.946;0.996;1.0
transcript21_ENSAPOG00000016134;0.465;0.854;1.0;0.909;0.854;0.929;0.849;0.736;0.923;0.709;0.913;0.917;0.831;0.837;0.837;0.822;0.83;0.428;0.917;0.77;0.886;0.914;0.909;0.85;0.854
transcript7_ENSAPOG00000023408;0.343;0.797;0.909;1.0;0.797;0.978;0.802;0.769;0.984;0.741;0.849;0.846;0.774;0.906;0.906;0.747;0.898;0.507;0.846;0.687;0.811;0.842;0.837;0.793;0.797
transcript14_ENSAPOG00000023408;0.369;1.0;0.854;0.797;1.0;0.816;0.995;0.646;0.811;0.622;0.928;0.931;0.977;0.857;0.857;0.843;0.851;0.471;0.953;0.815;0.925;0.95;0.946;0.996;1.0
transcript23_ENSAPOG00000023408;0.341;0.816;0.929;0.978;0.816;1.0;0.811;0.792;0.994;0.763;0.861;0.865;0.792;0.927;0.927;0.767;0.919;0.497;0.865;0.709;0.831;0.862;0.857;0.811;0.816
transcript28_ENSAPOG00000023408;0.369;0.995;0.849;0.802;0.995;0.811;1.0;0.641;0.815;0.617;0.923;0.926;0.972;0.852;0.852;0.838;0.846;0.471;0.948;0.81;0.92;0.945;0.941;0.991;0.995
transcript29_ENSAPOG00000023408;0.341;0.646;0.736;0.769;0.646;0.792;0.641;1.0;0.786;0.966;0.681;0.685;0.622;0.734;0.734;0.587;0.726;0.497;0.685;0.515;0.645;0.681;0.675;0.642;0.646
transcript30_ENSAPOG00000023408;0.341;0.811;0.923;0.984;0.811;0.994;0.815;0.786;1.0;0.757;0.856;0.86;0.787;0.921;0.921;0.762;0.913;0.497;0.86;0.703;0.826;0.856;0.851;0.806;0.811
transcript31_ENSAPOG00000023408;0.358;0.622;0.709;0.741;0.622;0.763;0.617;0.966;0.757;1.0;0.656;0.66;0.598;0.707;0.707;0.605;0.699;0.521;0.66;0.487;0.619;0.655;0.65;0.618;0.622
transcript7_ENSAOCG00000015695;0.408;0.928;0.913;0.849;0.928;0.861;0.923;0.681;0.856;0.656;1.0;0.996;0.905;0.916;0.916;0.901;0.91;0.384;0.996;0.854;0.968;0.993;0.989;0.924;0.928
transcript17_ENSAOCG00000015695;0.408;0.931;0.917;0.846;0.931;0.865;0.926;0.685;0.86;0.66;0.996;1.0;0.909;0.92;0.92;0.905;0.913;0.383;1.0;0.858;0.972;0.997;0.993;0.927;0.931
transcript18_ENSAOCG00000015695;0.381;0.977;0.831;0.774;0.977;0.792;0.972;0.622;0.787;0.598;0.905;0.909;1.0;0.834;0.834;0.82;0.84;0.486;0.93;0.791;0.901;0.927;0.933;0.982;0.977
transcript26_ENSAOCG00000015695;0.291;0.857;0.837;0.906;0.857;0.927;0.852;0.734;0.921;0.707;0.916;0.92;0.834;1.0;1.0;0.825;0.993;0.426;0.92;0.773;0.889;0.917;0.912;0.853;0.857
transcript27_ENSAOCG00000015695;0.291;0.857;0.837;0.906;0.857;0.927;0.852;0.734;0.921;0.707;0.916;0.92;0.834;1.0;1.0;0.825;0.993;0.426;0.92;0.773;0.889;0.917;0.912;0.853;0.857
transcript28_ENSAOCG00000015695;0.475;0.843;0.822;0.747;0.843;0.767;0.838;0.587;0.762;0.605;0.901;0.905;0.82;0.825;0.825;1.0;0.818;0.436;0.905;0.757;0.874;0.902;0.897;0.839;0.843
