;transcript7_MGP-CAROLIEiJ-G0020234;transcript7_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript7_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript7_ENSPEMG00000024651;transcript57_MGP-CAROLIEiJ-G0020234;transcript58_MGP-CAROLIEiJ-G0020234;transcript59_MGP-CAROLIEiJ-G0020234;transcript28_ENSMUGG00000013649;transcript42_ENSMUGG00000013649;transcript42_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript52_ENSCGRG00015005362;transcript53_ENSCGRG00015005362;transcript54_ENSCGRG00015005362;transcript55_ENSCGRG00015005362
transcript7_MGP-CAROLIEiJ-G0020234;1.0;0.989;0.982;0.996;0.996;0.996;1.0;1.0;1.0;0.274;0.283;0.284;0.311;0.31;0.299;0.274;0.281
transcript7_ENSMUGG00000013649;0.989;1.0;0.993;0.997;0.997;0.997;0.989;0.99;0.989;0.317;0.317;0.318;0.383;0.383;0.389;0.336;0.336
transcript7_ENSMUGG00000013592;0.982;0.993;1.0;0.989;0.989;0.989;0.981;0.983;0.981;0.315;0.315;0.317;0.384;0.381;0.387;0.333;0.333
transcript7_ENSCGRG00015005362;0.996;0.997;0.989;1.0;1.0;1.0;0.996;0.996;0.996;0.24;0.254;0.255;0.29;0.29;0.271;0.24;0.255
transcript7_ENSCGRG00000018457;0.996;0.997;0.989;1.0;1.0;1.0;0.996;0.996;0.996;1.0;1.0;0.996;0.996;1.0;1.0;1.0;1.0
transcript7_ENSPEMG00000024651;0.996;0.997;0.989;1.0;1.0;1.0;0.996;0.996;0.996;1.0;1.0;0.996;0.996;1.0;1.0;1.0;1.0
transcript57_MGP-CAROLIEiJ-G0020234;1.0;0.989;0.981;0.996;0.996;0.996;1.0;1.0;1.0;0.273;0.282;0.283;0.31;0.309;0.298;0.273;0.28
transcript58_MGP-CAROLIEiJ-G0020234;1.0;0.99;0.983;0.996;0.996;0.996;1.0;1.0;1.0;0.308;0.317;0.319;0.347;0.346;0.335;0.308;0.316
transcript59_MGP-CAROLIEiJ-G0020234;1.0;0.989;0.981;0.996;0.996;0.996;1.0;1.0;1.0;0.273;0.282;0.283;0.31;0.309;0.298;0.273;0.28
transcript28_ENSMUGG00000013649;0.274;0.317;0.315;0.24;1.0;1.0;0.273;0.308;0.273;1.0;1.0;0.994;0.925;0.908;0.935;1.0;0.969
transcript42_ENSMUGG00000013649;0.283;0.317;0.315;0.254;1.0;1.0;0.282;0.317;0.282;1.0;1.0;0.994;0.925;0.934;0.933;1.0;0.984
transcript42_ENSMUGG00000013592;0.284;0.318;0.317;0.255;0.996;0.996;0.283;0.319;0.283;0.994;0.994;1.0;0.928;0.932;0.931;0.997;0.98
transcript52_ENSMUGG00000013592;0.311;0.383;0.384;0.29;0.996;0.996;0.31;0.347;0.31;0.925;0.925;0.928;1.0;0.996;0.996;0.947;0.93
transcript52_ENSCGRG00015005362;0.31;0.383;0.381;0.29;1.0;1.0;0.309;0.346;0.309;0.908;0.934;0.932;0.996;1.0;0.968;0.908;0.905
transcript53_ENSCGRG00015005362;0.299;0.389;0.387;0.271;1.0;1.0;0.298;0.335;0.298;0.935;0.933;0.931;0.996;0.968;1.0;0.935;0.904
transcript54_ENSCGRG00015005362;0.274;0.336;0.333;0.24;1.0;1.0;0.273;0.308;0.273;1.0;1.0;0.997;0.947;0.908;0.935;1.0;0.969
transcript55_ENSCGRG00015005362;0.281;0.336;0.333;0.255;1.0;1.0;0.28;0.316;0.28;0.969;0.984;0.98;0.93;0.905;0.904;0.969;1.0
