;ENSCAFT00000036803_90_90;ENST00000260648_90_90;ENST00000378511_90_90;ENST00000378520_90_90;ENST00000409272_90_90;ENST00000409411_90_90;ENST00000409936_90_90;ENST00000409957_90_90;ENST00000410081_90_90;ENST00000420756_90_90;ENST00000425263_90_90;ENST00000426481_90_90;ENST00000438314_90_90;ENST00000444696_90_90;ENST00000541738_90_90;ENSMUST00000072406_90_90;ENSMUST00000171795_90_90
ENSCAFT00000036803_90_90;;0.928;0.85;0.847;0.928;0.785;0.928;0.785;0.928;0.123;0.928;0.928;0.246;0.118;0.785;0.785;0.891
ENST00000260648_90_90;0.928;;;;;;;;;;;;;;;0.785;0.96
ENST00000378511_90_90;0.85;;;;;;;;;;;;;;;0.704;0.879
ENST00000378520_90_90;0.847;;;;;;;;;;;;;;;0.701;0.876
ENST00000409272_90_90;0.928;;;;;;;;;;;;;;;0.785;0.96
ENST00000409411_90_90;0.785;;;;;;;;;;;;;;;1.0;0.815
ENST00000409936_90_90;0.928;;;;;;;;;;;;;;;0.785;0.96
ENST00000409957_90_90;0.785;;;;;;;;;;;;;;;1.0;0.815
ENST00000410081_90_90;0.928;;;;;;;;;;;;;;;0.785;0.96
ENST00000420756_90_90;0.123;;;;;;;;;;;;;;;0.159;0.129
ENST00000425263_90_90;0.928;;;;;;;;;;;;;;;0.785;0.96
ENST00000426481_90_90;0.928;;;;;;;;;;;;;;;0.785;0.96
ENST00000438314_90_90;0.246;;;;;;;;;;;;;;;0.081;0.257
ENST00000444696_90_90;0.118;;;;;;;;;;;;;;;0.153;0.124
ENST00000541738_90_90;0.785;;;;;;;;;;;;;;;1.0;0.815
ENSMUST00000072406_90_90;0.785;0.785;0.704;0.701;0.785;1.0;0.785;1.0;0.785;0.159;0.785;0.785;0.081;0.153;1.0;;
ENSMUST00000171795_90_90;0.891;0.96;0.879;0.876;0.96;0.815;0.96;0.815;0.96;0.129;0.96;0.96;0.257;0.124;0.815;;
