;transcript7_ENSMSIG00000000513;transcript38_ENSMSIG00000000513;transcript38_MGP-SPRETEiJ-G0021131;transcript38_ENSMUSG00000054036;transcript52_ENSMSIG00000000513;transcript52_MGP-SPRETEiJ-G0021131;transcript58_ENSMSIG00000000513;transcript58_ENSMUSG00000054036;transcript63_MGP-SPRETEiJ-G0021131;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript8_ENSRNOG00000031503;transcript47_MGP-CAROLIEiJ-G0020234;transcript39_MGP-PahariEiJ-G0020237;transcript39_ENSRNOG00000031503;transcript31_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013649;transcript32_ENSMUGG00000013592;transcript50_ENSRNOG00000031503;transcript50_ENSMUGG00000013649;transcript12_ENSMUGG00000013649
transcript7_ENSMSIG00000000513;1.0;0.706;0.761;0.803;0.479;0.565;0.706;0.838;0.663;0.824;0.695;0.691;0.622;0.845;0.626;0.612;0.608;0.608;0.608;0.616;0.624;0.62;0.606
transcript38_ENSMSIG00000000513;0.706;1.0;0.993;0.988;0.679;0.76;0.774;0.796;0.753;0.634;0.527;0.48;0.391;0.598;0.441;0.428;0.425;0.425;0.438;0.435;0.447;0.459;0.447
transcript38_MGP-SPRETEiJ-G0021131;0.761;0.993;1.0;0.986;0.671;0.766;0.767;0.793;0.62;0.572;0.485;0.46;0.375;0.553;0.458;0.439;0.442;0.442;0.458;0.455;0.463;0.48;0.469
transcript38_ENSMUSG00000054036;0.803;0.988;0.986;1.0;0.68;0.766;0.741;0.769;0.619;0.595;0.499;0.453;0.374;0.573;0.465;0.448;0.451;0.451;0.463;0.461;0.476;0.487;0.474
transcript52_ENSMSIG00000000513;0.479;0.679;0.671;0.68;1.0;0.989;0.488;0.5;0.538;0.431;0.358;0.259;0.208;0.406;0.301;0.293;0.292;0.292;0.297;0.295;0.307;0.311;0.304
transcript52_MGP-SPRETEiJ-G0021131;0.565;0.76;0.766;0.766;0.989;1.0;0.538;0.556;0.48;0.415;0.348;0.267;0.211;0.4;0.329;0.315;0.317;0.317;0.328;0.325;0.334;0.344;0.336
transcript58_ENSMSIG00000000513;0.706;0.774;0.767;0.741;0.488;0.538;1.0;0.989;0.713;0.688;0.571;0.56;0.47;0.605;0.479;0.467;0.463;0.463;0.474;0.471;0.473;0.483;0.47
transcript58_ENSMUSG00000054036;0.838;0.796;0.793;0.769;0.5;0.556;0.989;1.0;0.609;0.678;0.564;0.549;0.461;0.608;0.525;0.507;0.508;0.508;0.521;0.52;0.522;0.533;0.518
transcript63_MGP-SPRETEiJ-G0021131;0.663;0.753;0.62;0.619;0.538;0.48;0.713;0.609;1.0;0.812;0.686;0.763;0.626;0.777;0.642;0.617;0.62;0.62;0.647;0.643;0.647;0.678;0.663
transcript54_ENSMUSG00000054036;0.824;0.634;0.572;0.595;0.431;0.415;0.688;0.678;0.812;1.0;0.858;0.849;0.748;0.911;0.804;0.775;0.777;0.777;0.799;0.799;0.79;0.799;0.78
transcript55_ENSMUSG00000054036;0.695;0.527;0.485;0.499;0.358;0.348;0.571;0.564;0.686;0.858;1.0;0.757;0.75;0.845;0.94;0.912;0.914;0.914;0.932;0.932;0.91;0.888;0.911
transcript8_MGP-CAROLIEiJ-G0020234;0.691;0.48;0.46;0.453;0.259;0.267;0.56;0.549;0.763;0.849;0.757;1.0;0.944;0.789;0.691;0.676;0.676;0.676;0.689;0.685;0.708;0.715;0.703
transcript8_ENSRNOG00000031503;0.622;0.391;0.375;0.374;0.208;0.211;0.47;0.461;0.626;0.748;0.75;0.944;1.0;0.737;0.631;0.67;0.654;0.654;0.62;0.62;0.654;0.618;0.62
