;ENSCAFT00000016185_90_90;ENST00000617070_90_90;ENST00000617991_90_90;ENST00000622969_90_90;ENST00000623597_90_90;ENST00000623893_90_90;ENSMUST00000064664_90_90;ENSMUST00000064679_90_90;ENSMUST00000129905_90_90;ENSMUST00000136247_90_90
ENSCAFT00000016185_90_90;1.0;0.632;0.632;0.118;0.632;0.611;0.2;0.217;0.211;0.105
ENST00000617070_90_90;0.632;1.0;1.0;0.176;1.0;0.875;0.19;0.261;0.2;0.158
ENST00000617991_90_90;0.632;1.0;1.0;0.176;1.0;0.875;0.19;0.261;0.2;0.158
ENST00000622969_90_90;0.118;0.176;0.176;1.0;0.176;0.059;0.0;0.0;0.0;0.0
ENST00000623597_90_90;0.632;1.0;1.0;0.176;1.0;0.875;0.19;0.261;0.2;0.158
ENST00000623893_90_90;0.611;0.875;0.875;0.059;0.875;1.0;0.211;0.286;0.222;0.176
ENSMUST00000064664_90_90;0.2;0.19;0.19;0.0;0.19;0.211;1.0;0.692;0.889;0.071
ENSMUST00000064679_90_90;0.217;0.261;0.261;0.0;0.261;0.286;0.692;1.0;0.615;0.357
ENSMUST00000129905_90_90;0.211;0.2;0.2;0.0;0.2;0.222;0.889;0.615;1.0;0.077
ENSMUST00000136247_90_90;0.105;0.158;0.158;0.0;0.158;0.176;0.071;0.357;0.077;1.0
