;transcript40_ENSRNOG00000031503;transcript47_ENSRNOG00000031503;transcript47_ENSMUGG00000013649;transcript47_ENSPEMG00000024651;transcript20_ENSMUGG00000013649;transcript20_ENSMUGG00000013592;transcript19_ENSPEMG00000024651;transcript38_ENSPEMG00000024651;transcript27_ENSNGAG00000018584;transcript7_ENSSTOG00000019743;transcript24_ENSSTOG00000019743;transcript25_ENSSTOG00000019743;transcript32_ENSSTOG00000019743
transcript40_ENSRNOG00000031503;1.0;0.869;0.736;0.738;0.778;0.775;0.846;0.846;0.521;0.836;0.778;0.836;0.836
transcript47_ENSRNOG00000031503;0.869;1.0;0.828;0.842;0.791;0.788;0.75;0.75;0.515;0.726;0.791;0.726;0.726
transcript47_ENSMUGG00000013649;0.736;0.828;1.0;0.812;0.955;0.925;0.732;0.732;0.657;0.877;0.955;0.877;0.877
transcript47_ENSPEMG00000024651;0.738;0.842;0.812;1.0;0.776;0.773;0.881;0.881;0.5;0.712;0.776;0.712;0.712
transcript20_ENSMUGG00000013649;0.778;0.791;0.955;0.776;1.0;0.97;0.775;0.775;0.676;0.918;0.971;0.918;0.918
transcript20_ENSMUGG00000013592;0.775;0.788;0.925;0.773;0.97;1.0;0.771;0.771;0.647;0.89;0.941;0.89;0.89
transcript19_ENSPEMG00000024651;0.846;0.75;0.732;0.881;0.775;0.771;1.0;1.0;0.514;0.808;0.775;0.808;0.808
transcript38_ENSPEMG00000024651;0.846;0.75;0.732;0.881;0.775;0.771;1.0;1.0;0.514;0.808;0.775;0.808;0.808
transcript27_ENSNGAG00000018584;0.521;0.515;0.657;0.5;0.676;0.647;0.514;0.514;1.0;0.644;0.701;0.644;0.644
transcript7_ENSSTOG00000019743;0.836;0.726;0.877;0.712;0.918;0.89;0.808;0.808;0.644;1.0;0.918;1.0;1.0
transcript24_ENSSTOG00000019743;0.778;0.791;0.955;0.776;0.971;0.941;0.775;0.775;0.701;0.918;1.0;0.918;0.918
transcript25_ENSSTOG00000019743;0.836;0.726;0.877;0.712;0.918;0.89;0.808;0.808;0.644;1.0;0.918;1.0;1.0
transcript32_ENSSTOG00000019743;0.836;0.726;0.877;0.712;0.918;0.89;0.808;0.808;0.644;1.0;0.918;1.0;1.0
