;ENSCAFT00000031843_90_90;ENST00000372554_90_90;ENST00000372559_90_90;ENST00000372564_90_90;ENST00000416230_90_90;ENST00000416629_90_90;ENST00000417224_90_90;ENST00000425236_90_90;ENST00000455407_90_90;ENSMUST00000028214_90_90;ENSMUST00000100215_90_90;ENSMUST00000113620_90_90;ENSMUST00000113621_90_90;ENSMUST00000163668_90_90
ENSCAFT00000031843_90_90;1.0;1.0;0.949;0.949;0.291;0.873;1.0;0.101;0.131;0.954;1.0;0.882;1.0;0.928
ENST00000372554_90_90;1.0;1.0;0.889;0.889;0.25;0.83;0.962;0.106;0.096;0.881;0.959;0.82;1.0;0.897
ENST00000372559_90_90;0.949;0.889;1.0;1.0;0.278;0.932;0.922;0.12;0.114;1.0;0.916;0.927;0.881;0.852
ENST00000372564_90_90;0.949;0.889;1.0;1.0;0.278;0.932;0.922;0.12;0.114;1.0;0.916;0.927;0.881;0.852
ENST00000416230_90_90;0.291;0.25;0.278;0.278;1.0;0.297;0.259;0.422;0.152;0.277;0.255;0.298;0.244;0.271
ENST00000416629_90_90;0.873;0.83;0.932;0.932;0.297;1.0;0.861;0.129;0.123;0.927;0.852;1.0;0.82;0.909
ENST00000417224_90_90;1.0;0.962;0.922;0.922;0.259;0.861;1.0;0.111;0.101;0.916;1.0;0.852;0.959;0.935
ENST00000425236_90_90;0.101;0.106;0.12;0.12;0.422;0.129;0.111;1.0;0.0;0.096;0.088;0.104;0.085;0.095
ENST00000455407_90_90;0.131;0.096;0.114;0.114;0.152;0.123;0.101;0.0;1.0;0.121;0.107;0.132;0.101;0.115
ENSMUST00000028214_90_90;0.954;0.881;1.0;1.0;0.277;0.927;0.916;0.096;0.121;1.0;0.922;0.932;0.889;0.861
ENSMUST00000100215_90_90;1.0;0.959;0.916;0.916;0.255;0.852;1.0;0.088;0.107;0.922;1.0;0.861;0.962;0.939
ENSMUST00000113620_90_90;0.882;0.82;0.927;0.927;0.298;1.0;0.852;0.104;0.132;0.932;0.861;1.0;0.83;0.916
ENSMUST00000113621_90_90;1.0;1.0;0.881;0.881;0.244;0.82;0.959;0.085;0.101;0.889;0.962;0.83;1.0;0.902
ENSMUST00000163668_90_90;0.928;0.897;0.852;0.852;0.271;0.909;0.935;0.095;0.115;0.861;0.939;0.916;0.902;1.0
