;ENSCAFT00000013523_90_90;ENST00000339266_90_90;ENST00000340491_90_90;ENST00000373907_90_90;ENST00000373913_90_90;ENST00000401952_90_90;ENST00000475894_90_90;ENST00000482872_90_90;ENST00000489701_90_90;ENST00000495241_90_90;ENSMUST00000000094_90_90;ENSMUST00000070782_90_90;ENSMUST00000099145_90_90;ENSMUST00000109566_90_90;ENSMUST00000109567_90_90;ENSMUST00000109568_90_90;ENSMUST00000131157_90_90;ENSMUST00000137356_90_90;ENSMUST00000146412_90_90;ENSMUST00000169464_90_90;ENSMUST00000171030_90_90;ENSMUST00000177013_90_90
ENSCAFT00000013523_90_90;1.0;0.782;0.287;0.782;0.737;0.737;0.287;0.047;0.217;0.127;0.217;0.941;0.442;0.287;0.941;0.979;0.11;0.042;0.123;0.996;0.268;0.069
ENST00000339266_90_90;0.782;1.0;0.442;1.0;0.945;0.945;0.287;0.047;0.217;0.127;0.217;0.737;0.287;0.287;0.737;0.766;0.111;0.042;0.123;0.782;0.268;0.069
ENST00000340491_90_90;0.287;0.442;1.0;0.442;0.401;0.401;0.629;0.103;0.462;0.277;0.462;0.254;0.579;0.629;0.254;0.291;0.242;0.093;0.27;0.287;0.588;0.15
ENST00000373907_90_90;0.782;1.0;0.442;1.0;0.945;0.945;0.287;0.047;0.217;0.127;0.217;0.737;0.287;0.287;0.737;0.766;0.111;0.042;0.123;0.782;0.268;0.069
ENST00000373913_90_90;0.737;0.945;0.401;0.945;1.0;1.0;0.288;0.047;0.224;0.127;0.218;0.739;0.254;0.288;0.739;0.722;0.111;0.042;0.124;0.737;0.269;0.069
ENST00000401952_90_90;0.737;0.945;0.401;0.945;1.0;1.0;0.288;0.047;0.224;0.127;0.218;0.739;0.254;0.288;0.739;0.722;0.111;0.042;0.124;0.737;0.269;0.069
ENST00000475894_90_90;0.287;0.287;0.629;0.287;0.288;0.288;1.0;0.164;0.674;0.441;0.674;0.288;0.629;1.0;0.288;0.292;0.385;0.147;0.429;0.287;0.935;0.239
ENST00000482872_90_90;0.047;0.047;0.103;0.047;0.047;0.047;0.164;1.0;0.191;0.371;0.191;0.047;0.103;0.164;0.047;0.048;0.0;0.9;0.381;0.047;0.175;0.686
ENST00000489701_90_90;0.217;0.217;0.462;0.217;0.224;0.224;0.674;0.191;1.0;0.515;0.955;0.218;0.462;0.674;0.218;0.221;0.373;0.172;0.501;0.217;0.716;0.279
ENST00000495241_90_90;0.127;0.127;0.277;0.127;0.127;0.127;0.441;0.371;0.515;1.0;0.515;0.127;0.277;0.441;0.127;0.129;0.038;0.334;0.973;0.127;0.472;0.541
ENSMUST00000000094_90_90;0.217;0.217;0.462;0.217;0.218;0.218;0.674;0.191;0.955;0.515;1.0;0.224;0.462;0.674;0.224;0.221;0.373;0.172;0.501;0.217;0.716;0.279
ENSMUST00000070782_90_90;0.941;0.737;0.254;0.737;0.739;0.739;0.288;0.047;0.218;0.127;0.224;1.0;0.401;0.288;1.0;0.928;0.111;0.042;0.124;0.945;0.269;0.069
ENSMUST00000099145_90_90;0.442;0.287;0.579;0.287;0.254;0.254;0.629;0.103;0.462;0.277;0.462;0.401;1.0;0.629;0.401;0.449;0.242;0.093;0.27;0.442;0.588;0.15
ENSMUST00000109566_90_90;0.287;0.287;0.629;0.287;0.288;0.288;1.0;0.164;0.674;0.441;0.674;0.288;0.629;1.0;0.288;0.292;0.385;0.147;0.429;0.287;0.935;0.239
ENSMUST00000109567_90_90;0.941;0.737;0.254;0.737;0.739;0.739;0.288;0.047;0.218;0.127;0.224;1.0;0.401;0.288;1.0;0.928;0.111;0.042;0.124;0.945;0.269;0.069
ENSMUST00000109568_90_90;0.979;0.766;0.291;0.766;0.722;0.722;0.292;0.048;0.221;0.129;0.221;0.928;0.449;0.292;0.928;1.0;0.112;0.043;0.125;0.983;0.273;0.07
ENSMUST00000131157_90_90;0.11;0.111;0.242;0.111;0.111;0.111;0.385;0.0;0.373;0.038;0.373;0.111;0.242;0.385;0.111;0.112;1.0;0.0;0.024;0.111;0.412;0.0
ENSMUST00000137356_90_90;0.042;0.042;0.093;0.042;0.042;0.042;0.147;0.9;0.172;0.334;0.172;0.042;0.093;0.147;0.042;0.043;0.0;1.0;0.343;0.042;0.158;0.618
ENSMUST00000146412_90_90;0.123;0.123;0.27;0.123;0.124;0.124;0.429;0.381;0.501;0.973;0.501;0.124;0.27;0.429;0.124;0.125;0.024;0.343;1.0;0.123;0.459;0.556
ENSMUST00000169464_90_90;0.996;0.782;0.287;0.782;0.737;0.737;0.287;0.047;0.217;0.127;0.217;0.945;0.442;0.287;0.945;0.983;0.111;0.042;0.123;1.0;0.268;0.069
ENSMUST00000171030_90_90;0.268;0.268;0.588;0.268;0.269;0.269;0.935;0.175;0.716;0.472;0.716;0.269;0.588;0.935;0.269;0.273;0.412;0.158;0.459;0.268;1.0;0.255
ENSMUST00000177013_90_90;0.069;0.069;0.15;0.069;0.069;0.069;0.239;0.686;0.279;0.541;0.279;0.069;0.15;0.239;0.069;0.07;0.0;0.618;0.556;0.069;0.255;1.0
