;ENSCAFT00000028998_90_90;ENST00000587805_90_90;ENST00000588116_90_90;ENST00000589774_90_90;ENST00000590432_90_90;ENST00000590538_90_90;ENST00000591610_90_90;ENST00000592167_90_90;ENST00000593014_90_90;ENST00000610402_90_90;ENST00000612035_90_90;ENST00000612116_90_90;ENST00000614600_90_90;ENST00000616681_90_90;ENST00000616784_90_90;ENST00000618940_90_90;ENST00000620039_90_90;ENST00000621668_90_90;ENST00000621914_90_90;ENST00000628168_90_90;ENSMUST00000018875_90_90;ENSMUST00000065692_90_90;ENSMUST00000142680_90_90;ENSMUST00000176430_90_90;ENSMUST00000176523_90_90;ENSMUST00000176944_90_90
ENSCAFT00000028998_90_90;1.0;0.107;0.17;0.112;0.04;0.022;0.022;0.022;0.094;0.915;0.639;0.639;0.639;0.877;0.625;0.915;0.009;0.601;0.901;0.022;0.662;0.652;0.047;0.65;0.628;0.21
ENST00000587805_90_90;0.107;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.109;0.149;0.149;0.149;0.113;0.151;0.109;0.0;0.157;0.11;0.0;0.189;0.177;0.0;0.191;0.197;0.0
ENST00000588116_90_90;0.17;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17;0.239;0.239;0.239;0.177;0.244;0.17;0.0;0.253;0.173;0.0;0.17;0.173;0.0;0.172;0.177;0.0
ENST00000589774_90_90;0.112;0.0;0.0;1.0;0.53;0.287;0.287;0.287;0.879;0.159;0.223;0.223;0.223;0.119;0.228;0.159;0.313;0.167;0.161;0.287;0.112;0.114;0.041;0.113;0.074;0.464
ENST00000590432_90_90;0.04;0.0;0.0;0.53;1.0;0.5;0.5;0.5;0.603;0.084;0.118;0.118;0.118;0.088;0.121;0.084;0.586;0.125;0.085;0.5;0.04;0.041;0.066;0.041;0.042;0.167
ENST00000590538_90_90;0.022;0.0;0.0;0.287;0.5;1.0;1.0;1.0;0.322;0.049;0.069;0.069;0.069;0.051;0.07;0.049;0.741;0.073;0.05;1.0;0.022;0.022;0.253;0.022;0.023;0.09
ENST00000591610_90_90;0.022;0.0;0.0;0.287;0.5;1.0;1.0;1.0;0.322;0.049;0.069;0.069;0.069;0.051;0.07;0.049;0.741;0.073;0.05;1.0;0.022;0.022;0.253;0.022;0.023;0.09
ENST00000592167_90_90;0.022;0.0;0.0;0.287;0.5;1.0;1.0;1.0;0.322;0.049;0.069;0.069;0.069;0.051;0.07;0.049;0.741;0.073;0.05;1.0;0.022;0.022;0.253;0.022;0.023;0.09
ENST00000593014_90_90;0.094;0.0;0.0;0.879;0.603;0.322;0.322;0.322;1.0;0.14;0.196;0.196;0.196;0.1;0.2;0.14;0.356;0.14;0.142;0.322;0.094;0.095;0.045;0.094;0.055;0.387
ENST00000610402_90_90;0.915;0.109;0.17;0.159;0.084;0.049;0.049;0.049;0.14;1.0;0.712;0.712;0.712;0.96;0.697;1.0;0.05;0.672;0.985;0.049;0.606;0.596;0.008;0.595;0.573;0.161
