;ENSCAFT00000029482_90_90;ENST00000237247_90_90;ENST00000371037_90_90;ENST00000371039_90_90;ENST00000424320_90_90;ENST00000435165_90_90;ENSMUST00000066824_90_90;ENSMUST00000072481_90_90;ENSMUST00000080728_90_90;ENSMUST00000106882_90_90;ENSMUST00000149547_90_90;ENSMUST00000156596_90_90;ENSMUST00000183855_90_90
ENSCAFT00000029482_90_90;1.0;0.972;0.998;0.735;0.313;0.368;0.796;0.772;0.974;0.998;0.667;0.085;0.228
ENST00000237247_90_90;0.972;1.0;0.911;0.691;0.267;0.343;0.768;0.744;0.946;0.971;0.668;0.088;0.2
ENST00000371037_90_90;0.998;0.911;1.0;0.716;0.314;0.356;0.797;0.773;0.973;0.997;0.651;0.085;0.226
ENST00000371039_90_90;0.735;0.691;0.716;1.0;0.36;0.419;0.891;0.918;0.733;0.716;0.851;0.112;0.251
ENST00000424320_90_90;0.313;0.267;0.314;0.36;1.0;0.0;0.394;0.406;0.322;0.314;0.239;0.272;0.719
ENST00000435165_90_90;0.368;0.343;0.356;0.419;0.0;1.0;0.463;0.433;0.345;0.369;0.532;0.0;0.0
ENSMUST00000066824_90_90;0.796;0.768;0.797;0.891;0.394;0.463;1.0;0.97;0.774;0.798;0.812;0.107;0.283
ENSMUST00000072481_90_90;0.772;0.744;0.773;0.918;0.406;0.433;0.97;1.0;0.793;0.774;0.782;0.11;0.292
ENSMUST00000080728_90_90;0.974;0.946;0.973;0.733;0.322;0.345;0.774;0.793;1.0;0.976;0.628;0.087;0.233
ENSMUST00000106882_90_90;0.998;0.971;0.997;0.716;0.314;0.369;0.798;0.774;0.976;1.0;0.652;0.085;0.228
ENSMUST00000149547_90_90;0.667;0.668;0.651;0.851;0.239;0.532;0.812;0.782;0.628;0.652;1.0;0.0;0.132
ENSMUST00000156596_90_90;0.085;0.088;0.085;0.112;0.272;0.0;0.107;0.11;0.087;0.085;0.0;1.0;0.374
ENSMUST00000183855_90_90;0.228;0.2;0.226;0.251;0.719;0.0;0.283;0.292;0.233;0.228;0.132;0.374;1.0
