;ENSCAFT00000017676_90_90;ENST00000249647_90_90;ENST00000349777_90_90;ENST00000397138_90_90;ENST00000561526_90_90;ENST00000563765_90_90;ENST00000563830_90_90;ENST00000563873_90_90;ENST00000564153_90_90;ENST00000566035_90_90;ENST00000566327_90_90;ENST00000567094_90_90;ENST00000568331_90_90;ENST00000568451_90_90;ENST00000568841_90_90;ENST00000568859_90_90;ENST00000626061_90_90;ENST00000627440_90_90;ENSMUST00000028743_90_90;ENSMUST00000110711_90_90;ENSMUST00000116437_90_90;ENSMUST00000142278_90_90;ENSMUST00000150611_90_90;ENSMUST00000153580_90_90
ENSCAFT00000017676_90_90;1.0;0.94;0.687;0.687;0.53;0.101;0.591;0.21;0.446;0.104;0.629;0.378;0.378;0.378;0.598;0.464;0.101;0.104;0.908;0.908;0.867;0.705;0.351;0.359
ENST00000249647_90_90;0.94;1.0;0.687;0.687;0.577;0.101;0.637;0.21;0.446;0.104;0.68;0.345;0.345;0.345;0.645;0.509;0.101;0.104;0.908;0.908;0.821;0.705;0.351;0.359
ENST00000349777_90_90;0.687;0.687;1.0;1.0;0.459;0.138;0.343;0.287;0.631;0.143;0.367;0.467;0.467;0.467;0.347;0.498;0.138;0.143;0.71;0.71;0.635;0.495;0.48;0.521
ENST00000397138_90_90;0.687;0.687;1.0;1.0;0.459;0.138;0.343;0.287;0.631;0.143;0.367;0.467;0.467;0.467;0.347;0.498;0.138;0.143;0.71;0.71;0.635;0.495;0.48;0.521
ENST00000561526_90_90;0.53;0.577;0.459;0.459;1.0;0.164;0.343;0.327;0.544;0.171;0.436;0.547;0.547;0.547;0.347;0.882;0.164;0.171;0.546;0.546;0.492;0.693;0.561;0.621
ENST00000563765_90_90;0.101;0.101;0.138;0.138;0.164;1.0;0.0;0.0;0.168;0.424;0.0;0.182;0.182;0.182;0.0;0.183;1.0;0.424;0.102;0.102;0.095;0.13;0.185;0.239
ENST00000563830_90_90;0.591;0.637;0.343;0.343;0.343;0.0;1.0;0.231;0.137;0.0;0.808;0.141;0.141;0.141;0.858;0.273;0.0;0.0;0.56;0.56;0.51;0.482;0.143;0.12
ENST00000563873_90_90;0.21;0.21;0.287;0.287;0.327;0.0;0.231;1.0;0.34;0.0;0.223;0.337;0.337;0.337;0.218;0.359;0.0;0.0;0.216;0.216;0.196;0.264;0.346;0.361
ENST00000564153_90_90;0.446;0.446;0.631;0.631;0.544;0.168;0.137;0.34;1.0;0.175;0.196;0.558;0.558;0.558;0.139;0.6;0.168;0.175;0.46;0.46;0.414;0.436;0.575;0.65
ENST00000566035_90_90;0.104;0.104;0.143;0.143;0.171;0.424;0.0;0.0;0.175;1.0;0.0;0.195;0.195;0.195;0.0;0.193;0.424;1.0;0.105;0.105;0.097;0.134;0.197;0.254
ENST00000566327_90_90;0.629;0.68;0.367;0.367;0.436;0.0;0.808;0.223;0.196;0.0;1.0;0.197;0.197;0.197;0.822;0.358;0.0;0.0;0.598;0.598;0.541;0.586;0.201;0.187
ENST00000567094_90_90;0.378;0.345;0.467;0.467;0.547;0.182;0.141;0.337;0.558;0.195;0.197;1.0;1.0;1.0;0.143;0.608;0.182;0.195;0.353;0.353;0.388;0.438;0.786;0.669
ENST00000568331_90_90;0.378;0.345;0.467;0.467;0.547;0.182;0.141;0.337;0.558;0.195;0.197;1.0;1.0;1.0;0.143;0.608;0.182;0.195;0.353;0.353;0.388;0.438;0.786;0.669
ENST00000568451_90_90;0.378;0.345;0.467;0.467;0.547;0.182;0.141;0.337;0.558;0.195;0.197;1.0;1.0;1.0;0.143;0.608;0.182;0.195;0.353;0.353;0.388;0.438;0.786;0.669
ENST00000568841_90_90;0.598;0.645;0.347;0.347;0.347;0.0;0.858;0.218;0.139;0.0;0.822;0.143;0.143;0.143;1.0;0.276;0.0;0.0;0.568;0.568;0.517;0.488;0.145;0.123
ENST00000568859_90_90;0.464;0.509;0.498;0.498;0.882;0.183;0.273;0.359;0.6;0.193;0.358;0.608;0.608;0.608;0.276;1.0;0.183;0.193;0.478;0.478;0.43;0.606;0.623;0.705
ENST00000626061_90_90;0.101;0.101;0.138;0.138;0.164;1.0;0.0;0.0;0.168;0.424;0.0;0.182;0.182;0.182;0.0;0.183;1.0;0.424;0.102;0.102;0.095;0.13;0.185;0.239
ENST00000627440_90_90;0.104;0.104;0.143;0.143;0.171;0.424;0.0;0.0;0.175;1.0;0.0;0.195;0.195;0.195;0.0;0.193;0.424;1.0;0.105;0.105;0.097;0.134;0.197;0.254
ENSMUST00000028743_90_90;0.908;0.908;0.71;0.71;0.546;0.102;0.56;0.216;0.46;0.105;0.598;0.353;0.353;0.353;0.568;0.478;0.102;0.105;1.0;1.0;0.891;0.785;0.36;0.37
ENSMUST00000110711_90_90;0.908;0.908;0.71;0.71;0.546;0.102;0.56;0.216;0.46;0.105;0.598;0.353;0.353;0.353;0.568;0.478;0.102;0.105;1.0;1.0;0.891;0.785;0.36;0.37
ENSMUST00000116437_90_90;0.867;0.821;0.635;0.635;0.492;0.095;0.51;0.196;0.414;0.097;0.541;0.388;0.388;0.388;0.517;0.43;0.095;0.097;0.891;0.891;1.0;0.7;0.329;0.333
ENSMUST00000142278_90_90;0.705;0.705;0.495;0.495;0.693;0.13;0.482;0.264;0.436;0.134;0.586;0.438;0.438;0.438;0.488;0.606;0.13;0.134;0.785;0.785;0.7;1.0;0.447;0.474
ENSMUST00000150611_90_90;0.351;0.351;0.48;0.48;0.561;0.185;0.143;0.346;0.575;0.197;0.201;0.786;0.786;0.786;0.145;0.623;0.185;0.197;0.36;0.36;0.329;0.447;1.0;0.687
ENSMUST00000153580_90_90;0.359;0.359;0.521;0.521;0.621;0.239;0.12;0.361;0.65;0.254;0.187;0.669;0.669;0.669;0.123;0.705;0.239;0.254;0.37;0.37;0.333;0.474;0.687;1.0
