;transcript10_ENSHGLG00100003156;transcript17_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript17_ENSHGLG00000019563;transcript25_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript0_ENSHGLG00100006079;transcript13_ENSHGLG00100006079;transcript20_ENSHGLG00100006079;transcript21_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript0_ENSMUNG00000002391;transcript21_ENSMUNG00000002391;transcript22_ENSMUNG00000002391;transcript8_ENSAPOG00000016134;transcript10_ENSAPOG00000016134;transcript12_ENSAPOG00000016134;transcript17_ENSAPOG00000016134;transcript20_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript12_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript23_ENSAPOG00000023408;transcript24_ENSAPOG00000023408;transcript0_ENSPNYG00000024266;transcript0_ENSXMAG00000026005
transcript10_ENSHGLG00100003156;1.0;1.0;0.964;0.964;1.0;0.964;0.506;0.913;0.843;0.958;0.958;0.958;0.767;0.862;0.97;0.774;0.677;0.94;0.799;0.937;0.812;0.905;0.799;0.75;0.91;0.909;0.663;0.663
transcript17_ENSHGLG00100003156;1.0;1.0;0.964;0.964;1.0;0.964;0.506;0.913;0.843;0.958;0.958;0.958;0.767;0.862;0.97;0.774;0.677;0.94;0.799;0.937;0.812;0.905;0.799;0.75;0.91;0.909;0.663;0.663
transcript20_ENSHGLG00100003156;0.964;0.964;1.0;1.0;0.972;1.0;0.548;0.95;0.874;0.994;0.994;0.994;0.74;0.885;0.994;0.746;0.698;0.941;0.824;0.938;0.837;0.932;0.823;0.731;0.938;0.908;0.685;0.685
transcript13_ENSHGLG00000019563;0.964;0.964;1.0;1.0;0.972;1.0;0.548;0.95;0.9;0.994;0.994;0.994;0.74;0.907;0.994;0.746;0.754;0.942;0.862;0.94;0.872;0.945;0.861;0.731;0.948;0.921;0.744;0.744
transcript17_ENSHGLG00000019563;1.0;1.0;0.972;0.972;1.0;0.972;0.511;0.921;0.874;0.966;0.966;0.966;0.767;0.891;0.977;0.774;0.736;0.944;0.841;0.943;0.851;0.924;0.841;0.751;0.927;0.925;0.724;0.724
transcript25_ENSHGLG00000019563;0.964;0.964;1.0;1.0;0.972;1.0;0.548;0.95;0.9;0.994;0.994;0.994;0.74;0.907;0.994;0.746;0.754;0.942;0.862;0.94;0.872;0.945;0.861;0.731;0.948;0.921;0.744;0.744
transcript26_ENSHGLG00000019563;0.506;0.506;0.548;0.548;0.511;0.548;1.0;0.481;0.483;0.541;0.541;0.541;0.247;0.487;0.541;0.254;0.399;0.5;0.464;0.499;0.47;0.516;0.464;0.254;0.516;0.489;0.392;0.392
transcript27_ENSHGLG00000019563;0.913;0.913;0.95;0.95;0.921;0.95;0.481;1.0;0.862;0.954;0.954;0.954;0.694;0.86;0.944;0.692;0.714;0.9;0.817;0.898;0.827;0.897;0.817;0.684;0.9;0.873;0.704;0.704
transcript0_ENSHGLG00100006079;0.843;0.843;0.874;0.9;0.874;0.9;0.483;0.862;1.0;0.773;0.773;0.773;0.575;0.978;0.766;0.574;0.669;0.813;0.779;0.811;0.79;0.871;0.779;0.631;0.858;0.85;0.712;0.712
transcript13_ENSHGLG00100006079;0.958;0.958;0.994;0.994;0.966;0.994;0.541;0.954;0.773;1.0;1.0;1.0;0.744;0.773;0.989;0.741;0.695;0.936;0.82;0.934;0.833;0.927;0.819;0.726;0.933;0.904;0.682;0.682
transcript20_ENSHGLG00100006079;0.958;0.958;0.994;0.994;0.966;0.994;0.541;0.954;0.773;1.0;1.0;1.0;0.744;0.773;0.989;0.741;0.695;0.936;0.82;0.934;0.833;0.927;0.819;0.726;0.933;0.904;0.682;0.682
transcript21_ENSHGLG00100006079;0.958;0.958;0.994;0.994;0.966;0.994;0.541;0.954;0.773;1.0;1.0;1.0;0.744;0.773;0.989;0.741;0.695;0.936;0.82;0.934;0.833;0.927;0.819;0.726;0.933;0.904;0.682;0.682
transcript22_ENSHGLG00100006079;0.767;0.767;0.74;0.74;0.767;0.74;0.247;0.694;0.575;0.744;0.744;0.744;1.0;0.581;0.744;0.991;0.52;0.736;0.615;0.736;0.624;0.696;0.615;0.949;0.7;0.712;0.509;0.509
transcript0_ENSMUNG00000002391;0.862;0.862;0.885;0.907;0.891;0.907;0.487;0.86;0.978;0.773;0.773;0.773;0.581;1.0;0.782;0.586;0.683;0.828;0.797;0.826;0.807;0.892;0.798;0.645;0.879;0.874;0.718;0.718
transcript21_ENSMUNG00000002391;0.97;0.97;0.994;0.994;0.977;0.994;0.541;0.944;0.766;0.989;0.989;0.989;0.744;0.782;1.0;0.75;0.699;0.945;0.827;0.942;0.838;0.934;0.827;0.734;0.94;0.914;0.685;0.685
transcript22_ENSMUNG00000002391;0.774;0.774;0.746;0.746;0.774;0.746;0.254;0.692;0.574;0.741;0.741;0.741;0.991;0.586;0.75;1.0;0.524;0.742;0.62;0.742;0.629;0.701;0.62;0.954;0.705;0.718;0.513;0.513
transcript8_ENSAPOG00000016134;0.677;0.677;0.698;0.754;0.736;0.754;0.399;0.714;0.669;0.695;0.695;0.695;0.52;0.683;0.699;0.524;1.0;0.675;0.848;0.673;0.834;0.748;0.848;0.524;0.737;0.731;0.974;0.974
transcript10_ENSAPOG00000016134;0.94;0.94;0.941;0.942;0.944;0.942;0.5;0.9;0.813;0.936;0.936;0.936;0.736;0.828;0.945;0.742;0.675;1.0;0.795;0.997;0.808;0.9;0.795;0.773;0.906;0.92;0.661;0.661
transcript12_ENSAPOG00000016134;0.799;0.799;0.824;0.862;0.841;0.862;0.464;0.817;0.779;0.82;0.82;0.82;0.615;0.797;0.827;0.62;0.848;0.795;1.0;0.794;0.984;0.883;1.0;0.618;0.87;0.862;0.826;0.826
