;ENSCAFT00000004031_90_90;ENST00000308924_90_90;ENST00000450554_90_90;ENST00000587196_90_90;ENST00000590551_90_90;ENST00000592874_90_90;ENSMUST00000005041_90_90;ENSMUST00000165399_90_90;ENSMUST00000207097_90_90;ENSMUST00000207498_90_90;ENSMUST00000209099_90_90
ENSCAFT00000004031_90_90;1.0;0.879;0.916;0.053;0.417;0.181;0.916;0.417;0.268;0.183;0.879
ENST00000308924_90_90;0.879;1.0;0.955;0.091;0.407;0.173;0.816;0.407;0.202;0.176;0.855
ENST00000450554_90_90;0.916;0.955;1.0;0.099;0.417;0.181;0.845;0.417;0.213;0.183;0.816
ENST00000587196_90_90;0.053;0.091;0.099;1.0;0.0;0.0;0.053;0.0;0.113;0.0;0.05
ENST00000590551_90_90;0.417;0.407;0.417;0.0;1.0;0.0;0.417;1.0;0.0;0.0;0.407
ENST00000592874_90_90;0.181;0.173;0.181;0.0;0.0;1.0;0.132;0.0;0.072;0.574;0.128
ENSMUST00000005041_90_90;0.916;0.816;0.845;0.053;0.417;0.132;1.0;0.417;0.213;0.237;0.955
ENSMUST00000165399_90_90;0.417;0.407;0.417;0.0;1.0;0.0;0.417;1.0;0.0;0.0;0.407
ENSMUST00000207097_90_90;0.268;0.202;0.213;0.113;0.0;0.072;0.213;0.0;1.0;0.0;0.202
ENSMUST00000207498_90_90;0.183;0.176;0.183;0.0;0.0;0.574;0.237;0.0;0.0;1.0;0.225
ENSMUST00000209099_90_90;0.879;0.855;0.816;0.05;0.407;0.128;0.955;0.407;0.202;0.225;1.0
