;ENSCAFT00000009524_90_90;ENSCAFT00000009525_90_90;ENST00000305852_90_90;ENST00000357996_90_90;ENST00000379245_90_90;ENST00000405912_90_90;ENST00000413938_90_90;ENST00000414288_90_90;ENST00000432869_90_90;ENST00000441005_90_90;ENST00000451623_90_90;ENSMUST00000070039_90_90;ENSMUST00000112487_90_90
ENSCAFT00000009524_90_90;1.0;0.889;0.368;0.421;0.714;0.619;0.053;0.263;0.333;0.3;0.5;0.833;0.944
ENSCAFT00000009525_90_90;0.889;1.0;0.412;0.471;0.619;0.684;0.059;0.294;0.294;0.333;0.556;0.938;0.833
ENST00000305852_90_90;0.368;0.412;1.0;0.545;0.444;0.5;0.0;0.556;0.4;0.778;0.25;0.438;0.389
ENST00000357996_90_90;0.421;0.471;0.545;1.0;0.5;0.562;0.222;0.364;0.25;0.417;0.5;0.5;0.444
ENST00000379245_90_90;0.714;0.619;0.444;0.5;1.0;0.889;0.111;0.263;0.263;0.368;0.667;0.571;0.667
ENST00000405912_90_90;0.619;0.684;0.5;0.562;0.889;1.0;0.125;0.294;0.222;0.412;0.75;0.632;0.571
ENST00000413938_90_90;0.053;0.059;0.0;0.222;0.111;0.125;1.0;0.0;0.0;0.0;0.167;0.062;0.056
ENST00000414288_90_90;0.263;0.294;0.556;0.364;0.263;0.294;0.0;1.0;0.5;0.556;0.125;0.312;0.278
ENST00000432869_90_90;0.333;0.294;0.4;0.25;0.263;0.222;0.0;0.5;1.0;0.4;0.059;0.312;0.353
ENST00000441005_90_90;0.3;0.333;0.778;0.417;0.368;0.412;0.0;0.556;0.4;1.0;0.176;0.353;0.316
ENST00000451623_90_90;0.5;0.556;0.25;0.5;0.667;0.75;0.167;0.125;0.059;0.176;1.0;0.5;0.45
ENSMUST00000070039_90_90;0.833;0.938;0.438;0.5;0.571;0.632;0.062;0.312;0.312;0.353;0.5;1.0;0.882
ENSMUST00000112487_90_90;0.944;0.833;0.389;0.444;0.667;0.571;0.056;0.278;0.353;0.316;0.45;0.882;1.0
