;ENSCAFT00000020697_90_90;ENSCAFT00000043849_90_90;ENST00000242480_90_90;ENST00000411732_90_90;ENST00000439032_90_90;ENST00000637191_90_90;ENSMUST00000048289_90_90;ENSMUST00000105438_90_90;ENSMUST00000127820_90_90;ENSMUST00000130933_90_90;ENSMUST00000145754_90_90;ENSMUST00000145936_90_90;ENSMUST00000146986_90_90
ENSCAFT00000020697_90_90;1.0;0.649;0.85;0.828;0.85;0.286;0.791;0.764;0.706;0.077;0.384;0.448;0.161
ENSCAFT00000043849_90_90;0.649;1.0;0.72;0.619;0.72;0.454;0.73;0.623;0.556;0.146;0.432;0.51;0.214
ENST00000242480_90_90;0.85;0.72;1.0;0.867;1.0;0.347;0.897;0.768;0.713;0.098;0.366;0.429;0.152
ENST00000411732_90_90;0.828;0.619;0.867;1.0;0.867;0.214;0.768;0.879;0.817;0.025;0.344;0.41;0.175
ENST00000439032_90_90;0.85;0.72;1.0;0.867;1.0;0.347;0.897;0.768;0.713;0.098;0.366;0.429;0.152
ENST00000637191_90_90;0.286;0.454;0.347;0.214;0.347;1.0;0.344;0.203;0.132;0.28;0.431;0.385;0.439
ENSMUST00000048289_90_90;0.791;0.73;0.897;0.768;0.897;0.344;1.0;0.856;0.756;0.107;0.42;0.486;0.19
ENSMUST00000105438_90_90;0.764;0.623;0.768;0.879;0.768;0.203;0.856;1.0;0.879;0.029;0.405;0.477;0.225
ENSMUST00000127820_90_90;0.706;0.556;0.713;0.817;0.713;0.132;0.756;0.879;1.0;0.0;0.296;0.368;0.104
ENSMUST00000130933_90_90;0.077;0.146;0.098;0.025;0.098;0.28;0.107;0.029;0.0;1.0;0.153;0.136;0.087
ENSMUST00000145754_90_90;0.384;0.432;0.366;0.344;0.366;0.431;0.42;0.405;0.296;0.153;1.0;0.879;0.38
ENSMUST00000145936_90_90;0.448;0.51;0.429;0.41;0.429;0.385;0.486;0.477;0.368;0.136;0.879;1.0;0.337
ENSMUST00000146986_90_90;0.161;0.214;0.152;0.175;0.152;0.439;0.19;0.225;0.104;0.087;0.38;0.337;1.0
