;ENSCAFT00000011939_90_90;ENST00000288986_90_90;ENST00000467911_90_90;ENST00000469404_90_90;ENST00000476286_90_90;ENST00000481752_90_90;ENST00000485096_90_90;ENST00000488930_90_90;ENST00000491539_90_90;ENST00000496489_90_90;ENSMUST00000112874_90_90;ENSMUST00000116522_90_90;ENSMUST00000186591_90_90;ENSMUST00000188670_90_90
ENSCAFT00000011939_90_90;1.0;0.998;0.431;0.799;0.199;0.998;0.304;0.428;0.34;0.372;0.799;0.998;0.546;0.349
ENST00000288986_90_90;0.998;1.0;0.419;0.777;0.2;1.0;0.306;0.43;0.342;0.373;0.777;1.0;0.548;0.351
ENST00000467911_90_90;0.431;0.419;1.0;0.556;0.0;0.419;0.16;0.307;0.215;0.328;0.556;0.419;0.175;0.227
ENST00000469404_90_90;0.799;0.777;0.556;1.0;0.0;0.777;0.103;0.223;0.138;0.207;1.0;0.777;0.338;0.147
ENST00000476286_90_90;0.199;0.2;0.0;0.0;1.0;0.2;0.653;0.465;0.584;0.412;0.0;0.2;0.365;0.569
ENST00000481752_90_90;0.998;1.0;0.419;0.777;0.2;1.0;0.306;0.43;0.342;0.373;0.777;1.0;0.548;0.351
ENST00000485096_90_90;0.304;0.306;0.16;0.103;0.653;0.306;1.0;0.712;0.894;0.673;0.103;0.306;0.558;0.872
ENST00000488930_90_90;0.428;0.43;0.307;0.223;0.465;0.43;0.712;1.0;0.796;0.868;0.223;0.43;0.558;0.813
ENST00000491539_90_90;0.34;0.342;0.215;0.138;0.584;0.342;0.894;0.796;1.0;0.763;0.138;0.342;0.624;0.975
ENST00000496489_90_90;0.372;0.373;0.328;0.207;0.412;0.373;0.673;0.868;0.763;1.0;0.207;0.373;0.526;0.78
ENSMUST00000112874_90_90;0.799;0.777;0.556;1.0;0.0;0.777;0.103;0.223;0.138;0.207;1.0;0.777;0.338;0.147
ENSMUST00000116522_90_90;0.998;1.0;0.419;0.777;0.2;1.0;0.306;0.43;0.342;0.373;0.777;1.0;0.548;0.351
ENSMUST00000186591_90_90;0.546;0.548;0.175;0.338;0.365;0.548;0.558;0.558;0.624;0.526;0.338;0.548;1.0;0.64
ENSMUST00000188670_90_90;0.349;0.351;0.227;0.147;0.569;0.351;0.872;0.813;0.975;0.78;0.147;0.351;0.64;1.0
