;transcript38_ENSRNOG00000031503;transcript38_ENSCGRG00015005362;transcript38_ENSCGRG00000018457;transcript38_ENSSTOG00000019743;transcript37_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript37_ENSCGRG00001010245;transcript37_ENSPEMG00000024651;transcript37_ENSSTOG00000019743;transcript57_ENSMUGG00000013649;transcript57_ENSPEMG00000024651;transcript58_ENSMUGG00000013649;transcript58_ENSPEMG00000024651;transcript59_ENSMUGG00000013649;transcript59_ENSPEMG00000024651;transcript51_ENSMUGG00000013592;transcript8_ENSCGRG00000018457;transcript8_ENSCGRG00015005362;transcript8_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript8_ENSSTOG00000019743;transcript9_ENSCGRG00015005362;transcript9_ENSPEMG00000024651;transcript54_ENSCGRG00015005362;transcript52_ENSCGRG00000018457;transcript52_ENSCGRG00001010245;transcript56_ENSCGRG00000018457;transcript56_ENSPEMG00000024651;transcript65_ENSCGRG00000018457;transcript33_ENSPEMG00000024651;transcript33_ENSNGAG00000018584;transcript39_ENSPEMG00000024651;transcript39_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript40_ENSSTOG00000019743
transcript38_ENSRNOG00000031503;1.0;0.957;0.957;0.957;0.716;0.711;0.836;0.809;0.836;0.684;0.662;0.713;0.711;0.695;0.789;0.733;0.775;0.773;0.754;0.683;0.779;0.902;0.877;0.827;0.848;0.848;0.916;0.854;0.856;0.877;0.8;0.786;0.808;0.8;0.8;0.8
transcript38_ENSCGRG00015005362;0.957;1.0;1.0;1.0;0.746;0.741;0.875;0.845;0.876;0.705;0.68;0.738;0.739;0.719;0.817;0.759;0.798;0.796;0.77;0.698;0.798;0.943;0.911;0.868;0.888;0.888;0.955;0.883;0.896;0.911;0.832;0.814;0.84;0.836;0.836;0.836
transcript38_ENSCGRG00000018457;0.957;1.0;1.0;1.0;0.746;0.741;0.875;0.845;0.876;0.705;0.68;0.738;0.739;0.719;0.817;0.759;0.798;0.796;0.77;0.698;0.798;0.943;0.911;0.868;0.888;0.888;0.955;0.883;0.896;0.911;0.832;0.814;0.84;0.836;0.836;0.836
transcript38_ENSSTOG00000019743;0.957;1.0;1.0;1.0;0.746;0.741;0.875;0.845;0.876;0.705;0.68;0.738;0.739;0.719;0.817;0.759;0.798;0.796;0.77;0.698;0.798;0.943;0.911;0.868;0.888;0.888;0.955;0.883;0.896;0.911;0.832;0.814;0.84;0.836;0.836;0.836
transcript37_ENSMUGG00000013649;0.716;0.746;0.746;0.746;1.0;0.99;0.846;0.821;0.849;0.803;0.766;0.836;0.827;0.816;0.778;0.876;0.567;0.566;0.55;0.509;0.567;0.77;0.743;0.828;0.719;0.719;0.718;0.679;0.71;0.743;0.698;0.776;0.798;0.693;0.693;0.693
transcript37_ENSMUGG00000013592;0.711;0.741;0.741;0.741;0.99;1.0;0.839;0.818;0.842;0.797;0.764;0.829;0.823;0.809;0.774;0.885;0.564;0.562;0.549;0.508;0.565;0.764;0.739;0.821;0.713;0.713;0.713;0.676;0.705;0.739;0.695;0.772;0.792;0.687;0.687;0.687
transcript37_ENSCGRG00001010245;0.836;0.875;0.875;0.875;0.846;0.839;1.0;0.962;0.994;0.795;0.767;0.828;0.829;0.809;0.78;0.865;0.683;0.682;0.66;0.59;0.684;0.898;0.863;0.971;0.843;0.843;0.846;0.795;0.834;0.863;0.788;0.778;0.805;0.802;0.802;0.802
transcript37_ENSPEMG00000024651;0.809;0.845;0.845;0.845;0.821;0.818;0.962;1.0;0.958;0.77;0.791;0.803;0.854;0.783;0.802;0.842;0.67;0.668;0.678;0.59;0.671;0.865;0.876;0.935;0.818;0.818;0.819;0.815;0.81;0.876;0.772;0.8;0.78;0.772;0.772;0.772
transcript37_ENSSTOG00000019743;0.836;0.876;0.876;0.876;0.849;0.842;0.994;0.958;1.0;0.795;0.765;0.828;0.826;0.809;0.779;0.867;0.684;0.681;0.658;0.591;0.684;0.899;0.863;0.971;0.844;0.844;0.847;0.796;0.835;0.863;0.79;0.777;0.806;0.803;0.803;0.803
transcript57_ENSMUGG00000013649;0.684;0.705;0.705;0.705;0.803;0.797;0.795;0.77;0.795;1.0;0.828;0.893;0.846;0.952;0.788;0.901;0.558;0.557;0.54;0.499;0.558;0.762;0.734;0.823;0.707;0.707;0.663;0.64;0.698;0.734;0.693;0.737;0.758;0.681;0.681;0.681
transcript57_ENSPEMG00000024651;0.662;0.68;0.68;0.68;0.766;0.764;0.767;0.791;0.765;0.828;1.0;0.838;0.883;0.817;0.815;0.849;0.527;0.525;0.526;0.484;0.521;0.732;0.74;0.792;0.692;0.692;0.64;0.651;0.684;0.74;0.683;0.761;0.73;0.654;0.654;0.654
transcript58_ENSMUGG00000013649;0.713;0.738;0.738;0.738;0.836;0.829;0.828;0.803;0.828;0.893;0.838;1.0;0.881;0.906;0.82;0.931;0.571;0.569;0.553;0.512;0.57;0.793;0.765;0.856;0.74;0.74;0.697;0.674;0.732;0.765;0.717;0.77;0.791;0.712;0.712;0.712
