;transcript33_ENSMUSG00000054036;transcript33_MGP-PahariEiJ-G0020237;transcript27_ENSRNOG00000031503;transcript27_ENSMUGG00000013649;transcript34_ENSRNOG00000031503;transcript37_ENSMUGG00000013649;transcript38_ENSMUGG00000013649;transcript40_ENSMUGG00000013649;transcript45_ENSMUGG00000013649;transcript46_ENSMUGG00000013649;transcript49_ENSMUGG00000013649;transcript39_ENSMUGG00000013592
transcript33_ENSMUSG00000054036;1.0;1.0;0.978;1.0;0.978;0.339;0.984;1.0;0.984;0.952;0.969;1.0
transcript33_MGP-PahariEiJ-G0020237;1.0;1.0;0.978;1.0;0.978;0.349;0.983;1.0;0.983;0.948;0.966;1.0
transcript27_ENSRNOG00000031503;0.978;0.978;1.0;0.979;1.0;0.406;0.924;0.979;0.924;0.869;0.907;0.979
transcript27_ENSMUGG00000013649;1.0;1.0;0.979;1.0;0.979;0.376;0.93;1.0;0.93;0.889;0.917;1.0
transcript34_ENSRNOG00000031503;0.978;0.978;1.0;0.979;1.0;0.406;0.924;0.979;0.924;0.869;0.907;0.979
transcript37_ENSMUGG00000013649;0.339;0.349;0.406;0.376;0.406;1.0;0.295;0.376;0.295;0.263;0.281;0.376
transcript38_ENSMUGG00000013649;0.984;0.983;0.924;0.93;0.924;0.295;1.0;0.93;1.0;0.955;0.986;0.93
transcript40_ENSMUGG00000013649;1.0;1.0;0.979;1.0;0.979;0.376;0.93;1.0;0.93;0.889;0.917;1.0
transcript45_ENSMUGG00000013649;0.984;0.983;0.924;0.93;0.924;0.295;1.0;0.93;1.0;0.955;0.986;0.93
transcript46_ENSMUGG00000013649;0.952;0.948;0.869;0.889;0.869;0.263;0.955;0.889;0.955;1.0;0.969;0.889
transcript49_ENSMUGG00000013649;0.969;0.966;0.907;0.917;0.907;0.281;0.986;0.917;0.986;0.969;1.0;0.917
transcript39_ENSMUGG00000013592;1.0;1.0;0.979;1.0;0.979;0.376;0.93;1.0;0.93;0.889;0.917;1.0
