;ENSCAFT00000023887_90_90;ENSCAFT00000023892_90_90;ENSCAFT00000043832_90_90;ENST00000292476_90_90;ENST00000412686_90_90;ENST00000430038_90_90;ENST00000436336_90_90;ENST00000440514_90_90;ENST00000441580_90_90;ENST00000451876_90_90;ENST00000452047_90_90;ENSMUST00000070487_90_90;ENSMUST00000160422_90_90;ENSMUST00000160574_90_90;ENSMUST00000160629_90_90;ENSMUST00000160762_90_90;ENSMUST00000162244_90_90
ENSCAFT00000023887_90_90;1.0;0.45;0.523;0.523;0.687;0.01;0.573;0.153;0.467;0.452;0.27;0.453;0.525;0.179;0.578;0.456;0.575
ENSCAFT00000023892_90_90;0.45;1.0;0.788;0.775;0.331;0.079;0.854;0.37;0.643;0.977;0.488;0.986;0.781;0.227;0.857;0.605;0.861
ENSCAFT00000043832_90_90;0.523;0.788;1.0;0.985;0.419;0.063;0.893;0.481;0.702;0.771;0.55;0.778;0.993;0.181;0.896;0.764;0.9
ENST00000292476_90_90;0.523;0.775;0.985;1.0;0.419;0.066;0.907;0.483;0.71;0.784;0.558;0.776;0.99;0.182;0.894;0.762;0.898
ENST00000412686_90_90;0.687;0.331;0.419;0.419;1.0;0.0;0.462;0.182;0.59;0.332;0.312;0.332;0.419;0.0;0.464;0.543;0.462
ENST00000430038_90_90;0.01;0.079;0.063;0.066;0.0;1.0;0.072;0.0;0.0;0.082;0.066;0.081;0.065;0.336;0.071;0.079;0.071
ENST00000436336_90_90;0.573;0.854;0.893;0.907;0.462;0.072;1.0;0.403;0.783;0.865;0.605;0.855;0.898;0.2;0.985;0.725;0.989
ENST00000440514_90_90;0.153;0.37;0.481;0.483;0.182;0.0;0.403;1.0;0.485;0.368;0.402;0.368;0.483;0.0;0.399;0.435;0.403
ENST00000441580_90_90;0.467;0.643;0.702;0.71;0.59;0.0;0.783;0.485;1.0;0.648;0.613;0.641;0.704;0.0;0.771;0.742;0.776
ENST00000451876_90_90;0.452;0.977;0.771;0.784;0.332;0.082;0.865;0.368;0.648;1.0;0.493;0.987;0.776;0.23;0.858;0.599;0.855
ENST00000452047_90_90;0.27;0.488;0.55;0.558;0.312;0.066;0.605;0.402;0.613;0.493;1.0;0.49;0.555;0.063;0.598;0.564;0.602
ENSMUST00000070487_90_90;0.453;0.986;0.778;0.776;0.332;0.081;0.855;0.368;0.641;0.987;0.49;1.0;0.784;0.232;0.868;0.607;0.865
ENSMUST00000160422_90_90;0.525;0.781;0.993;0.99;0.419;0.065;0.898;0.483;0.704;0.776;0.555;0.784;1.0;0.184;0.903;0.771;0.907
ENSMUST00000160574_90_90;0.179;0.227;0.181;0.182;0.0;0.336;0.2;0.0;0.0;0.23;0.063;0.232;0.184;1.0;0.202;0.074;0.202
ENSMUST00000160629_90_90;0.578;0.857;0.896;0.894;0.464;0.071;0.985;0.399;0.771;0.858;0.598;0.868;0.903;0.202;1.0;0.73;0.996
ENSMUST00000160762_90_90;0.456;0.605;0.764;0.762;0.543;0.079;0.725;0.435;0.742;0.599;0.564;0.607;0.771;0.074;0.73;1.0;0.734
ENSMUST00000162244_90_90;0.575;0.861;0.9;0.898;0.462;0.071;0.989;0.403;0.776;0.855;0.602;0.865;0.907;0.202;0.996;0.734;1.0
