;transcript9_ENSMUNG00000007775;transcript21_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript25_ENSMUNG00000007775;transcript26_ENSMUNG00000007775;transcript30_ENSMUNG00000007775;transcript31_ENSMUNG00000007775;transcript32_ENSMUNG00000007775;transcript33_ENSMUNG00000007775;transcript9_ENSMUNG00000002377;transcript13_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript27_ENSMUNG00000002377;transcript35_ENSMUNG00000002377;transcript36_ENSMUNG00000002377;transcript37_ENSMUNG00000002377;transcript38_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript23_ENSMUNG00000002391;transcript30_ENSMUNG00000002391;transcript33_ENSMUNG00000002391
transcript9_ENSMUNG00000007775;1.0;0.948;0.931;0.88;0.917;0.578;1.0;0.95;1.0;0.865;0.813;0.829;0.772;0.757;0.625;0.804;0.784;0.915;0.917;0.578;0.986
transcript21_ENSMUNG00000007775;0.948;1.0;0.984;0.932;0.969;0.631;0.948;0.97;0.948;0.817;0.864;0.881;0.824;0.808;0.677;0.857;0.837;0.967;0.97;0.631;0.933
transcript23_ENSMUNG00000007775;0.931;0.984;1.0;0.916;0.985;0.639;0.931;0.954;0.931;0.83;0.877;0.895;0.836;0.821;0.686;0.871;0.849;0.951;0.972;0.639;0.917
transcript25_ENSMUNG00000007775;0.88;0.932;0.916;1.0;0.902;0.564;0.88;0.903;0.88;0.75;0.799;0.815;0.758;0.743;0.61;0.79;0.769;0.901;0.903;0.564;0.867
transcript26_ENSMUNG00000007775;0.917;0.969;0.985;0.902;1.0;0.646;0.917;0.94;0.917;0.815;0.863;0.881;0.822;0.806;0.672;0.856;0.834;0.938;0.972;0.646;0.903
transcript30_ENSMUNG00000007775;0.578;0.631;0.639;0.564;0.646;1.0;0.578;0.609;0.578;0.539;0.597;0.607;0.554;0.538;0.674;0.581;0.578;0.617;0.633;0.967;0.572
transcript31_ENSMUNG00000007775;1.0;0.948;0.931;0.88;0.917;0.578;1.0;0.95;1.0;0.865;0.813;0.829;0.772;0.757;0.625;0.804;0.784;0.915;0.917;0.578;0.986
transcript32_ENSMUNG00000007775;0.95;0.97;0.954;0.903;0.94;0.609;0.95;1.0;0.95;0.821;0.839;0.855;0.797;0.782;0.654;0.831;0.81;0.939;0.941;0.609;0.936
transcript33_ENSMUNG00000007775;1.0;0.948;0.931;0.88;0.917;0.578;1.0;0.95;1.0;0.865;0.813;0.829;0.772;0.757;0.625;0.804;0.784;0.915;0.917;0.578;0.986
transcript9_ENSMUNG00000002377;0.865;0.817;0.83;0.75;0.815;0.539;0.865;0.821;0.865;1.0;0.891;0.929;0.872;0.855;0.681;0.899;0.873;0.792;0.807;0.539;0.853
transcript13_ENSMUNG00000002377;0.813;0.864;0.877;0.799;0.863;0.597;0.813;0.839;0.813;0.891;1.0;0.96;0.955;0.938;0.724;0.931;0.906;0.85;0.855;0.597;0.803
transcript23_ENSMUNG00000002377;0.829;0.881;0.895;0.815;0.881;0.607;0.829;0.855;0.829;0.929;0.96;1.0;0.915;0.898;0.752;0.97;0.944;0.855;0.871;0.607;0.818
transcript27_ENSMUNG00000002377;0.772;0.824;0.836;0.758;0.822;0.554;0.772;0.797;0.772;0.872;0.955;0.915;1.0;0.982;0.678;0.887;0.861;0.81;0.814;0.554;0.762
transcript35_ENSMUNG00000002377;0.757;0.808;0.821;0.743;0.806;0.538;0.757;0.782;0.757;0.855;0.938;0.898;0.982;1.0;0.661;0.869;0.844;0.795;0.798;0.538;0.747
transcript36_ENSMUNG00000002377;0.625;0.677;0.686;0.61;0.672;0.674;0.625;0.654;0.625;0.681;0.724;0.752;0.678;0.661;1.0;0.772;0.792;0.661;0.669;0.674;0.618
transcript37_ENSMUNG00000002377;0.804;0.857;0.871;0.79;0.856;0.581;0.804;0.831;0.804;0.899;0.931;0.97;0.887;0.869;0.772;1.0;0.972;0.833;0.847;0.591;0.794
transcript38_ENSMUNG00000002377;0.784;0.837;0.849;0.769;0.834;0.578;0.784;0.81;0.784;0.873;0.906;0.944;0.861;0.844;0.792;0.972;1.0;0.812;0.827;0.578;0.774
transcript10_ENSMUNG00000002391;0.915;0.967;0.951;0.901;0.938;0.617;0.915;0.939;0.915;0.792;0.85;0.855;0.81;0.795;0.661;0.833;0.812;1.0;0.965;0.617;0.929
transcript23_ENSMUNG00000002391;0.917;0.97;0.972;0.903;0.972;0.633;0.917;0.941;0.917;0.807;0.855;0.871;0.814;0.798;0.669;0.847;0.827;0.965;1.0;0.633;0.931
transcript30_ENSMUNG00000002391;0.578;0.631;0.639;0.564;0.646;0.967;0.578;0.609;0.578;0.539;0.597;0.607;0.554;0.538;0.674;0.591;0.578;0.617;0.633;1.0;0.572
transcript33_ENSMUNG00000002391;0.986;0.933;0.917;0.867;0.903;0.572;0.986;0.936;0.986;0.853;0.803;0.818;0.762;0.747;0.618;0.794;0.774;0.929;0.931;0.572;1.0
