;ENSCAFT00000006204_90_90;ENST00000361556_90_90;ENST00000371714_90_90;ENST00000428468_90_90;ENST00000435274_90_90;ENST00000447887_90_90;ENST00000453295_90_90;ENST00000462759_90_90;ENST00000481937_90_90;ENST00000486942_90_90;ENST00000489990_90_90;ENST00000495776_90_90;ENST00000526917_90_90;ENST00000527631_90_90;ENST00000528603_90_90;ENST00000531061_90_90;ENST00000531828_90_90;ENST00000532975_90_90;ENST00000533884_90_90;ENST00000534040_90_90;ENST00000625138_90_90;ENSMUST00000030288_90_90;ENSMUST00000084366_90_90;ENSMUST00000159545_90_90;ENSMUST00000160271_90_90;ENSMUST00000160774_90_90;ENSMUST00000161363_90_90;ENSMUST00000162787_90_90;ENSMUST00000194478_90_90
ENSCAFT00000006204_90_90;1.0;0.828;0.981;0.998;0.104;0.952;0.975;0.758;0.039;0.758;0.266;0.09;0.077;0.124;0.036;0.157;0.775;0.149;0.077;0.021;0.175;0.999;0.846;0.091;0.828;0.976;0.858;0.981;0.952
ENST00000361556_90_90;0.828;1.0;0.843;0.828;0.0;0.817;0.848;0.891;0.025;0.891;0.124;0.0;0.105;0.124;0.022;0.185;0.873;0.175;0.105;0.025;0.206;0.828;0.98;0.0;1.0;0.848;0.928;0.843;0.817
ENST00000371714_90_90;0.981;0.843;1.0;0.982;0.106;0.969;0.959;0.772;0.022;0.772;0.271;0.092;0.078;0.107;0.019;0.16;0.758;0.151;0.078;0.021;0.178;0.981;0.828;0.093;0.843;0.958;0.873;0.999;0.968
ENST00000428468_90_90;0.998;0.828;0.982;1.0;0.104;0.953;0.977;0.758;0.039;0.758;0.266;0.09;0.077;0.125;0.036;0.157;0.776;0.149;0.077;0.021;0.175;0.998;0.845;0.091;0.828;0.975;0.858;0.981;0.952
ENST00000435274_90_90;0.104;0.0;0.106;0.104;1.0;0.103;0.082;0.0;0.0;0.0;0.341;0.399;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.104;0.0;0.419;0.0;0.082;0.0;0.106;0.103
ENST00000447887_90_90;0.952;0.817;0.969;0.953;0.103;1.0;0.93;0.748;0.021;0.748;0.263;0.089;0.076;0.104;0.018;0.155;0.735;0.147;0.076;0.021;0.173;0.952;0.803;0.09;0.817;0.929;0.846;0.968;0.999
ENST00000453295_90_90;0.975;0.848;0.959;0.977;0.082;0.93;1.0;0.776;0.04;0.776;0.243;0.067;0.078;0.128;0.037;0.161;0.794;0.152;0.078;0.022;0.179;0.975;0.865;0.068;0.848;0.998;0.878;0.958;0.929
ENST00000462759_90_90;0.758;0.891;0.772;0.758;0.0;0.748;0.776;1.0;0.028;1.0;0.044;0.0;0.0;0.138;0.024;0.207;0.977;0.196;0.0;0.027;0.231;0.758;0.873;0.0;0.891;0.776;0.851;0.772;0.748
ENST00000481937_90_90;0.039;0.025;0.022;0.039;0.0;0.021;0.04;0.028;1.0;0.028;0.075;0.0;0.0;0.303;0.681;0.0;0.05;0.127;0.0;0.277;0.0;0.039;0.045;0.0;0.025;0.04;0.024;0.022;0.021
ENST00000486942_90_90;0.758;0.891;0.772;0.758;0.0;0.748;0.776;1.0;0.028;1.0;0.044;0.0;0.0;0.138;0.024;0.207;0.977;0.196;0.0;0.027;0.231;0.758;0.873;0.0;0.891;0.776;0.851;0.772;0.748
ENST00000489990_90_90;0.266;0.124;0.271;0.266;0.341;0.263;0.243;0.044;0.075;0.044;1.0;0.325;0.267;0.059;0.065;0.054;0.044;0.117;0.267;0.072;0.0;0.266;0.122;0.335;0.124;0.243;0.159;0.271;0.262
ENST00000495776_90_90;0.09;0.0;0.092;0.09;0.399;0.089;0.067;0.0;0.0;0.0;0.325;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09;0.0;0.914;0.0;0.067;0.018;0.092;0.089
ENST00000526917_90_90;0.077;0.105;0.078;0.077;0.0;0.076;0.078;0.0;0.0;0.0;0.267;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.077;0.103;0.0;0.105;0.078;0.086;0.078;0.076
ENST00000527631_90_90;0.124;0.124;0.107;0.125;0.0;0.104;0.128;0.138;0.303;0.138;0.059;0.0;0.0;1.0;0.273;0.384;0.161;0.646;0.0;0.137;0.0;0.124;0.143;0.0;0.124;0.127;0.118;0.107;0.104
ENST00000528603_90_90;0.036;0.022;0.019;0.036;0.0;0.018;0.037;0.024;0.681;0.024;0.065;0.0;0.0;0.273;1.0;0.0;0.047;0.108;0.0;0.23;0.0;0.036;0.041;0.0;0.022;0.037;0.021;0.019;0.018
ENST00000531061_90_90;0.157;0.185;0.16;0.157;0.0;0.155;0.161;0.207;0.0;0.207;0.054;0.0;0.0;0.384;0.0;1.0;0.203;0.642;0.0;0.0;0.0;0.157;0.181;0.0;0.185;0.161;0.176;0.16;0.155
ENST00000531828_90_90;0.775;0.873;0.758;0.776;0.0;0.735;0.794;0.977;0.05;0.977;0.044;0.0;0.0;0.161;0.047;0.203;1.0;0.191;0.0;0.027;0.226;0.775;0.893;0.0;0.873;0.793;0.834;0.758;0.735
ENST00000532975_90_90;0.149;0.175;0.151;0.149;0.0;0.147;0.152;0.196;0.127;0.196;0.117;0.0;0.0;0.646;0.108;0.642;0.191;1.0;0.0;0.119;0.0;0.149;0.171;0.0;0.175;0.152;0.167;0.151;0.147
ENST00000533884_90_90;0.077;0.105;0.078;0.077;0.0;0.076;0.078;0.0;0.0;0.0;0.267;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.077;0.103;0.0;0.105;0.078;0.086;0.078;0.076
ENST00000534040_90_90;0.021;0.025;0.021;0.021;0.0;0.021;0.022;0.027;0.277;0.027;0.072;0.0;0.0;0.137;0.23;0.0;0.027;0.119;0.0;1.0;0.0;0.021;0.024;0.0;0.025;0.022;0.023;0.021;0.021
ENST00000625138_90_90;0.175;0.206;0.178;0.175;0.0;0.173;0.179;0.231;0.0;0.231;0.0;0.0;0.0;0.0;0.0;0.0;0.226;0.0;0.0;0.0;1.0;0.175;0.202;0.0;0.206;0.179;0.197;0.178;0.173
ENSMUST00000030288_90_90;0.999;0.828;0.981;0.998;0.104;0.952;0.975;0.758;0.039;0.758;0.266;0.09;0.077;0.124;0.036;0.157;0.775;0.149;0.077;0.021;0.175;1.0;0.846;0.091;0.828;0.977;0.858;0.982;0.953
ENSMUST00000084366_90_90;0.846;0.98;0.828;0.845;0.0;0.803;0.865;0.873;0.045;0.873;0.122;0.0;0.103;0.143;0.041;0.181;0.893;0.171;0.103;0.024;0.202;0.846;1.0;0.0;0.98;0.865;0.91;0.828;0.803
ENSMUST00000159545_90_90;0.091;0.0;0.093;0.091;0.419;0.09;0.068;0.0;0.0;0.0;0.335;0.914;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.091;0.0;1.0;0.0;0.068;0.018;0.093;0.09
ENSMUST00000160271_90_90;0.828;1.0;0.843;0.828;0.0;0.817;0.848;0.891;0.025;0.891;0.124;0.0;0.105;0.124;0.022;0.185;0.873;0.175;0.105;0.025;0.206;0.828;0.98;0.0;1.0;0.848;0.928;0.843;0.817
ENSMUST00000160774_90_90;0.976;0.848;0.958;0.975;0.082;0.929;0.998;0.776;0.04;0.776;0.243;0.067;0.078;0.127;0.037;0.161;0.793;0.152;0.078;0.022;0.179;0.977;0.865;0.068;0.848;1.0;0.878;0.959;0.93
ENSMUST00000161363_90_90;0.858;0.928;0.873;0.858;0.0;0.846;0.878;0.851;0.024;0.851;0.159;0.018;0.086;0.118;0.021;0.176;0.834;0.167;0.086;0.023;0.197;0.858;0.91;0.018;0.928;0.878;1.0;0.873;0.846
ENSMUST00000162787_90_90;0.981;0.843;0.999;0.981;0.106;0.968;0.958;0.772;0.022;0.772;0.271;0.092;0.078;0.107;0.019;0.16;0.758;0.151;0.078;0.021;0.178;0.982;0.828;0.093;0.843;0.959;0.873;1.0;0.969
ENSMUST00000194478_90_90;0.952;0.817;0.968;0.952;0.103;0.999;0.929;0.748;0.021;0.748;0.262;0.089;0.076;0.104;0.018;0.155;0.735;0.147;0.076;0.021;0.173;0.953;0.803;0.09;0.817;0.93;0.846;0.969;1.0
