;ENSCAFT00000011155_90_90;ENST00000355221_90_90;ENST00000359530_90_90;ENST00000396774_90_90;ENST00000519588_90_90;ENST00000520188_90_90;ENST00000521275_90_90;ENST00000522849_90_90;ENST00000524164_90_90;ENST00000524234_90_90;ENSMUST00000044369_90_90;ENSMUST00000192029_90_90;ENSMUST00000192698_90_90;ENSMUST00000192847_90_90;ENSMUST00000194676_90_90
ENSCAFT00000011155_90_90;1.0;0.041;0.041;0.041;0.044;0.0;0.069;0.0;0.076;0.069;0.04;0.0;0.041;0.042;0.063
ENST00000355221_90_90;0.041;1.0;0.963;0.963;0.077;0.88;0.219;0.131;0.103;0.218;0.955;0.166;0.991;0.868;0.296
ENST00000359530_90_90;0.041;0.963;1.0;1.0;0.075;0.917;0.211;0.168;0.099;0.21;0.992;0.159;0.955;0.905;0.285
ENST00000396774_90_90;0.041;0.963;1.0;1.0;0.075;0.917;0.211;0.168;0.099;0.21;0.992;0.159;0.955;0.905;0.285
ENST00000519588_90_90;0.044;0.077;0.075;0.075;1.0;0.03;0.353;0.0;0.392;0.355;0.075;0.141;0.077;0.082;0.257
ENST00000520188_90_90;0.0;0.88;0.917;0.917;0.03;1.0;0.128;0.183;0.017;0.127;0.917;0.174;0.88;0.83;0.207
ENST00000521275_90_90;0.069;0.219;0.211;0.211;0.353;0.128;1.0;0.0;0.471;0.993;0.206;0.53;0.214;0.226;0.704
ENST00000522849_90_90;0.0;0.131;0.168;0.168;0.0;0.183;0.0;1.0;0.0;0.0;0.168;0.038;0.131;0.184;0.147
ENST00000524164_90_90;0.076;0.103;0.099;0.099;0.392;0.017;0.471;0.0;1.0;0.474;0.095;0.068;0.099;0.104;0.324
ENST00000524234_90_90;0.069;0.218;0.21;0.21;0.355;0.127;0.993;0.0;0.474;1.0;0.205;0.524;0.213;0.224;0.7
ENSMUST00000044369_90_90;0.04;0.955;0.992;0.992;0.075;0.917;0.206;0.168;0.095;0.205;1.0;0.159;0.963;0.913;0.29
ENSMUST00000192029_90_90;0.0;0.166;0.159;0.159;0.141;0.174;0.53;0.038;0.068;0.524;0.159;1.0;0.166;0.175;0.55
ENSMUST00000192698_90_90;0.041;0.991;0.955;0.955;0.077;0.88;0.214;0.131;0.099;0.213;0.963;0.166;1.0;0.876;0.301
ENSMUST00000192847_90_90;0.042;0.868;0.905;0.905;0.082;0.83;0.226;0.184;0.104;0.224;0.913;0.175;0.876;1.0;0.317
ENSMUST00000194676_90_90;0.063;0.296;0.285;0.285;0.257;0.207;0.704;0.147;0.324;0.7;0.29;0.55;0.301;0.317;1.0
