;ENSCAFT00000017221_90_90;ENSCAFT00000027149_90_90;ENST00000256062_90_90;ENST00000539277_90_90;ENST00000550354_90_90;ENST00000551659_90_90;ENST00000552618_90_90;ENST00000373701_90_90;ENST00000373719_90_90;ENST00000444774_90_90;ENSMUST00000060095_90_90;ENSMUST00000100772_90_90;ENSMUST00000140797_90_90;ENSMUST00000203991_90_90;ENSMUST00000044475_90_90;ENSMUST00000119299_90_90
ENSCAFT00000017221_90_90;1.0;0.466;0.233;0.212;0.054;0.223;0.213;0.472;0.465;0.122;0.242;0.224;0.22;0.092;0.465;0.472
ENSCAFT00000027149_90_90;0.466;1.0;0.389;0.39;0.058;0.409;0.398;0.958;0.973;0.162;0.405;0.381;0.326;0.14;0.977;0.962
ENST00000256062_90_90;0.233;0.389;1.0;0.874;0.115;0.808;0.78;0.393;0.389;0.172;0.746;0.736;0.48;0.239;0.389;0.393
ENST00000539277_90_90;0.212;0.39;0.874;1.0;0.101;0.925;0.897;0.38;0.391;0.169;0.748;0.74;0.459;0.24;0.391;0.38
ENST00000550354_90_90;0.054;0.058;0.115;0.101;1.0;0.093;0.065;0.058;0.058;0.0;0.095;0.067;0.151;0.0;0.058;0.058
ENST00000551659_90_90;0.223;0.409;0.808;0.925;0.093;1.0;0.972;0.4;0.411;0.17;0.818;0.809;0.53;0.223;0.411;0.4
ENST00000552618_90_90;0.213;0.398;0.78;0.897;0.065;0.972;1.0;0.388;0.399;0.175;0.805;0.832;0.514;0.229;0.399;0.388
ENST00000373701_90_90;0.472;0.958;0.393;0.38;0.058;0.4;0.388;1.0;0.984;0.153;0.423;0.399;0.312;0.126;0.98;0.996
ENST00000373719_90_90;0.465;0.973;0.389;0.391;0.058;0.411;0.399;0.984;1.0;0.162;0.419;0.396;0.32;0.135;0.996;0.98
ENST00000444774_90_90;0.122;0.162;0.172;0.169;0.0;0.17;0.175;0.153;0.162;1.0;0.166;0.171;0.277;0.609;0.162;0.153
ENSMUST00000060095_90_90;0.242;0.405;0.746;0.748;0.095;0.818;0.805;0.423;0.419;0.166;1.0;0.965;0.552;0.212;0.418;0.42
ENSMUST00000100772_90_90;0.224;0.381;0.736;0.74;0.067;0.809;0.832;0.399;0.396;0.171;0.965;1.0;0.518;0.22;0.394;0.396
ENSMUST00000140797_90_90;0.22;0.326;0.48;0.459;0.151;0.53;0.514;0.312;0.32;0.277;0.552;0.518;1.0;0.367;0.323;0.315
ENSMUST00000203991_90_90;0.092;0.14;0.239;0.24;0.0;0.223;0.229;0.126;0.135;0.609;0.212;0.22;0.367;1.0;0.138;0.128
ENSMUST00000044475_90_90;0.465;0.977;0.389;0.391;0.058;0.411;0.399;0.98;0.996;0.162;0.418;0.394;0.323;0.138;1.0;0.984
ENSMUST00000119299_90_90;0.472;0.962;0.393;0.38;0.058;0.4;0.388;0.996;0.98;0.153;0.42;0.396;0.315;0.128;0.984;1.0
