;ENSCAFT00000004512_90_90;ENST00000344157_90_90;ENST00000355665_90_90;ENST00000505251_90_90;ENST00000507529_90_90;ENST00000510746_90_90;ENST00000579690_90_90;ENSMUST00000038384_90_90;ENSMUST00000119339_90_90;ENSMUST00000120498_90_90;ENSMUST00000156363_90_90
ENSCAFT00000004512_90_90;1.0;0.941;0.882;0.118;0.059;0.059;1.0;0.889;0.778;0.833;0.667
ENST00000344157_90_90;0.941;1.0;0.947;0.105;0.05;0.053;0.905;0.85;0.889;0.944;0.667
ENST00000355665_90_90;0.882;0.947;1.0;0.111;0.053;0.056;0.857;0.8;0.941;0.889;0.706
ENST00000505251_90_90;0.118;0.105;0.111;1.0;0.0;0.5;0.095;0.105;0.125;0.118;0.167
ENST00000507529_90_90;0.059;0.05;0.053;0.0;1.0;0.0;0.045;0.053;0.062;0.059;0.0
ENST00000510746_90_90;0.059;0.053;0.056;0.5;0.0;1.0;0.048;0.053;0.062;0.059;0.083
ENST00000579690_90_90;1.0;0.905;0.857;0.095;0.045;0.048;1.0;0.95;0.8;0.85;0.6
ENSMUST00000038384_90_90;0.889;0.85;0.8;0.105;0.053;0.053;0.95;1.0;0.857;0.905;0.48
ENSMUST00000119339_90_90;0.778;0.889;0.941;0.125;0.062;0.062;0.8;0.857;1.0;0.947;0.545
ENSMUST00000120498_90_90;0.833;0.944;0.889;0.118;0.059;0.059;0.85;0.905;0.947;1.0;0.522
ENSMUST00000156363_90_90;0.667;0.667;0.706;0.167;0.0;0.083;0.6;0.48;0.545;0.522;1.0
