;ENSCAFT00000009247_90_90;ENST00000297737_90_90;ENST00000315769_90_90;ENST00000519406_90_90;ENST00000522623_90_90;ENST00000523188_90_90;ENST00000523542_90_90;ENSMUST00000042352_90_90;ENSMUST00000123412_90_90;ENSMUST00000131410_90_90;ENSMUST00000135747_90_90;ENSMUST00000207301_90_90
ENSCAFT00000009247_90_90;;0.676;0.504;0.532;0.0;0.123;0.0;0.867;0.806;0.401;0.301;0.585
ENST00000297737_90_90;0.676;;;;;;;0.676;0.613;0.229;0.081;0.683
ENST00000315769_90_90;0.504;;;;;;;0.504;0.441;0.284;0.098;0.475
ENST00000519406_90_90;0.532;;;;;;;0.532;0.562;0.27;0.094;0.478
ENST00000522623_90_90;0.0;;;;;;;0.0;0.0;0.0;0.0;0.0
ENST00000523188_90_90;0.123;;;;;;;0.116;0.125;0.197;0.325;0.0
ENST00000523542_90_90;0.0;;;;;;;0.0;0.0;0.0;0.0;0.0
ENSMUST00000042352_90_90;0.867;0.676;0.504;0.532;0.0;0.116;0.0;;;;;
ENSMUST00000123412_90_90;0.806;0.613;0.441;0.562;0.0;0.125;0.0;;;;;
ENSMUST00000131410_90_90;0.401;0.229;0.284;0.27;0.0;0.197;0.0;;;;;
ENSMUST00000135747_90_90;0.301;0.081;0.098;0.094;0.0;0.325;0.0;;;;;
ENSMUST00000207301_90_90;0.585;0.683;0.475;0.478;0.0;0.0;0.0;;;;;
