;ENSCAFT00000029482_90_90;ENST00000237247_90_90;ENST00000371037_90_90;ENST00000371039_90_90;ENST00000424320_90_90;ENST00000435165_90_90;ENSMUST00000066824_90_90;ENSMUST00000072481_90_90;ENSMUST00000080728_90_90;ENSMUST00000106882_90_90;ENSMUST00000149547_90_90;ENSMUST00000156596_90_90;ENSMUST00000183855_90_90
ENSCAFT00000029482_90_90;1.0;0.769;0.76;0.52;0.348;0.13;0.583;0.542;0.708;0.75;0.4;0.091;0.318
ENST00000237247_90_90;0.769;1.0;0.769;0.538;0.269;0.077;0.538;0.5;0.654;0.692;0.37;0.083;0.24
ENST00000371037_90_90;0.76;0.769;1.0;0.583;0.409;0.083;0.652;0.609;0.64;0.68;0.4;0.091;0.261
ENST00000371039_90_90;0.52;0.538;0.583;1.0;0.389;0.053;0.6;0.632;0.522;0.5;0.526;0.125;0.278
ENST00000424320_90_90;0.348;0.269;0.409;0.389;1.0;0.0;0.471;0.5;0.4;0.381;0.222;0.222;0.6
ENST00000435165_90_90;0.13;0.077;0.083;0.053;0.0;1.0;0.111;0.056;0.045;0.091;0.214;0.0;0.0
ENSMUST00000066824_90_90;0.583;0.538;0.652;0.6;0.471;0.111;1.0;0.938;0.75;0.8;0.611;0.125;0.353
ENSMUST00000072481_90_90;0.542;0.5;0.609;0.632;0.5;0.056;0.938;1.0;0.789;0.75;0.556;0.133;0.375
ENSMUST00000080728_90_90;0.708;0.654;0.64;0.522;0.4;0.045;0.75;0.789;1.0;0.95;0.455;0.105;0.368
ENSMUST00000106882_90_90;0.75;0.692;0.68;0.5;0.381;0.091;0.8;0.75;0.95;1.0;0.5;0.1;0.35
ENSMUST00000149547_90_90;0.4;0.37;0.4;0.526;0.222;0.214;0.611;0.556;0.455;0.5;1.0;0.0;0.111
ENSMUST00000156596_90_90;0.091;0.083;0.091;0.125;0.222;0.0;0.125;0.133;0.105;0.1;0.0;1.0;0.286
ENSMUST00000183855_90_90;0.318;0.24;0.261;0.278;0.6;0.0;0.353;0.375;0.368;0.35;0.111;0.286;1.0
