id_transcript;blocks
transcript7_ENSMSIG00000000513;0|1|2|3|4|5|6|7|8|9|10|11|12|13|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80
transcript38_ENSMSIG00000000513;0|1|2|3|4|5|6|7|8|9|10|11|12|13|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|57|58|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80
transcript52_ENSMSIG00000000513;0|1|2|3|4|5|6|7|8|9|10|11|12|13|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80
transcript58_ENSMSIG00000000513;0|1|2|3|4|5|6|7|8|9|10|11|12|13|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80
transcript38_MGP-SPRETEiJ-G0021131;0|1|2|3|4|26|27|28|29|30|31|32|33|34|35|36|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|60|61|62
transcript52_MGP-SPRETEiJ-G0021131;0|1|2|3|4|26|27|28|29|30|31|32|33|34|35|36|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|60|61|62
transcript63_MGP-SPRETEiJ-G0021131;0|1|2|3|4|27|28|29|30|31|32|33|34|35|36|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|60|61|62
transcript38_ENSMUSG00000054036;0|1|2|3|4|5|6|7|8|9|10|11|12|13|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77
transcript54_ENSMUSG00000054036;0|1|2|3|4|5|6|7|8|9|10|11|12|13|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77
transcript55_ENSMUSG00000054036;0|1|2|3|4|5|6|7|8|9|10|11|12|13|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77
transcript58_ENSMUSG00000054036;27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77
transcript8_MGP-CAROLIEiJ-G0020234;0|1|2|3|4|5|6|7|9|10|11|12|13|26|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|51|53|54|55|56|60|61|62|63|64|65|66|68|69|70|71|72|73|74|75|76|77|78|79|80
transcript47_MGP-CAROLIEiJ-G0020234;0|1|2|3|4|5|6|7|9|10|11|12|13|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|51|53|54|55|56|60|61|62|63|64|65|66|68|69|70|71|72|73|74|75|76|77|78|79|80
transcript39_MGP-PahariEiJ-G0020237;0|1|2|3|4|5|6|7|8|9|11|12|13|15|16|17|18|19|20|21|22|23|24|25|27|28|29|30|31|32|34|35|36|37|38|39|40|41|42|43|44|45|47|49|50|51|52|53|54|55|56|57|58|60|61|62|63|64|65|67|68|69|70|71|72|73|74|75|77|78|79|80
transcript8_ENSRNOG00000031503;0|2|4|5|7|8|9|10|11|13|14|15|17|19|21|23|25|27|29|31|32|33|34|36|37|38|40|41|43|45|46|47|48|49|50|51|52|54|56|57|58|61|62|63|64|67|68|70|72|74|76|77|78|80
transcript31_ENSRNOG00000031503;0|2|4|5|7|8|9|10|11|13|14|15|17|19|21|23|25|26|27|29|31|32|33|34|36|37|38|40|41|43|45|46|47|48|49|50|51|52|54|56|57|58|60|61|62|63|64|67|68|70|72|74|76|77|78|80
transcript32_ENSRNOG00000031503;0|2|4|5|7|8|9|10|11|13|14|15|17|19|21|23|25|26|27|29|31|32|33|34|36|37|38|40|41|43|45|46|47|48|49|50|51|52|54|56|57|58|60|61|62|63|64|67|68|70|72|74|76|77|78|80
transcript39_ENSRNOG00000031503;0|2|4|5|7|8|9|10|11|13|14|15|17|19|21|23|25|27|29|31|32|33|34|36|37|38|40|41|43|45|46|47|48|49|50|51|52|54|56|57|58|60|61|62|63|64|67|68|70|72|74|76|77|78|80
