;transcript7_ENSMSIG00000000513;transcript38_ENSMSIG00000000513;transcript52_ENSMSIG00000000513;transcript58_ENSMSIG00000000513;transcript38_MGP-SPRETEiJ-G0021131;transcript52_MGP-SPRETEiJ-G0021131;transcript63_MGP-SPRETEiJ-G0021131;transcript38_ENSMUSG00000054036;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript58_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript47_MGP-CAROLIEiJ-G0020234;transcript39_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript31_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript39_ENSRNOG00000031503;transcript50_ENSRNOG00000031503;transcript12_ENSMUGG00000013649;transcript32_ENSMUGG00000013649;transcript50_ENSMUGG00000013649;transcript32_ENSMUGG00000013592
transcript7_ENSMSIG00000000513;1.0;0.939;0.943;0.943;0.372;0.373;0.349;0.795;0.773;0.77;0.573;0.806;0.833;0.637;0.597;0.616;0.616;0.591;0.618;0.66;0.646;0.66;0.642
transcript38_ENSMSIG00000000513;0.939;1.0;0.996;0.996;0.509;0.344;0.494;0.871;0.822;0.85;0.625;0.719;0.752;0.719;0.669;0.699;0.699;0.677;0.677;0.705;0.724;0.705;0.72
transcript52_ENSMSIG00000000513;0.943;0.996;1.0;1.0;0.41;0.412;0.389;0.846;0.824;0.821;0.627;0.865;0.884;0.677;0.622;0.655;0.655;0.631;0.657;0.664;0.685;0.664;0.68
transcript58_ENSMSIG00000000513;0.943;0.996;1.0;1.0;0.41;0.412;0.389;0.846;0.824;0.821;0.627;0.865;0.884;0.677;0.622;0.655;0.655;0.631;0.657;0.664;0.685;0.664;0.68
transcript38_MGP-SPRETEiJ-G0021131;0.372;0.509;0.41;0.41;1.0;0.775;1.0;0.678;0.591;0.655;0.605;0.437;0.503;0.645;0.597;0.634;0.634;0.607;0.607;0.631;0.654;0.631;0.651
transcript52_MGP-SPRETEiJ-G0021131;0.373;0.344;0.412;0.412;0.775;1.0;0.766;0.525;0.593;0.502;0.607;0.525;0.591;0.491;0.446;0.483;0.483;0.456;0.497;0.484;0.507;0.484;0.505
transcript63_MGP-SPRETEiJ-G0021131;0.349;0.494;0.389;0.389;1.0;0.766;1.0;0.669;0.606;0.669;0.622;0.419;0.49;0.645;0.614;0.624;0.624;0.624;0.597;0.621;0.644;0.621;0.642
transcript38_ENSMUSG00000054036;0.795;0.871;0.846;0.846;0.678;0.525;0.669;1.0;0.976;0.981;0.804;0.8;0.821;0.821;0.758;0.786;0.786;0.765;0.765;0.807;0.825;0.807;0.823
transcript54_ENSMUSG00000054036;0.773;0.822;0.824;0.824;0.591;0.593;0.606;0.976;1.0;0.998;0.825;0.917;0.927;0.795;0.742;0.738;0.738;0.751;0.739;0.762;0.782;0.762;0.78
transcript55_ENSMUSG00000054036;0.77;0.85;0.821;0.821;0.655;0.502;0.669;0.981;0.998;1.0;0.823;0.779;0.802;0.821;0.774;0.769;0.769;0.781;0.749;0.791;0.809;0.791;0.807
transcript58_ENSMUSG00000054036;0.573;0.625;0.627;0.627;0.605;0.607;0.622;0.804;0.825;0.823;1.0;0.729;0.765;0.647;0.608;0.606;0.606;0.617;0.607;0.616;0.637;0.616;0.635
transcript8_MGP-CAROLIEiJ-G0020234;0.806;0.719;0.865;0.865;0.437;0.525;0.419;0.8;0.917;0.779;0.729;1.0;1.0;0.689;0.625;0.656;0.656;0.634;0.671;0.68;0.699;0.68;0.695
transcript47_MGP-CAROLIEiJ-G0020234;0.833;0.752;0.884;0.884;0.503;0.591;0.49;0.821;0.927;0.802;0.765;1.0;1.0;0.718;0.655;0.683;0.683;0.662;0.697;0.709;0.727;0.709;0.723
transcript39_MGP-PahariEiJ-G0020237;0.637;0.719;0.677;0.677;0.645;0.491;0.645;0.821;0.795;0.821;0.647;0.689;0.718;1.0;0.932;0.94;0.94;0.94;0.92;0.982;1.0;0.982;1.0
transcript8_ENSRNOG00000031503;0.597;0.669;0.622;0.622;0.597;0.446;0.614;0.758;0.742;0.774;0.608;0.625;0.655;0.932;1.0;0.972;0.972;0.992;0.951;0.91;0.913;0.91;0.908
transcript31_ENSRNOG00000031503;0.616;0.699;0.655;0.655;0.634;0.483;0.624;0.786;0.738;0.769;0.606;0.656;0.683;0.94;0.972;1.0;1.0;0.979;0.979;0.923;0.939;0.923;0.935
transcript32_ENSRNOG00000031503;0.616;0.699;0.655;0.655;0.634;0.483;0.624;0.786;0.738;0.769;0.606;0.656;0.683;0.94;0.972;1.0;1.0;0.979;0.979;0.923;0.939;0.923;0.935
transcript39_ENSRNOG00000031503;0.591;0.677;0.631;0.631;0.607;0.456;0.624;0.765;0.751;0.781;0.617;0.634;0.662;0.94;0.992;0.979;0.979;1.0;0.959;0.903;0.92;0.903;0.916
transcript50_ENSRNOG00000031503;0.618;0.677;0.657;0.657;0.607;0.497;0.597;0.765;0.739;0.749;0.607;0.671;0.697;0.92;0.951;0.979;0.979;0.959;1.0;0.903;0.92;0.903;0.916
transcript12_ENSMUGG00000013649;0.66;0.705;0.664;0.664;0.631;0.484;0.621;0.807;0.762;0.791;0.616;0.68;0.709;0.982;0.91;0.923;0.923;0.903;0.903;1.0;0.983;1.0;0.978
transcript32_ENSMUGG00000013649;0.646;0.724;0.685;0.685;0.654;0.507;0.644;0.825;0.782;0.809;0.637;0.699;0.727;1.0;0.913;0.939;0.939;0.92;0.92;0.983;1.0;0.983;0.995
transcript50_ENSMUGG00000013649;0.66;0.705;0.664;0.664;0.631;0.484;0.621;0.807;0.762;0.791;0.616;0.68;0.709;0.982;0.91;0.923;0.923;0.903;0.903;1.0;0.983;1.0;0.978
transcript32_ENSMUGG00000013592;0.642;0.72;0.68;0.68;0.651;0.505;0.642;0.823;0.78;0.807;0.635;0.695;0.723;1.0;0.908;0.935;0.935;0.916;0.916;0.978;0.995;0.978;1.0
