;ENSCAFT00000030383_90_90;ENST00000392476_90_90;ENST00000430767_90_90;ENST00000431431_90_90;ENST00000436233_90_90;ENST00000443798_90_90;ENST00000561721_90_90;ENST00000585618_90_90;ENST00000586429_90_90;ENST00000587820_90_90;ENST00000588488_90_90;ENST00000588616_90_90;ENST00000588880_90_90;ENST00000589202_90_90;ENST00000589827_90_90;ENST00000590483_90_90;ENST00000591437_90_90;ENST00000591786_90_90;ENSMUST00000021177_90_90;ENSMUST00000090433_90_90;ENSMUST00000103026_90_90
ENSCAFT00000030383_90_90;1.0;1.0;0.976;0.873;0.976;1.0;0.029;0.976;0.169;0.142;0.122;0.26;0.051;0.243;0.689;0.198;0.873;0.198;1.0;0.978;0.978
ENST00000392476_90_90;1.0;1.0;0.963;0.869;0.963;1.0;0.027;0.963;0.157;0.132;0.117;0.242;0.046;0.253;0.684;0.177;0.869;0.182;1.0;0.958;0.976
ENST00000430767_90_90;0.976;0.963;1.0;0.904;1.0;0.963;0.028;1.0;0.157;0.132;0.118;0.243;0.046;0.254;0.686;0.177;0.904;0.183;0.958;1.0;0.978
ENST00000431431_90_90;0.873;0.869;0.904;1.0;0.904;0.869;0.0;0.904;0.061;0.036;0.128;0.272;0.0;0.285;0.591;0.165;1.0;0.088;0.857;0.896;0.875
ENST00000436233_90_90;0.976;0.963;1.0;0.904;1.0;0.963;0.028;1.0;0.157;0.132;0.118;0.243;0.046;0.254;0.686;0.177;0.904;0.183;0.958;1.0;0.978
ENST00000443798_90_90;1.0;1.0;0.963;0.869;0.963;1.0;0.027;0.963;0.157;0.132;0.117;0.242;0.046;0.253;0.684;0.177;0.869;0.182;1.0;0.958;0.976
ENST00000561721_90_90;0.029;0.027;0.028;0.0;0.028;0.027;1.0;0.028;0.182;0.216;0.0;0.0;0.707;0.0;0.04;0.0;0.0;0.156;0.03;0.03;0.031
ENST00000585618_90_90;0.976;0.963;1.0;0.904;1.0;0.963;0.028;1.0;0.157;0.132;0.118;0.243;0.046;0.254;0.686;0.177;0.904;0.183;0.958;1.0;0.978
ENST00000586429_90_90;0.169;0.157;0.157;0.061;0.157;0.157;0.182;0.157;1.0;0.841;0.0;0.188;0.275;0.0;0.222;0.364;0.061;0.856;0.169;0.17;0.174
ENST00000587820_90_90;0.142;0.132;0.132;0.036;0.132;0.132;0.216;0.132;0.841;1.0;0.0;0.116;0.327;0.0;0.186;0.27;0.036;0.72;0.142;0.143;0.146
ENST00000588488_90_90;0.122;0.117;0.118;0.128;0.118;0.117;0.0;0.118;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.128;0.0;0.122;0.122;0.124
ENST00000588616_90_90;0.26;0.242;0.243;0.272;0.243;0.242;0.0;0.243;0.188;0.116;0.0;1.0;0.0;0.19;0.351;0.513;0.272;0.264;0.26;0.261;0.267
ENST00000588880_90_90;0.051;0.046;0.046;0.0;0.046;0.046;0.707;0.046;0.275;0.327;0.0;0.0;1.0;0.0;0.065;0.0;0.0;0.235;0.051;0.051;0.052
ENST00000589202_90_90;0.243;0.253;0.254;0.285;0.254;0.253;0.0;0.254;0.0;0.0;0.0;0.19;0.0;1.0;0.354;0.034;0.285;0.0;0.223;0.224;0.229
ENST00000589827_90_90;0.689;0.684;0.686;0.591;0.686;0.684;0.04;0.686;0.222;0.186;0.0;0.351;0.065;0.354;1.0;0.25;0.591;0.26;0.669;0.67;0.685
ENST00000590483_90_90;0.198;0.177;0.177;0.165;0.177;0.177;0.0;0.177;0.364;0.27;0.0;0.513;0.0;0.034;0.25;1.0;0.165;0.464;0.198;0.198;0.203
ENST00000591437_90_90;0.873;0.869;0.904;1.0;0.904;0.869;0.0;0.904;0.061;0.036;0.128;0.272;0.0;0.285;0.591;0.165;1.0;0.088;0.857;0.896;0.875
ENST00000591786_90_90;0.198;0.182;0.183;0.088;0.183;0.182;0.156;0.183;0.856;0.72;0.0;0.264;0.235;0.0;0.26;0.464;0.088;1.0;0.198;0.198;0.204
ENSMUST00000021177_90_90;1.0;1.0;0.958;0.857;0.958;1.0;0.03;0.958;0.169;0.142;0.122;0.26;0.051;0.223;0.669;0.198;0.857;0.198;1.0;0.963;0.962
ENSMUST00000090433_90_90;0.978;0.958;1.0;0.896;1.0;0.958;0.03;1.0;0.17;0.143;0.122;0.261;0.051;0.224;0.67;0.198;0.896;0.198;0.963;1.0;0.965
ENSMUST00000103026_90_90;0.978;0.976;0.978;0.875;0.978;0.976;0.031;0.978;0.174;0.146;0.124;0.267;0.052;0.229;0.685;0.203;0.875;0.204;0.962;0.965;1.0
