;transcript8_ENSHGLG00100003156;transcript10_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript10_ENSHGLG00000019563;transcript11_ENSHGLG00000019563;transcript13_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript7_ENSHGLG00100006079;transcript10_ENSHGLG00100006079;transcript3_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript8_ENSPCIG00000036398;transcript15_ENSPCIG00000036398;transcript18_ENSPCIG00000036398;transcript3_ENSMUNG00000007775;transcript8_ENSMUNG00000002377;transcript15_ENSMUNG00000002377;transcript16_ENSMUNG00000002377;transcript22_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript3_ENSMUNG00000002391;transcript10_ENSMUNG00000002391
transcript8_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.977;0.977;0.501;0.92;0.92;0.501;0.92;0.563;0.553;0.553;0.553;0.553;0.553;0.563;0.563
transcript10_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.977;0.977;0.501;0.92;0.92;0.501;0.92;0.563;0.553;0.553;0.553;0.553;0.553;0.563;0.563
transcript20_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.977;0.977;0.501;0.92;0.92;0.501;0.92;0.563;0.553;0.553;0.553;0.553;0.553;0.563;0.563
transcript8_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.977;0.977;0.4;0.92;0.92;0.4;0.92;0.454;0.445;0.445;0.48;0.445;0.445;0.454;0.454
transcript10_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.977;0.977;0.4;0.92;0.92;0.4;0.92;0.454;0.445;0.445;0.48;0.445;0.445;0.454;0.454
transcript11_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.982;1.0;1.0;0.344;1.0;1.0;0.344;1.0;0.344;0.344;0.344;0.377;0.344;0.344;0.344;0.344
transcript13_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.977;0.977;0.4;0.92;0.92;0.4;0.92;0.454;0.445;0.445;0.48;0.445;0.445;0.454;0.454
transcript26_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.977;1.0;1.0;0.29;1.0;1.0;0.29;1.0;0.29;0.29;0.29;0.32;0.29;0.29;0.29;0.29
transcript27_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.982;1.0;1.0;0.344;1.0;1.0;0.344;1.0;0.344;0.344;0.344;0.377;0.344;0.344;0.344;0.344
transcript28_ENSHGLG00000019563;0.989;0.989;0.989;0.989;0.989;0.982;0.989;0.977;0.982;1.0;0.965;0.965;0.395;0.908;0.908;0.395;0.908;0.448;0.44;0.44;0.475;0.44;0.44;0.449;0.449
transcript7_ENSHGLG00100006079;0.977;0.977;0.977;0.977;0.977;1.0;0.977;1.0;1.0;0.965;1.0;1.0;0.565;0.922;0.922;0.565;0.922;0.617;0.609;0.614;0.614;0.614;0.614;0.618;0.618
transcript10_ENSHGLG00100006079;0.977;0.977;0.977;0.977;0.977;1.0;0.977;1.0;1.0;0.965;1.0;1.0;0.565;0.922;0.922;0.565;0.922;0.617;0.609;0.614;0.614;0.614;0.614;0.618;0.618
transcript3_ENSPCIG00000036398;0.501;0.501;0.501;0.4;0.4;0.344;0.4;0.29;0.344;0.395;0.565;0.565;1.0;0.35;0.35;0.95;0.35;0.977;0.973;0.97;0.92;0.913;0.877;0.977;0.977
transcript7_ENSPCIG00000036398;0.92;0.92;0.92;0.92;0.92;1.0;0.92;1.0;1.0;0.908;0.922;0.922;0.35;1.0;1.0;0.373;1.0;0.339;0.334;0.335;0.346;0.348;0.356;0.34;0.34
transcript8_ENSPCIG00000036398;0.92;0.92;0.92;0.92;0.92;1.0;0.92;1.0;1.0;0.908;0.922;0.922;0.35;1.0;1.0;0.373;1.0;0.339;0.334;0.335;0.346;0.348;0.356;0.34;0.34
transcript15_ENSPCIG00000036398;0.501;0.501;0.501;0.4;0.4;0.344;0.4;0.29;0.344;0.395;0.565;0.565;0.95;0.373;0.373;1.0;0.373;0.928;0.924;0.92;0.868;0.86;0.967;0.928;0.928
