;ENSCAFT00000031307_90_90;ENST00000293872_90_90;ENST00000337351_90_90;ENST00000397780_90_90;ENST00000397783_90_90;ENST00000418978_90_90;ENST00000419516_90_90;ENST00000426094_90_90;ENST00000428363_90_90;ENST00000429378_90_90;ENST00000430864_90_90;ENST00000442701_90_90;ENST00000443357_90_90;ENST00000629543_90_90;ENSMUST00000025023_90_90;ENSMUST00000114976_90_90;ENSMUST00000119928_90_90;ENSMUST00000140427_90_90;ENSMUST00000148894_90_90;ENSMUST00000152107_90_90;ENSMUST00000154235_90_90;ENSMUST00000155151_90_90
ENSCAFT00000031307_90_90;1.0;0.995;0.869;0.73;0.869;0.078;0.078;0.05;0.086;0.457;0.492;0.158;0.226;0.078;0.1;0.148;0.1;0.014;0.046;0.163;0.047;0.0
ENST00000293872_90_90;0.995;1.0;0.874;0.732;0.874;0.08;0.08;0.052;0.086;0.458;0.492;0.159;0.226;0.08;0.1;0.149;0.1;0.013;0.047;0.163;0.048;0.0
ENST00000337351_90_90;0.869;0.874;1.0;0.837;1.0;0.091;0.091;0.059;0.098;0.333;0.562;0.183;0.258;0.091;0.108;0.16;0.108;0.014;0.053;0.18;0.054;0.0
ENST00000397780_90_90;0.73;0.732;0.837;1.0;0.837;0.0;0.0;0.0;0.118;0.388;0.672;0.218;0.309;0.0;0.018;0.072;0.018;0.0;0.0;0.108;0.0;0.0
ENST00000397783_90_90;0.869;0.874;1.0;0.837;1.0;0.091;0.091;0.059;0.098;0.333;0.562;0.183;0.258;0.091;0.108;0.16;0.108;0.014;0.053;0.18;0.054;0.0
ENST00000418978_90_90;0.078;0.08;0.091;0.0;0.091;1.0;1.0;0.265;0.0;0.0;0.0;0.0;0.0;1.0;0.091;0.08;0.091;0.032;0.483;0.053;0.194;0.0
ENST00000419516_90_90;0.078;0.08;0.091;0.0;0.091;1.0;1.0;0.265;0.0;0.0;0.0;0.0;0.0;1.0;0.091;0.08;0.091;0.032;0.483;0.053;0.194;0.0
ENST00000426094_90_90;0.05;0.052;0.059;0.0;0.059;0.265;0.265;1.0;0.0;0.0;0.0;0.0;0.0;0.265;0.059;0.052;0.059;0.0;0.202;0.0;0.592;0.0
ENST00000428363_90_90;0.086;0.086;0.098;0.118;0.098;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.03;0.025;0.03;0.0;0.0;0.052;0.0;0.0
ENST00000429378_90_90;0.457;0.458;0.333;0.388;0.333;0.0;0.0;0.0;0.0;1.0;0.237;0.346;0.124;0.0;0.0;0.055;0.0;0.0;0.0;0.09;0.0;0.0
ENST00000430864_90_90;0.492;0.492;0.562;0.672;0.562;0.0;0.0;0.0;0.0;0.237;1.0;0.013;0.46;0.0;0.0;0.063;0.0;0.0;0.0;0.103;0.0;0.0
ENST00000442701_90_90;0.158;0.159;0.183;0.218;0.183;0.0;0.0;0.0;0.0;0.346;0.013;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000443357_90_90;0.226;0.226;0.258;0.309;0.258;0.0;0.0;0.0;0.0;0.124;0.46;0.0;1.0;0.0;0.0;0.076;0.0;0.0;0.0;0.144;0.0;0.0
ENST00000629543_90_90;0.078;0.08;0.091;0.0;0.091;1.0;1.0;0.265;0.0;0.0;0.0;0.0;0.0;1.0;0.091;0.08;0.091;0.032;0.483;0.053;0.194;0.0
ENSMUST00000025023_90_90;0.1;0.1;0.108;0.018;0.108;0.091;0.091;0.059;0.03;0.0;0.0;0.0;0.0;0.091;1.0;0.874;1.0;0.531;0.159;0.333;0.054;0.212
ENSMUST00000114976_90_90;0.148;0.149;0.16;0.072;0.16;0.08;0.08;0.052;0.025;0.055;0.063;0.0;0.076;0.08;0.874;1.0;0.874;0.465;0.14;0.458;0.048;0.186
ENSMUST00000119928_90_90;0.1;0.1;0.108;0.018;0.108;0.091;0.091;0.059;0.03;0.0;0.0;0.0;0.0;0.091;1.0;0.874;1.0;0.531;0.159;0.333;0.054;0.212
ENSMUST00000140427_90_90;0.014;0.013;0.014;0.0;0.014;0.032;0.032;0.0;0.0;0.0;0.0;0.0;0.0;0.032;0.531;0.465;0.531;1.0;0.0;0.202;0.0;0.175
ENSMUST00000148894_90_90;0.046;0.047;0.053;0.0;0.053;0.483;0.483;0.202;0.0;0.0;0.0;0.0;0.0;0.483;0.159;0.14;0.159;0.0;1.0;0.0;0.158;0.016
ENSMUST00000152107_90_90;0.163;0.163;0.18;0.108;0.18;0.053;0.053;0.0;0.052;0.09;0.103;0.0;0.144;0.053;0.333;0.458;0.333;0.202;0.0;1.0;0.0;0.0
ENSMUST00000154235_90_90;0.047;0.048;0.054;0.0;0.054;0.194;0.194;0.592;0.0;0.0;0.0;0.0;0.0;0.194;0.054;0.048;0.054;0.0;0.158;0.0;1.0;0.0
ENSMUST00000155151_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.212;0.186;0.212;0.175;0.016;0.0;0.0;1.0
