;ENSCAFT00000008028_90_90;ENSCAFT00000008030_90_90;ENST00000293217_90_90;ENST00000301608_90_90;ENST00000572047_90_90;ENST00000573078_90_90;ENST00000576743_90_90;ENST00000587927_90_90;ENST00000588176_90_90;ENST00000588968_90_90;ENST00000589301_90_90;ENSMUST00000066587_90_90;ENSMUST00000072948_90_90;ENSMUST00000148601_90_90
ENSCAFT00000008028_90_90;1.0;0.863;0.847;1.0;0.111;0.31;0.165;0.225;0.327;0.179;0.111;0.83;0.975;0.756
ENSCAFT00000008030_90_90;0.863;1.0;1.0;0.847;0.111;0.31;0.076;0.225;0.225;0.179;0.111;0.975;0.83;0.756
ENST00000293217_90_90;0.847;1.0;1.0;0.859;0.121;0.352;0.069;0.207;0.272;0.162;0.121;0.845;0.717;0.775
ENST00000301608_90_90;1.0;0.847;0.859;1.0;0.121;0.352;0.148;0.207;0.368;0.162;0.121;0.717;0.845;0.775
ENST00000572047_90_90;0.111;0.111;0.121;0.121;1.0;0.204;0.0;0.0;0.238;0.0;1.0;0.16;0.16;0.0
ENST00000573078_90_90;0.31;0.31;0.352;0.352;0.204;1.0;0.35;0.0;0.637;0.0;0.204;0.225;0.225;0.218
ENST00000576743_90_90;0.165;0.076;0.069;0.148;0.0;0.35;1.0;0.0;0.465;0.0;0.0;0.071;0.152;0.085
ENST00000587927_90_90;0.225;0.225;0.207;0.207;0.0;0.0;0.0;1.0;0.0;0.448;0.0;0.207;0.207;0.256
ENST00000588176_90_90;0.327;0.225;0.272;0.368;0.238;0.637;0.465;0.0;1.0;0.0;0.238;0.147;0.231;0.131
ENST00000588968_90_90;0.179;0.179;0.162;0.162;0.0;0.0;0.0;0.448;0.0;1.0;0.0;0.169;0.169;0.204
ENST00000589301_90_90;0.111;0.111;0.121;0.121;1.0;0.204;0.0;0.0;0.238;0.0;1.0;0.16;0.16;0.0
ENSMUST00000066587_90_90;0.83;0.975;0.845;0.717;0.16;0.225;0.071;0.207;0.147;0.169;0.16;1.0;0.869;0.677
ENSMUST00000072948_90_90;0.975;0.83;0.717;0.845;0.16;0.225;0.152;0.207;0.231;0.169;0.16;0.869;1.0;0.677
ENSMUST00000148601_90_90;0.756;0.756;0.775;0.775;0.0;0.218;0.085;0.256;0.131;0.204;0.0;0.677;0.677;1.0
