;ENSCAFT00000015963_90_90;ENST00000285737_90_90;ENST00000416006_90_90;ENST00000535754_90_90;ENST00000565867_90_90;ENST00000566755_90_90;ENST00000570174_90_90;ENSMUST00000034141_90_90;ENSMUST00000121673_90_90;ENSMUST00000122188_90_90;ENSMUST00000155433_90_90;ENSMUST00000163987_90_90
ENSCAFT00000015963_90_90;1.0;0.81;0.636;0.714;0.095;0.263;0.429;0.81;0.35;0.619;0.727;0.35
ENST00000285737_90_90;0.81;1.0;0.636;0.895;0.15;0.263;0.429;0.81;0.421;0.7;0.583;0.421
ENST00000416006_90_90;0.636;0.636;1.0;0.7;0.05;0.158;0.474;0.5;0.25;0.455;0.636;0.25
ENST00000535754_90_90;0.714;0.895;0.7;1.0;0.167;0.158;0.474;0.714;0.471;0.684;0.5;0.471
ENST00000565867_90_90;0.095;0.15;0.05;0.167;1.0;0.0;0.0;0.15;0.333;0.188;0.045;0.333
ENST00000566755_90_90;0.263;0.263;0.158;0.158;0.0;1.0;0.067;0.263;0.0;0.176;0.263;0.0
ENST00000570174_90_90;0.429;0.429;0.474;0.474;0.0;0.067;1.0;0.364;0.118;0.3;0.364;0.118
ENSMUST00000034141_90_90;0.81;0.81;0.5;0.714;0.15;0.263;0.364;1.0;0.421;0.789;0.727;0.421
ENSMUST00000121673_90_90;0.35;0.421;0.25;0.471;0.333;0.0;0.118;0.421;1.0;0.533;0.227;1.0
ENSMUST00000122188_90_90;0.619;0.7;0.455;0.684;0.188;0.176;0.3;0.789;0.533;1.0;0.545;0.533
ENSMUST00000155433_90_90;0.727;0.583;0.636;0.5;0.045;0.263;0.364;0.727;0.227;0.545;1.0;0.227
ENSMUST00000163987_90_90;0.35;0.421;0.25;0.471;0.333;0.0;0.118;0.421;1.0;0.533;0.227;1.0
