;ENSCAFT00000004869_90_90;ENSCAFT00000013439_90_90;ENSCAFT00000037016_90_90;ENSCAFT00000021145_90_90;ENSCAFT00000025193_90_90;ENST00000302271_90_90;ENST00000374612_90_90;ENST00000374616_90_90;ENST00000427764_90_90;ENST00000478691_90_90;ENST00000606561_90_90;ENST00000641107_90_90;ENST00000355238_90_90;ENST00000369622_90_90;ENST00000444272_90_90;ENST00000616122_90_90;ENST00000281722_90_90;ENST00000510397_90_90;ENST00000512640_90_90;ENST00000514866_90_90;ENST00000295971_90_90;ENST00000381793_90_90;ENST00000381795_90_90;ENST00000505220_90_90;ENST00000505414_90_90;ENST00000507180_90_90;ENST00000510871_90_90;ENST00000511598_90_90;ENST00000511902_90_90;ENST00000513473_90_90;ENST00000514014_90_90;ENST00000514782_90_90;ENST00000515053_90_90;ENSMUST00000069221_90_90;ENSMUST00000172508_90_90;ENSMUST00000172828_90_90;ENSMUST00000173405_90_90;ENSMUST00000173801_90_90;ENSMUST00000174269_90_90;ENSMUST00000174282_90_90;ENSMUST00000174361_90_90;ENSMUST00000174391_90_90;ENSMUST00000174688_90_90;ENSMUST00000048647_90_90;ENSMUST00000182637_90_90;ENSMUST00000182818_90_90;ENSMUST00000084219_90_90;ENSMUST00000105850_90_90;ENSMUST00000125696_90_90;ENSMUST00000131671_90_90;ENSMUST00000134524_90_90;ENSMUST00000145282_90_90;ENSMUST00000148843_90_90;ENSMUST00000156259_90_90;ENSMUST00000094756_90_90;ENSMUST00000094757_90_90;ENSMUST00000113724_90_90;ENSMUST00000113726_90_90;ENSMUST00000167950_90_90;ENSMUST00000200775_90_90;ENSMUST00000200852_90_90;ENSMUST00000201544_90_90;ENSMUST00000201561_90_90;ENSMUST00000202700_90_90
ENSCAFT00000004869_90_90;1.0;0.914;0.793;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.414;0.645;0.935;0.0;0.645;0.877;0.754;0.0;0.807;0.942;0.942;0.855;0.188;0.464;0.406;0.768;0.406;0.188;0.493;0.812;0.449;0.536;0.645;0.0;0.0;0.0;0.935;0.645;0.613;0.935;0.645;0.645;0.9;0.614;0.657;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.907;1.0;1.0;1.0;1.0;1.0;0.427;1.0;0.027;0.053
ENSCAFT00000013439_90_90;0.914;1.0;0.721;0.952;0.953;0.986;0.986;1.0;0.946;0.892;0.838;0.257;0.75;0.974;0.197;0.645;0.977;1.0;0.115;0.924;0.894;0.894;0.894;0.289;0.872;0.596;0.894;0.553;0.289;0.894;0.638;0.723;0.894;0.75;0.105;0.066;0.211;0.974;0.737;0.737;0.961;0.645;0.684;0.977;1.0;0.924;0.892;1.0;0.068;0.892;0.27;0.108;1.0;0.081;0.894;0.894;0.894;0.894;0.894;0.894;0.851;0.894;0.048;0.119
ENSCAFT00000037016_90_90;0.793;0.721;1.0;0.889;0.841;0.986;0.986;1.0;0.946;0.892;0.838;0.257;0.724;1.0;0.203;0.618;0.944;0.924;0.111;1.0;0.383;0.383;0.383;0.889;0.391;0.545;0.383;0.581;0.889;0.383;0.128;0.462;0.383;0.724;0.108;0.068;0.216;1.0;0.711;0.733;0.986;0.618;0.658;0.944;0.924;1.0;0.892;1.0;0.068;0.892;0.27;0.108;1.0;0.081;0.383;0.383;0.383;0.383;0.383;0.383;0.4;0.383;0.111;0.278
ENSCAFT00000021145_90_90;1.0;0.952;0.889;1.0;1.0;0.985;0.985;1.0;0.925;0.746;0.672;0.194;0.942;0.971;0.493;0.696;0.933;0.917;0.283;0.95;0.943;0.943;0.829;0.286;0.543;0.4;0.771;0.4;0.286;0.571;0.743;0.486;0.6;0.942;0.217;0.217;0.522;0.971;0.928;0.928;0.957;0.696;0.87;0.943;0.786;0.814;0.746;1.0;0.224;0.746;0.612;0.269;1.0;0.164;0.85;1.0;1.0;1.0;1.0;1.0;0.475;1.0;0.025;0.05
ENSCAFT00000025193_90_90;1.0;0.953;0.841;1.0;1.0;0.99;0.99;1.0;0.961;0.961;0.922;0.291;0.728;1.0;0.194;0.689;0.929;0.949;0.173;0.98;1.0;1.0;1.0;0.4;1.0;0.956;1.0;0.911;0.4;1.0;0.733;1.0;1.0;0.728;0.019;0.136;0.204;1.0;0.718;0.728;0.99;0.689;0.68;0.929;0.949;0.98;0.952;0.99;0.135;0.952;0.24;0.058;0.99;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.044;0.111
ENST00000302271_90_90;1.0;0.986;0.986;0.985;0.99;1.0;1.0;0.987;0.974;0.847;0.832;0.269;0.741;0.993;0.26;0.599;0.986;0.986;0.236;0.986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.74;0.124;0.103;0.269;0.993;0.733;0.74;0.986;0.603;0.717;0.986;0.986;0.986;0.851;0.994;0.098;0.851;0.292;0.15;0.994;0.105;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000374612_90_90;1.0;0.986;0.986;0.985;0.99;1.0;1.0;0.987;0.974;0.847;0.832;0.269;0.741;0.993;0.26;0.599;0.986;0.986;0.236;0.986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.74;0.124;0.103;0.269;0.993;0.733;0.74;0.986;0.603;0.717;0.986;0.986;0.986;0.851;0.994;0.098;0.851;0.292;0.15;0.994;0.105;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000374616_90_90;1.0;1.0;1.0;1.0;1.0;0.987;0.987;1.0;0.962;0.86;0.822;0.266;0.748;1.0;0.259;0.605;1.0;1.0;0.233;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.747;0.123;0.103;0.267;1.0;0.74;0.747;0.993;0.61;0.712;1.0;1.0;1.0;0.857;1.0;0.097;0.857;0.299;0.149;1.0;0.104;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000427764_90_90;1.0;0.946;0.946;0.925;0.961;0.974;0.974;0.962;1.0;0.822;0.854;0.276;0.714;0.966;0.233;0.571;0.945;0.945;0.194;0.945;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.712;0.128;0.083;0.241;0.966;0.705;0.712;0.959;0.575;0.69;0.945;0.945;0.945;0.825;0.968;0.072;0.825;0.266;0.154;0.968;0.107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000478691_90_90;1.0;0.892;0.892;0.746;0.961;0.847;0.847;0.86;0.822;1.0;0.956;0.309;0.605;0.857;0.116;0.706;0.986;0.986;0.219;0.986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.61;0.0;0.119;0.13;0.863;0.603;0.61;0.856;0.706;0.575;0.986;0.986;0.986;1.0;0.857;0.114;1.0;0.156;0.006;0.857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
