;ENSCAFT00000011480_90_90;ENST00000265651_90_90;ENST00000448981_90_90;ENST00000526785_90_90;ENST00000529137_90_90;ENST00000530401_90_90;ENST00000531080_90_90;ENST00000532057_90_90;ENST00000532927_90_90;ENST00000534136_90_90;ENSMUST00000028603_90_90;ENSMUST00000102565_90_90;ENSMUST00000111135_90_90;ENSMUST00000111136_90_90
ENSCAFT00000011480_90_90;1.0;0.667;0.741;0.564;0.164;0.732;0.189;0.189;0.269;0.719;0.977;0.873;0.863;0.766
ENST00000265651_90_90;0.667;1.0;0.873;0.76;0.248;0.863;0.335;0.335;0.365;0.846;0.657;0.741;0.732;0.629
ENST00000448981_90_90;0.741;0.873;1.0;0.634;0.281;0.988;0.211;0.211;0.414;0.956;0.728;0.84;0.831;0.707
ENST00000526785_90_90;0.564;0.76;0.634;1.0;0.013;0.641;0.441;0.441;0.125;0.615;0.555;0.631;0.638;0.512
ENST00000529137_90_90;0.164;0.248;0.281;0.013;1.0;0.269;0.0;0.0;0.657;0.271;0.161;0.184;0.174;0.209
ENST00000530401_90_90;0.732;0.863;0.988;0.641;0.269;1.0;0.214;0.214;0.402;0.944;0.719;0.831;0.84;0.697
ENST00000531080_90_90;0.189;0.335;0.211;0.441;0.0;0.214;1.0;1.0;0.0;0.205;0.186;0.211;0.214;0.093
ENST00000532057_90_90;0.189;0.335;0.211;0.441;0.0;0.214;1.0;1.0;0.0;0.205;0.186;0.211;0.214;0.093
ENST00000532927_90_90;0.269;0.365;0.414;0.125;0.657;0.402;0.0;0.0;1.0;0.4;0.264;0.303;0.292;0.344
ENST00000534136_90_90;0.719;0.846;0.956;0.615;0.271;0.944;0.205;0.205;0.4;1.0;0.707;0.806;0.796;0.684
ENSMUST00000028603_90_90;0.977;0.657;0.728;0.555;0.161;0.719;0.186;0.186;0.264;0.707;1.0;0.857;0.846;0.752
ENSMUST00000102565_90_90;0.873;0.741;0.84;0.631;0.184;0.831;0.211;0.211;0.303;0.806;0.857;1.0;0.988;0.854
ENSMUST00000111135_90_90;0.863;0.732;0.831;0.638;0.174;0.84;0.214;0.214;0.292;0.796;0.846;0.988;1.0;0.842
ENSMUST00000111136_90_90;0.766;0.629;0.707;0.512;0.209;0.697;0.093;0.093;0.344;0.684;0.752;0.854;0.842;1.0
