;ENSCAFT00000013391_90_90;ENST00000338183_90_90;ENST00000437989_90_90;ENST00000562489_90_90;ENST00000562877_90_90;ENST00000563167_90_90;ENST00000564586_90_90;ENST00000566621_90_90;ENST00000566807_90_90;ENST00000567389_90_90;ENST00000569302_90_90;ENSMUST00000110918_90_90;ENSMUST00000166472_90_90
ENSCAFT00000013391_90_90;1.0;0.645;0.991;0.347;0.645;0.141;0.362;0.991;0.432;0.645;0.972;0.995;0.977
ENST00000338183_90_90;0.645;1.0;0.651;0.529;1.0;0.205;0.167;0.651;0.668;1.0;0.638;0.645;0.632
ENST00000437989_90_90;0.991;0.651;1.0;0.348;0.651;0.143;0.362;1.0;0.435;0.651;0.979;0.991;0.97
ENST00000562489_90_90;0.347;0.529;0.348;1.0;0.529;0.329;0.0;0.348;0.207;0.529;0.341;0.347;0.339
ENST00000562877_90_90;0.645;1.0;0.651;0.529;1.0;0.205;0.167;0.651;0.668;1.0;0.638;0.645;0.632
ENST00000563167_90_90;0.141;0.205;0.143;0.329;0.205;1.0;0.006;0.143;0.0;0.205;0.14;0.14;0.137
ENST00000564586_90_90;0.362;0.167;0.362;0.0;0.167;0.006;1.0;0.362;0.222;0.167;0.354;0.362;0.354
ENST00000566621_90_90;0.991;0.651;1.0;0.348;0.651;0.143;0.362;1.0;0.435;0.651;0.979;0.991;0.97
ENST00000566807_90_90;0.432;0.668;0.435;0.207;0.668;0.0;0.222;0.435;1.0;0.668;0.426;0.434;0.425
ENST00000567389_90_90;0.645;1.0;0.651;0.529;1.0;0.205;0.167;0.651;0.668;1.0;0.638;0.645;0.632
ENST00000569302_90_90;0.972;0.638;0.979;0.341;0.638;0.14;0.354;0.979;0.426;0.638;1.0;0.97;0.991
ENSMUST00000110918_90_90;0.995;0.645;0.991;0.347;0.645;0.14;0.362;0.991;0.434;0.645;0.97;1.0;0.979
ENSMUST00000166472_90_90;0.977;0.632;0.97;0.339;0.632;0.137;0.354;0.97;0.425;0.632;0.991;0.979;1.0
