;ENSCAFT00000028998_90_90;ENST00000587805_90_90;ENST00000588116_90_90;ENST00000589774_90_90;ENST00000590432_90_90;ENST00000590538_90_90;ENST00000591610_90_90;ENST00000592167_90_90;ENST00000593014_90_90;ENST00000610402_90_90;ENST00000612035_90_90;ENST00000612116_90_90;ENST00000614600_90_90;ENST00000616681_90_90;ENST00000616784_90_90;ENST00000618940_90_90;ENST00000620039_90_90;ENST00000621668_90_90;ENST00000621914_90_90;ENST00000628168_90_90;ENSMUST00000018875_90_90;ENSMUST00000065692_90_90;ENSMUST00000142680_90_90;ENSMUST00000176430_90_90;ENSMUST00000176523_90_90;ENSMUST00000176944_90_90
ENSCAFT00000028998_90_90;1.0;0.182;0.11;0.133;0.045;0.073;0.073;0.073;0.111;0.907;0.628;0.628;0.628;0.875;0.596;0.907;0.03;0.596;0.875;0.073;0.864;0.846;0.116;0.881;0.832;0.279
ENST00000587805_90_90;0.182;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.174;0.231;0.231;0.231;0.178;0.242;0.174;0.0;0.24;0.18;0.0;0.31;0.293;0.0;0.303;0.32;0.0
ENST00000588116_90_90;0.11;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.112;0.157;0.157;0.157;0.115;0.162;0.112;0.0;0.165;0.114;0.0;0.111;0.113;0.0;0.112;0.116;0.0
ENST00000589774_90_90;0.133;0.0;0.0;1.0;0.48;0.215;0.215;0.215;0.868;0.174;0.246;0.246;0.246;0.141;0.26;0.174;0.281;0.199;0.18;0.215;0.126;0.128;0.067;0.123;0.095;0.487
ENST00000590432_90_90;0.045;0.0;0.0;0.48;1.0;0.35;0.35;0.35;0.551;0.083;0.116;0.116;0.116;0.085;0.123;0.083;0.543;0.122;0.085;0.35;0.043;0.044;0.106;0.043;0.044;0.169
ENST00000590538_90_90;0.073;0.0;0.0;0.215;0.35;1.0;1.0;1.0;0.238;0.047;0.065;0.065;0.065;0.049;0.068;0.047;0.471;0.068;0.049;1.0;0.067;0.069;0.553;0.065;0.069;0.255
ENST00000591610_90_90;0.073;0.0;0.0;0.215;0.35;1.0;1.0;1.0;0.238;0.047;0.065;0.065;0.065;0.049;0.068;0.047;0.471;0.068;0.049;1.0;0.067;0.069;0.553;0.065;0.069;0.255
ENST00000592167_90_90;0.073;0.0;0.0;0.215;0.35;1.0;1.0;1.0;0.238;0.047;0.065;0.065;0.065;0.049;0.068;0.047;0.471;0.068;0.049;1.0;0.067;0.069;0.553;0.065;0.069;0.255
ENST00000593014_90_90;0.111;0.0;0.0;0.868;0.551;0.238;0.238;0.238;1.0;0.151;0.214;0.214;0.214;0.118;0.225;0.151;0.321;0.166;0.157;0.238;0.105;0.107;0.074;0.103;0.073;0.406
ENST00000610402_90_90;0.907;0.174;0.112;0.174;0.083;0.047;0.047;0.047;0.151;1.0;0.708;0.708;0.708;0.966;0.673;1.0;0.052;0.674;0.966;0.047;0.649;0.634;0.017;0.665;0.623;0.168
