;transcript2_ENSHGLG00100006079;transcript8_ENSHGLG00100006079;transcript6_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript16_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript16_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript2_ENSXMAG00000026005;transcript7_ENSXMAG00000026005;transcript8_ENSXMAG00000026005;transcript9_ENSXMAG00000026005;transcript10_ENSXMAG00000026005
transcript2_ENSHGLG00100006079;1.0;0.768;0.943;0.026;0.949;0.949;0.949;1.0;1.0;1.0;0.899;0.301;1.0;1.0
transcript8_ENSHGLG00100006079;0.768;1.0;0.658;0.044;0.283;0.283;0.283;0.287;0.764;0.768;0.836;0.018;0.768;0.768
transcript6_ENSPCIG00000036398;0.943;0.658;1.0;0.0;0.788;0.788;0.788;0.824;0.953;0.943;0.838;0.361;0.943;0.943
transcript7_ENSPCIG00000036398;0.026;0.044;0.0;1.0;0.233;0.233;0.233;0.233;0.0;0.026;0.0;0.163;0.026;0.026
transcript7_ENSMUNG00000007775;0.949;0.283;0.788;0.233;1.0;1.0;1.0;1.0;0.946;0.949;0.0;1.0;0.949;0.949
transcript16_ENSMUNG00000007775;0.949;0.283;0.788;0.233;1.0;1.0;1.0;1.0;0.946;0.949;0.0;1.0;0.949;0.949
transcript23_ENSMUNG00000007775;0.949;0.283;0.788;0.233;1.0;1.0;1.0;1.0;0.946;0.949;0.0;1.0;0.949;0.949
transcript16_ENSMUNG00000002377;1.0;0.287;0.824;0.233;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0
transcript10_ENSMUNG00000002391;1.0;0.764;0.953;0.0;0.946;0.946;0.946;1.0;1.0;1.0;0.912;0.29;1.0;1.0
transcript2_ENSXMAG00000026005;1.0;0.768;0.943;0.026;0.949;0.949;0.949;1.0;1.0;1.0;0.899;0.301;1.0;1.0
transcript7_ENSXMAG00000026005;0.899;0.836;0.838;0.0;0.0;0.0;0.0;0.0;0.912;0.899;1.0;0.155;0.899;0.899
transcript8_ENSXMAG00000026005;0.301;0.018;0.361;0.163;1.0;1.0;1.0;1.0;0.29;0.301;0.155;1.0;0.301;0.301
transcript9_ENSXMAG00000026005;1.0;0.768;0.943;0.026;0.949;0.949;0.949;1.0;1.0;1.0;0.899;0.301;1.0;1.0
transcript10_ENSXMAG00000026005;1.0;0.768;0.943;0.026;0.949;0.949;0.949;1.0;1.0;1.0;0.899;0.301;1.0;1.0
