nucHom;degHom;tsm
1.0;1.0;1.0
0.913;0.868;0.891
0.679;0.963;0.821
0.674;0.907;0.79
0.782;0.963;0.873
0.715;0.907;0.811
0.855;0.988;0.921
0.721;0.569;0.645
0.998;0.99;0.994
0.661;0.569;0.615
0.994;1.0;0.997
0.912;0.963;0.938
0.366;0.288;0.327
0.921;0.985;0.953
0.631;0.907;0.769
0.733;0.963;0.848
0.824;0.984;0.904
0.73;0.963;0.847
0.945;0.989;0.967
0.759;0.963;0.861
0.736;0.963;0.849
0.364;0.462;0.413
0.998;0.99;0.994
0.913;0.868;0.891
1.0;1.0;1.0
0.637;0.815;0.726
0.624;0.759;0.692
0.733;0.815;0.774
0.669;0.759;0.714
0.81;0.875;0.843
0.676;0.48;0.578
0.948;0.902;0.925
0.619;0.48;0.549
0.974;0.929;0.952
0.854;0.815;0.835
0.391;0.341;0.366
0.898;0.939;0.918
0.585;0.759;0.672
0.687;0.815;0.751
0.773;0.841;0.807
0.684;0.815;0.75
0.895;0.886;0.891
0.711;0.815;0.763
0.69;0.815;0.752
0.316;0.308;0.312
0.948;0.901;0.924
0.679;0.963;0.821
0.637;0.815;0.726
1.0;1.0;1.0
0.822;0.907;0.865
0.939;0.965;0.952
0.908;0.942;0.925
0.715;1.0;0.857
0.592;0.87;0.731
0.554;1.0;0.777
0.545;0.87;0.708
0.997;1.0;0.998
0.999;1.0;1.0
0.334;0.268;0.301
0.773;1.0;0.887
0.831;0.94;0.885
0.95;1.0;0.975
0.777;1.0;0.889
0.981;1.0;0.99
0.716;1.0;0.858
0.769;0.962;0.865
0.844;1.0;0.922
0.362;0.405;0.384
0.769;1.0;0.885
0.674;0.907;0.79
0.624;0.759;0.692
0.822;0.907;0.865
1.0;1.0;1.0
0.876;0.94;0.908
0.738;0.802;0.77
0.716;0.926;0.821
0.683;0.815;0.749
0.589;0.944;0.766
0.665;0.815;0.74
0.607;0.714;0.66
0.875;0.928;0.901
0.209;0.207;0.208
0.693;0.897;0.795
1.0;1.0;1.0
0.876;0.94;0.908
0.648;0.933;0.79
0.876;0.94;0.908
0.64;0.926;0.783
0.816;0.877;0.847
0.871;0.937;0.904
0.488;0.432;0.46
0.714;0.943;0.829
0.782;0.963;0.873
0.733;0.815;0.774
0.939;0.965;0.952
0.876;0.94;0.908
1.0;1.0;1.0
0.85;0.857;0.853
0.83;0.981;0.905
0.802;0.87;0.836
0.684;1.0;0.842
0.781;0.87;0.826
0.997;0.952;0.974
0.999;0.988;0.994
0.334;0.268;0.301
0.82;0.974;0.897
0.876;0.94;0.908
1.0;1.0;1.0
0.761;1.0;0.881
1.0;1.0;1.0
0.743;0.981;0.862
0.94;0.938;0.939
0.995;1.0;0.998
0.427;0.405;0.416
0.829;1.0;0.914
0.715;0.907;0.811
0.669;0.759;0.714
0.908;0.942;0.925
0.738;0.802;0.77
0.85;0.857;0.853
1.0;1.0;1.0
0.807;0.963;0.885
0.715;0.815;0.765
0.621;0.944;0.782
0.698;0.815;0.756
1.0;1.0;1.0
0.945;0.94;0.942
0.353;0.282;0.318
0.821;1.0;0.91
0.762;0.88;0.821
0.877;0.94;0.908
0.769;1.0;0.885
0.914;0.94;0.927
0.718;0.926;0.822
0.813;0.901;0.857
0.846;0.914;0.88
0.404;0.421;0.412
0.798;0.943;0.871
0.855;0.988;0.921
0.81;0.875;0.843
0.715;1.0;0.857
0.716;0.926;0.821
0.83;0.981;0.905
0.807;0.963;0.885
1.0;1.0;1.0
0.751;0.621;0.686
0.857;0.707;0.782
0.829;0.759;0.794
0.994;1.0;0.997
0.998;1.0;0.999
0.367;0.296;0.332
