;ENSCAFT00000024171_90_90;ENST00000264657_90_90;ENST00000389272_90_90;ENST00000404395_90_90;ENST00000585517_90_90;ENST00000588065_90_90;ENST00000588969_90_90;ENSMUST00000092671_90_90;ENSMUST00000103114_90_90;ENSMUST00000127638_90_90;ENSMUST00000138438_90_90
ENSCAFT00000024171_90_90;1.0;1.0;0.7;0.9;0.8;0.1;1.0;0.9;0.8;1.0;0.8
ENST00000264657_90_90;1.0;1.0;0.7;0.9;0.8;0.091;1.0;0.9;0.8;1.0;0.8
ENST00000389272_90_90;0.7;0.7;1.0;0.6;0.5;0.0;0.7;0.6;0.5;0.7;0.667
ENST00000404395_90_90;0.9;0.9;0.6;1.0;0.7;0.1;0.9;1.0;0.7;0.9;0.7
ENST00000585517_90_90;0.8;0.8;0.5;0.7;1.0;0.111;0.8;0.7;1.0;0.8;0.6
ENST00000588065_90_90;0.1;0.091;0.0;0.1;0.111;1.0;0.091;0.111;0.125;0.1;0.125
ENST00000588969_90_90;1.0;1.0;0.7;0.9;0.8;0.091;1.0;0.9;0.8;1.0;0.8
ENSMUST00000092671_90_90;0.9;0.9;0.6;1.0;0.7;0.111;0.9;1.0;0.7;0.9;0.7
ENSMUST00000103114_90_90;0.8;0.8;0.5;0.7;1.0;0.125;0.8;0.7;1.0;0.8;0.6
ENSMUST00000127638_90_90;1.0;1.0;0.7;0.9;0.8;0.1;1.0;0.9;0.8;1.0;0.8
ENSMUST00000138438_90_90;0.8;0.8;0.667;0.7;0.6;0.125;0.8;0.7;0.6;0.8;1.0
