;ENSCAFT00000005462_90_90;ENST00000341049_90_90;ENST00000393467_90_90;ENST00000393468_90_90;ENST00000393470_90_90;ENST00000405348_90_90;ENST00000451122_90_90;ENST00000456473_90_90;ENST00000614113_90_90;ENSMUST00000007799_90_90;ENSMUST00000115453_90_90;ENSMUST00000115454_90_90;ENSMUST00000115455_90_90;ENSMUST00000115456_90_90;ENSMUST00000123439_90_90;ENSMUST00000150901_90_90;ENSMUST00000177234_90_90
ENSCAFT00000005462_90_90;1.0;1.0;0.8;0.8;1.0;0.8;0.2;0.6;0.8;1.0;0.667;0.667;0.667;1.0;0.333;0.556;0.444
ENST00000341049_90_90;1.0;1.0;0.5;0.5;0.9;0.5;0.214;0.4;0.5;1.0;0.571;0.571;0.714;1.0;0.143;0.429;0.333
ENST00000393467_90_90;0.8;0.5;1.0;1.0;0.556;1.0;0.0;0.8;1.0;0.571;1.0;1.0;0.286;0.571;0.25;0.0;0.0
ENST00000393468_90_90;0.8;0.5;1.0;1.0;0.556;1.0;0.0;0.8;1.0;0.571;1.0;1.0;0.286;0.571;0.25;0.0;0.0
ENST00000393470_90_90;1.0;0.9;0.556;0.556;1.0;0.556;0.231;0.444;0.556;1.0;0.571;0.571;0.714;1.0;0.143;0.429;0.333
ENST00000405348_90_90;0.8;0.5;1.0;1.0;0.556;1.0;0.0;0.8;1.0;0.571;1.0;1.0;0.286;0.571;0.25;0.0;0.0
ENST00000451122_90_90;0.2;0.214;0.0;0.0;0.231;0.0;1.0;0.0;0.0;0.333;0.0;0.0;0.429;0.333;0.0;0.6;1.0
ENST00000456473_90_90;0.6;0.4;0.8;0.8;0.444;0.8;0.0;1.0;0.8;0.429;0.75;0.75;0.333;0.429;0.333;0.0;0.0
ENST00000614113_90_90;0.8;0.5;1.0;1.0;0.556;1.0;0.0;0.8;1.0;0.571;1.0;1.0;0.286;0.571;0.25;0.0;0.0
ENSMUST00000007799_90_90;1.0;1.0;0.571;0.571;1.0;0.571;0.333;0.429;0.571;1.0;0.545;0.545;0.727;1.0;0.273;0.583;0.462
ENSMUST00000115453_90_90;0.667;0.571;1.0;1.0;0.571;1.0;0.0;0.75;1.0;0.545;1.0;1.0;0.4;0.545;0.5;0.167;0.077
ENSMUST00000115454_90_90;0.667;0.571;1.0;1.0;0.571;1.0;0.0;0.75;1.0;0.545;1.0;1.0;0.4;0.545;0.5;0.167;0.077
ENSMUST00000115455_90_90;0.667;0.714;0.286;0.286;0.714;0.286;0.429;0.333;0.286;0.727;0.4;0.4;1.0;0.727;0.375;0.6;0.455
ENSMUST00000115456_90_90;1.0;1.0;0.571;0.571;1.0;0.571;0.333;0.429;0.571;1.0;0.545;0.545;0.727;1.0;0.273;0.583;0.462
ENSMUST00000123439_90_90;0.333;0.143;0.25;0.25;0.143;0.25;0.0;0.333;0.25;0.273;0.5;0.5;0.375;0.273;1.0;0.222;0.1
ENSMUST00000150901_90_90;0.556;0.429;0.0;0.0;0.429;0.0;0.6;0.0;0.0;0.583;0.167;0.167;0.6;0.583;0.222;1.0;0.6
ENSMUST00000177234_90_90;0.444;0.333;0.0;0.0;0.333;0.0;1.0;0.0;0.0;0.462;0.077;0.077;0.455;0.462;0.1;0.6;1.0
