;ENSCAFT00000018772_90_90;ENST00000333957_90_90;ENST00000396028_90_90;ENST00000446597_90_90;ENST00000535555_90_90;ENST00000536386_90_90;ENST00000539615_90_90;ENST00000542676_90_90;ENST00000542683_90_90;ENST00000545552_90_90;ENSMUST00000087485_90_90;ENSMUST00000111758_90_90;ENSMUST00000171349_90_90;ENSMUST00000203187_90_90;ENSMUST00000203673_90_90;ENSMUST00000204043_90_90;ENSMUST00000204140_90_90;ENSMUST00000204655_90_90;ENSMUST00000205119_90_90
ENSCAFT00000018772_90_90;1.0;0.871;0.934;0.958;0.196;0.934;0.198;0.958;0.224;0.93;0.843;0.843;0.867;0.896;0.932;0.179;0.22;0.867;0.077
ENST00000333957_90_90;0.871;1.0;0.8;0.913;0.197;0.782;0.176;0.913;0.273;0.781;0.865;0.865;1.0;0.968;0.776;0.18;0.241;1.0;0.085
ENST00000396028_90_90;0.934;0.8;1.0;0.881;0.18;0.975;0.199;0.881;0.168;0.927;0.91;0.91;0.794;0.822;0.974;0.165;0.221;0.794;0.077
ENST00000446597_90_90;0.958;0.913;0.881;1.0;0.179;0.861;0.198;1.0;0.245;0.819;0.794;0.794;0.91;0.941;0.857;0.165;0.22;0.91;0.077
ENST00000535555_90_90;0.196;0.197;0.18;0.179;1.0;0.204;0.0;0.179;0.148;0.234;0.203;0.203;0.203;0.196;0.209;0.944;0.0;0.203;0.0
ENST00000536386_90_90;0.934;0.782;0.975;0.861;0.204;1.0;0.195;0.861;0.163;0.906;0.887;0.887;0.776;0.803;1.0;0.19;0.214;0.776;0.075
ENST00000539615_90_90;0.198;0.176;0.199;0.198;0.0;0.195;1.0;0.198;0.0;0.195;0.179;0.179;0.178;0.211;0.197;0.0;0.0;0.178;0.0
ENST00000542676_90_90;0.958;0.913;0.881;1.0;0.179;0.861;0.198;1.0;0.245;0.819;0.794;0.794;0.91;0.941;0.857;0.165;0.22;0.91;0.077
ENST00000542683_90_90;0.224;0.273;0.168;0.245;0.148;0.163;0.0;0.245;1.0;0.163;0.192;0.192;0.283;0.272;0.167;0.112;0.09;0.283;0.0
ENST00000545552_90_90;0.93;0.781;0.927;0.819;0.234;0.906;0.195;0.819;0.163;1.0;0.886;0.886;0.775;0.803;0.903;0.22;0.214;0.775;0.075
ENSMUST00000087485_90_90;0.843;0.865;0.91;0.794;0.203;0.887;0.179;0.794;0.192;0.886;1.0;1.0;0.865;0.84;0.887;0.181;0.242;0.865;0.085
ENSMUST00000111758_90_90;0.843;0.865;0.91;0.794;0.203;0.887;0.179;0.794;0.192;0.886;1.0;1.0;0.865;0.84;0.887;0.181;0.242;0.865;0.085
ENSMUST00000171349_90_90;0.867;1.0;0.794;0.91;0.203;0.776;0.178;0.91;0.283;0.775;0.865;0.865;1.0;0.968;0.776;0.18;0.241;1.0;0.085
ENSMUST00000203187_90_90;0.896;0.968;0.822;0.941;0.196;0.803;0.211;0.941;0.272;0.803;0.84;0.84;0.968;1.0;0.803;0.174;0.233;0.968;0.082
ENSMUST00000203673_90_90;0.932;0.776;0.974;0.857;0.209;1.0;0.197;0.857;0.167;0.903;0.887;0.887;0.776;0.803;1.0;0.19;0.214;0.776;0.075
ENSMUST00000204043_90_90;0.179;0.18;0.165;0.165;0.944;0.19;0.0;0.165;0.112;0.22;0.181;0.181;0.18;0.174;0.19;1.0;0.0;0.18;0.0
ENSMUST00000204140_90_90;0.22;0.241;0.221;0.22;0.0;0.214;0.0;0.22;0.09;0.214;0.242;0.242;0.241;0.233;0.214;0.0;1.0;0.241;0.351
ENSMUST00000204655_90_90;0.867;1.0;0.794;0.91;0.203;0.776;0.178;0.91;0.283;0.775;0.865;0.865;1.0;0.968;0.776;0.18;0.241;1.0;0.085
ENSMUST00000205119_90_90;0.077;0.085;0.077;0.077;0.0;0.075;0.0;0.077;0.0;0.075;0.085;0.085;0.085;0.082;0.075;0.0;0.351;0.085;1.0
