;ENSCAFT00000024611_90_90;ENST00000312358_90_90;ENST00000396686_90_90;ENST00000396688_90_90;ENST00000396689_90_90;ENST00000396698_90_90;ENST00000403148_90_90;ENST00000409595_90_90;ENST00000412982_90_90;ENST00000420132_90_90;ENST00000431523_90_90;ENST00000435853_90_90;ENST00000451076_90_90;ENST00000452101_90_90;ENST00000617028_90_90;ENSMUST00000087122_90_90;ENSMUST00000113587_90_90;ENSMUST00000113588_90_90;ENSMUST00000113589_90_90;ENSMUST00000113590_90_90;ENSMUST00000122266_90_90;ENSMUST00000125306_90_90;ENSMUST00000132228_90_90;ENSMUST00000137868_90_90;ENSMUST00000148515_90_90
ENSCAFT00000024611_90_90;1.0;0.802;0.027;0.027;0.027;0.39;0.133;0.025;0.025;0.133;0.218;0.171;0.096;0.098;0.0;0.851;0.029;0.029;0.029;0.453;0.029;0.172;0.101;0.754;0.285
ENST00000312358_90_90;0.802;1.0;0.029;0.029;0.029;0.392;0.0;0.032;0.027;0.0;0.17;0.109;0.115;0.036;0.0;1.0;0.03;0.03;0.03;0.41;0.03;0.038;0.115;0.823;0.181
ENST00000396686_90_90;0.027;0.029;1.0;1.0;1.0;0.097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03;1.0;1.0;1.0;0.097;1.0;0.0;0.0;0.036;0.0
ENST00000396688_90_90;0.027;0.029;1.0;1.0;1.0;0.097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03;1.0;1.0;1.0;0.097;1.0;0.0;0.0;0.036;0.0
ENST00000396689_90_90;0.027;0.029;1.0;1.0;1.0;0.097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03;1.0;1.0;1.0;0.097;1.0;0.0;0.0;0.036;0.0
ENST00000396698_90_90;0.39;0.392;0.097;0.097;0.097;1.0;0.081;0.056;0.0;0.081;0.43;0.239;0.216;0.163;0.0;0.41;0.097;0.097;0.097;1.0;0.097;0.163;0.186;0.311;0.438
ENST00000403148_90_90;0.133;0.0;0.0;0.0;0.0;0.081;1.0;0.0;0.0;1.0;0.122;0.072;0.0;0.225;0.0;0.0;0.0;0.0;0.0;0.098;0.0;0.529;0.0;0.0;0.212
ENST00000409595_90_90;0.025;0.032;0.0;0.0;0.0;0.056;0.0;1.0;0.0;0.0;0.0;0.0;0.167;0.0;0.0;0.034;0.0;0.0;0.0;0.056;0.0;0.0;0.304;0.018;0.0
ENST00000412982_90_90;0.025;0.027;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.514;0.029;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.036;0.0
ENST00000420132_90_90;0.133;0.0;0.0;0.0;0.0;0.081;1.0;0.0;0.0;1.0;0.122;0.072;0.0;0.225;0.0;0.0;0.0;0.0;0.0;0.098;0.0;0.529;0.0;0.0;0.212
ENST00000431523_90_90;0.218;0.17;0.0;0.0;0.0;0.43;0.122;0.0;0.0;0.122;1.0;0.562;0.274;0.408;0.0;0.188;0.0;0.0;0.0;0.457;0.0;0.329;0.135;0.116;0.939
ENST00000435853_90_90;0.171;0.109;0.0;0.0;0.0;0.239;0.072;0.0;0.0;0.072;0.562;1.0;0.361;0.412;0.0;0.133;0.0;0.0;0.0;0.277;0.0;0.339;0.198;0.051;0.568
ENST00000451076_90_90;0.096;0.115;0.0;0.0;0.0;0.216;0.0;0.167;0.0;0.0;0.274;0.361;1.0;0.085;0.0;0.122;0.0;0.0;0.0;0.216;0.0;0.085;0.347;0.041;0.278
ENST00000452101_90_90;0.098;0.036;0.0;0.0;0.0;0.163;0.225;0.0;0.0;0.225;0.408;0.412;0.085;1.0;0.0;0.041;0.0;0.0;0.0;0.179;0.0;0.789;0.076;0.0;0.349
ENST00000617028_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.514;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000087122_90_90;0.851;1.0;0.03;0.03;0.03;0.41;0.0;0.034;0.029;0.0;0.188;0.133;0.122;0.041;0.0;1.0;0.029;0.029;0.029;0.418;0.029;0.035;0.106;0.812;0.184
ENSMUST00000113587_90_90;0.029;0.03;1.0;1.0;1.0;0.097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.029;1.0;1.0;1.0;0.094;1.0;0.0;0.0;0.034;0.0
ENSMUST00000113588_90_90;0.029;0.03;1.0;1.0;1.0;0.097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.029;1.0;1.0;1.0;0.094;1.0;0.0;0.0;0.034;0.0
ENSMUST00000113589_90_90;0.029;0.03;1.0;1.0;1.0;0.097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.029;1.0;1.0;1.0;0.094;1.0;0.0;0.0;0.034;0.0
