;ENSCAFT00000018720_90_90;ENST00000347464_90_90;ENST00000373525_90_90;ENST00000392017_90_90;ENST00000392018_90_90;ENST00000392020_90_90;ENST00000392021_90_90;ENST00000417017_90_90;ENST00000419681_90_90;ENST00000431917_90_90;ENST00000444735_90_90;ENSMUST00000027512_90_90;ENSMUST00000113186_90_90;ENSMUST00000113190_90_90;ENSMUST00000144047_90_90
ENSCAFT00000018720_90_90;1.0;0.526;0.55;0.8;0.739;0.737;0.053;0.421;0.368;0.111;0.391;0.8;0.737;0.773;0.333
ENST00000347464_90_90;0.526;1.0;0.714;0.611;0.5;0.733;0.182;0.429;0.727;0.0;0.389;0.611;0.733;0.524;0.133
ENST00000373525_90_90;0.55;0.714;1.0;0.722;0.591;0.556;0.154;0.467;0.615;0.0;0.588;0.722;0.556;0.619;0.118
ENST00000392017_90_90;0.8;0.611;0.722;1.0;0.818;0.833;0.111;0.5;0.444;0.111;0.455;1.0;0.833;0.857;0.333
ENST00000392018_90_90;0.739;0.5;0.591;0.818;1.0;0.682;0.091;0.409;0.364;0.091;0.636;0.818;0.682;0.955;0.273
ENST00000392020_90_90;0.737;0.733;0.556;0.833;0.682;1.0;0.133;0.5;0.533;0.133;0.318;0.833;1.0;0.714;0.4
ENST00000392021_90_90;0.053;0.182;0.154;0.111;0.091;0.133;1.0;0.222;0.25;0.0;0.143;0.111;0.133;0.095;0.0
ENST00000417017_90_90;0.421;0.429;0.467;0.5;0.409;0.5;0.222;1.0;0.545;0.1;0.438;0.5;0.5;0.429;0.364
ENST00000419681_90_90;0.368;0.727;0.615;0.444;0.364;0.533;0.25;0.545;1.0;0.0;0.467;0.444;0.533;0.381;0.167
ENST00000431917_90_90;0.111;0.0;0.0;0.111;0.091;0.133;0.0;0.1;0.0;1.0;0.0;0.111;0.133;0.095;0.333
ENST00000444735_90_90;0.391;0.389;0.588;0.455;0.636;0.318;0.143;0.438;0.467;0.0;1.0;0.455;0.318;0.591;0.111
ENSMUST00000027512_90_90;0.8;0.611;0.722;1.0;0.818;0.833;0.111;0.5;0.444;0.111;0.455;1.0;0.833;0.857;0.333
ENSMUST00000113186_90_90;0.737;0.733;0.556;0.833;0.682;1.0;0.133;0.5;0.533;0.133;0.318;0.833;1.0;0.714;0.4
ENSMUST00000113190_90_90;0.773;0.524;0.619;0.857;0.955;0.714;0.095;0.429;0.381;0.095;0.591;0.857;0.714;1.0;0.286
ENSMUST00000144047_90_90;0.333;0.133;0.118;0.333;0.273;0.4;0.0;0.364;0.167;0.333;0.111;0.333;0.4;0.286;1.0
