;ENSCAFT00000014390_90_90;ENST00000340417_90_90;ENST00000442461_90_90;ENST00000446851_90_90;ENST00000505397_90_90;ENST00000506560_90_90;ENST00000508171_90_90;ENST00000510557_90_90;ENST00000510877_90_90;ENSMUST00000046154_90_90;ENSMUST00000123572_90_90;ENSMUST00000134439_90_90;ENSMUST00000137750_90_90;ENSMUST00000139234_90_90;ENSMUST00000144030_90_90;ENSMUST00000149714_90_90;ENSMUST00000152387_90_90;ENSMUST00000154921_90_90
ENSCAFT00000014390_90_90;1.0;1.0;0.742;0.742;1.0;0.719;0.44;0.742;0.208;0.945;0.945;0.264;0.685;0.44;0.398;0.685;0.662;0.685
ENST00000340417_90_90;1.0;1.0;0.742;0.742;1.0;0.719;0.44;0.742;0.208;0.945;0.945;0.264;0.685;0.44;0.398;0.685;0.662;0.685
ENST00000442461_90_90;0.742;0.742;1.0;1.0;0.742;0.46;0.181;1.0;0.273;0.685;0.685;0.169;0.928;0.181;0.519;0.928;0.404;0.928
ENST00000446851_90_90;0.742;0.742;1.0;1.0;0.742;0.46;0.181;1.0;0.273;0.685;0.685;0.169;0.928;0.181;0.519;0.928;0.404;0.928
ENST00000505397_90_90;1.0;1.0;0.742;0.742;1.0;0.719;0.44;0.742;0.208;0.945;0.945;0.264;0.685;0.44;0.398;0.685;0.662;0.685
ENST00000506560_90_90;0.719;0.719;0.46;0.46;0.719;1.0;0.384;0.46;0.076;0.662;0.662;0.135;0.404;0.384;0.116;0.404;0.899;0.404
ENST00000508171_90_90;0.44;0.44;0.181;0.181;0.44;0.384;1.0;0.181;0.203;0.475;0.475;0.35;0.202;1.0;0.222;0.202;0.419;0.202
ENST00000510557_90_90;0.742;0.742;1.0;1.0;0.742;0.46;0.181;1.0;0.273;0.685;0.685;0.169;0.928;0.181;0.519;0.928;0.404;0.928
ENST00000510877_90_90;0.208;0.208;0.273;0.273;0.208;0.076;0.203;0.273;1.0;0.229;0.229;0.43;0.308;0.203;0.572;0.308;0.089;0.308
ENSMUST00000046154_90_90;0.945;0.945;0.685;0.685;0.945;0.662;0.475;0.685;0.229;1.0;1.0;0.264;0.742;0.44;0.291;0.742;0.719;0.742
ENSMUST00000123572_90_90;0.945;0.945;0.685;0.685;0.945;0.662;0.475;0.685;0.229;1.0;1.0;0.264;0.742;0.44;0.291;0.742;0.719;0.742
ENSMUST00000134439_90_90;0.264;0.264;0.169;0.169;0.264;0.135;0.35;0.169;0.43;0.264;0.264;1.0;0.169;0.35;0.271;0.169;0.135;0.169
ENSMUST00000137750_90_90;0.685;0.685;0.928;0.928;0.685;0.404;0.202;0.928;0.308;0.742;0.742;0.169;1.0;0.181;0.369;1.0;0.46;1.0
ENSMUST00000139234_90_90;0.44;0.44;0.181;0.181;0.44;0.384;1.0;0.181;0.203;0.44;0.44;0.35;0.181;1.0;0.201;0.181;0.384;0.181
ENSMUST00000144030_90_90;0.398;0.398;0.519;0.519;0.398;0.116;0.222;0.519;0.572;0.291;0.291;0.271;0.369;0.201;1.0;0.369;0.05;0.369
ENSMUST00000149714_90_90;0.685;0.685;0.928;0.928;0.685;0.404;0.202;0.928;0.308;0.742;0.742;0.169;1.0;0.181;0.369;1.0;0.46;1.0
ENSMUST00000152387_90_90;0.662;0.662;0.404;0.404;0.662;0.899;0.419;0.404;0.089;0.719;0.719;0.135;0.46;0.384;0.05;0.46;1.0;0.46
ENSMUST00000154921_90_90;0.685;0.685;0.928;0.928;0.685;0.404;0.202;0.928;0.308;0.742;0.742;0.169;1.0;0.181;0.369;1.0;0.46;1.0
